S1 EP01 IN
S1 EP01：こっちだ　早く　|　在这边 快点
S1 EP06：まだ何もするつもりはないさ　|　我还没有任何打算
S1 EP06：カーテちゃんにも　お前にもだ　|　对卡黛也是 对你也是
S1 EP06：カーテへの尋問なら僕が立ち会う　|　卡黛我会去盘问的
S1 EP06：尋問とか意味ないんだよ　|　盘问也没有意义的
S1 EP06：どのみち口を割りやしないだろうし　|　肯定不会坦白的
S1 EP06：もし誰かに吹き込まれたんだとしても　|　就算是被谁灌输了想法
S1 EP06：カーテちゃんは　それが誰かなんて見えてないもんな　|　卡黛也看不见那是谁
S1 EP06：僕は群れを守らなくてはならない　|　我必须保护族群
S1 EP06：カーテが裏切り者だった場合でも　|　就算卡黛是叛徒
S1 EP06：僕は正しい選択をする　|　我也会做出正确的选择
S1 EP06：いつだって　|　无论何时
S1 EP06：レグネジィ　出ていく時に私の肩掛けを引っ掛けていったらしくて　|　雷古聂吉出去的时候好像拉掉了我的披肩
S1 EP06：私　どこになくしたかなんて見えないもの　|　我又看不见掉在哪了
S1 EP06：随分部屋を捜してしまったわ　|　在屋子里找了好久呢
S1 EP06：それは災難だったな　|　那还真是灾难
S1 EP06：あれもふてぶてしく開き直っただろうが　|　他应该也厚着脸皮否认了
S1 EP06：許してやるといい　|　别生他的气
S1 EP06：分かっているけど　|　我知道的
S1 EP06：おいしい　|　好吃
S1 EP06：そうか　|　是吗
S1 EP06：ねえ　お母さん　|　妈妈
S1 EP06：いつも言っているだろう　その呼び方はよせ　|　不是一直跟你说 别那么喊我
S1 EP06：お前の実の母に悪い　|　这样对不住你的生母
S1 EP06：あの　レグネジィにあまり危ない仕事をさせたくないってお願いしたくて　|　那个 我想请您不要把危险的工作安排给雷古聂吉
S1 EP06：危険というなら　あれの任務はいつでもそうだ　|　要说危险的话 他的任务一直都危险
S1 EP06：また戦いが始まるの　|　又要开战了吗
S1 EP06：そうなるだろう　|　应该会吧
S1 EP06：私は魔王自称者だ　|　我是魔王自称者
S1 EP06：黄都は魔王を名乗る者に容赦はしない　討伐の手が入る　|　黄都不会容忍魔王自称者 会派人讨伐的
S1 EP06：そうなれば　私はこのリチアを守らなければならない　|　要是变成了那样 我就必须保护利奇亚
S1 EP06：うん　分かってる　|　我知道的
S1 EP06：最初に彼女を見いだした時から　|　最初找到她时
S1 EP06：カーテとレグネジィは共にいた　|　卡黛就和雷古聂吉待在一起
S1 EP06：カーテはレグネジィが人々を救う天使なのだと信じたがっている　|　卡黛想要去相信雷古聂吉是拯救世人的天使
S1 EP06：だからこそ　|　所以
S1 EP06：私の口からレグネジィの正体を告げてはならない　|　我不能告诉她雷古聂吉的真实身份
S1 EP06：私がいないとレグネジィが動かないから　|　我不在雷古聂吉就不会工作
S1 EP06：私をかくまってくれてるんだよね　|　所以您才收养我的吧
S1 EP06：そうだ　|　没错
S1 EP06：お前は重大な戦術的価値を担っている　|　你有重大的战术价值
S1 EP06：幸せになれるかな　|　会变得幸福吗
S1 EP06：お前やレグネジィがか　|　你和雷古聂吉吗
S1 EP06：お母…タレン様も　|　妈…塔莲大人也是
S1 EP06：戦争に勝ってリチアが豊かに…　|　赢下战争让利奇亚变得富裕…
S1 EP06：安全になったなら　|　变得安全的话
S1 EP06：みんな幸せに暮らしていけるのかな　|　大家都能幸福生活下去吗
S1 EP06：案ずるな　|　无需担心
S1 EP06：私は無敗の将　警めのタレンだ　|　我是不败的将军 警戒塔莲
S1 EP06：黄都との小競り合いごとき　すぐ終わらせるとも　|　和黄都的小冲突 马上就会结束的
S1 EP06：今日は　もう眠るといい　|　今天就先睡吧
S1 EP06：おやすみなさい　お母さん　|　晚安 妈妈
S1 EP06：また言ってるぞ　カーテ　|　怎么又这样叫我 卡黛
S1 EP06：別に思ったより大したことないわね　|　也没有那么大不了嘛
S1 EP06：そう思いますか　|　你这样觉得吗
S1 EP06：イータにはもっと高い木だってあったわ　|　伊塔还有比这里的建筑更高的树
S1 EP06：まあ　こんなにいろんな果物が売ってるとは思わなかったけど　|　不过 我也没想到会有这么多水果卖
S1 EP06：黄都の街はもっとすごいですよ　|　黄都的城市比这里更厉害哦
S1 EP06：またウソばっかり言って　|　又在吹牛了
S1 EP06：リチアを訪れた理由は　|　来利奇亚的理由
S1 EP06：観光のためでもキアの授業のためでもない　|　既不是为了观光也不是为了教学
S1 EP06：「世界詞」は黄都も存在を知らない　私だけの切り札　|　「世界词」是黄都也不知道的 只属于我的王牌
S1 EP06：私とキアのつながりにたどりつく可能性のある者は　|　任何有可能追寻到我和祈雅之间联系的人
S1 EP06：試合開始以前に排除せねばならない　|　必须在比试开始前除掉
S1 EP06：多少の無理をしてでも　この段階で始末しておかなければ　|　就算有些勉强 也必须在这个阶段解决掉
S1 EP06：待ち合わせって誰とよ　|　要跟谁碰头啊
S1 EP06：先生の昔の知り合いです　|　老师以前的熟人
S1 EP06：話は長くなりますよ　|　我们要聊很久哦
S1 EP06：だからって１人で宿にいてもつまんないじゃない　|　就算这样 一个人待在旅馆里也很无聊啊
S1 EP06：キアさん　あれを　|　祈雅 看那个
S1 EP06：船？　|　船？
S1 EP06：少し見てきてもいいですよ　|　你可以去看看哦
S1 EP06：でも　|　但是
S1 EP06：うまくすると乗せてくれるかもしれませんね　|　顺利的话 说不定可以乘上去呢
S1 EP06：ホント　じゃあ行ってくる　|　真的吗 那我去看看
S1 EP06：先生は公園で待ってますから　|　老师在公园里等你
S1 EP06：お待たせしました　|　久等了
S1 EP06：いいや　時間ぴったりだよ　エレア　|　不 时间正好 爱蕾雅
S1 EP06：月嵐のラナ　|　月岚拉娜
S1 EP06：私以外で世界詞の情報を知るのはラナ１人　|　拉娜是除我以外唯一知道世界词情报的人
S1 EP06：リチアに潜入する黄都の諜報員であり　|　她是潜入利奇亚的黄都谍报员
S1 EP06：世界詞についての情報を私に引き渡した　|　告诉了我关于世界词的情报
S1 EP06：世界詞の件は残念だったな　|　世界词那件事真是可惜
S1 EP06：ええ　さすがにただのうわさ話だったようです　|　是啊 似乎只是谣传罢了
S1 EP06：黄都のほうではいろいろあったようですが　|　听说黄都发生了很多事啊
S1 EP06：タレンの暗殺が始まるのはいつですか　|　塔莲的暗杀计划何时开始
S1 EP06：もう知っているのか　|　你已经知道了吗
S1 EP06：相変わらず耳が早いな　|　消息一如既往地灵通啊
S1 EP06：リチアまでボーッと歩いてきたわけではありませんので　|　毕竟我也不是漫无目的走到利奇亚的
S1 EP06：すでに獲物は「星」を手に入れてる　|　猎物已经获得了「星」
S1 EP06：鳥竜の出撃履歴もじきに流せる　|　鸟龙的出击记录也会马上传出
S1 EP06：リチアの仕事では　腕の立つヤツを２体ばかり引き込んでおいた　|　利奇亚这边 我拉拢了两个高手
S1 EP06：海たるヒグアレと音斬りシャルク　|　大海的希古尔雷和斩音夏鲁库
S1 EP06：腕の立つ傭兵は内乱の種にできる　|　实力强的佣兵可以成为内乱的种子
S1 EP06：さすがですね　|　不愧是你
S1 EP06：もちろん　あたしの正体を怪しむ者もいない　|　当然 没有人怀疑我的身份
S1 EP06：何せ腕利きの諜報員だからね　|　毕竟我也是个精锐谍报员
S1 EP06：ラナさんの優秀さはよく分かっています　|　我很清楚你有多优秀
S1 EP06：先生　|　老师
S1 EP06：船　乗せてもらえなかったんだけど　|　那边不让我上船
S1 EP06：子供１人じゃダメだって　|　说是不能让小孩子一个人
S1 EP06：先生のウソつき　|　老师这个大骗子
S1 EP06：そうですか　|　是吗
S1 EP06：先生？　|　老师？
S1 EP06：そういう身分でやってんだっけ　|　你是用这种身份在做事啊
S1 EP06：で　あの子が教え子ってわけか　|　所以那孩子是你的学生吧
S1 EP06：その人が知り合い？　|　她就是你说的熟人？
S1 EP06：あたしは月嵐のラナ　|　我叫月岚拉娜
S1 EP06：エレア先生の元教え子だよ　|　是爱蕾雅老师以前的学生
S1 EP06：よろしく　|　请多指教
S1 EP06：私はキア　|　我叫祈雅
S1 EP06：キア　お姉さんと一緒に観光でも行くか　|　祈雅 想和姐姐一起去观光吗
S1 EP06：先生は真面目でつまんないだろ　|　老师那么正经很无聊吧
S1 EP06：別に　大したものなんてないでしょ　こんな街　|　也没什么好逛的吧 就这种城市
S1 EP06：とびきりうまい店を知ってるんだ　|　我知道家味道很好的餐厅
S1 EP06：炊いた米で食べる料理もある　|　还有搭配米饭的料理
S1 EP06：パンとはまた違って　なかなかいけるよ　|　和面包不一样 味道还不错哦
S1 EP06：そうなの　じゃあ…　|　是吗 那…
S1 EP06：キア　まだ起きてる　|　祈雅 还醒着吗
S1 EP06：うん　大丈夫　|　没问题
S1 EP06：ダメそうだな　こりゃ　|　看起来可不太行了啊
S1 EP06：まだ飲めるだろ　|　还可以喝吧
S1 EP06：勘弁してくれ　明日も仕事なんだって　|　放过我吧 都说了明天还要上班
S1 EP06：どうせ大した仕事してねえくせに　|　反正也不是什么大不了的工作
S1 EP06：大きなお世話だ　|　要你管啊
S1 EP06：タレンさんはよい為政者なのでしょうね　|　塔莲一定是个好执政者吧
S1 EP06：まあね　|　算是吧
S1 EP06：だからこそ　|　正因如此
S1 EP06：自分がやらなきゃならないって責任感も強いんでしょ　|　她更有必须这么做的强烈责任感吧
S1 EP06：タレンにもう少し人望がなかったなら　|　但凡塔莲没有那么高的人望
S1 EP06：こんな事態にはならなかったよ　|　事情也不会发展成这样
S1 EP06：リチアの独立は…　|　利奇亚之所以独立…
S1 EP06：タレンが王を名乗り始めたのは　|　塔莲之所以自称为王
S1 EP06：あの人の民がそう望んだからだ　|　都是顺应她子民的期望
S1 EP06：「彼女こそが王にふさわしい」　|　「她配得上称王」
S1 EP06：「自分たちの国が欲しい」　|　「想要我们自己的国家」
S1 EP06：そんな思いを背負わせたんだ　|　让她背负了这样的期望
S1 EP06：酒場の人たちも皆　|　酒馆里的那些人也是
S1 EP06：黄都との戦争を控えて　お祭り騒ぎでしたからね　|　面对与黄都的战争 像过节一样热闹
S1 EP06：無敵の鳥竜軍と無敗のタレンがいれば　勝てると思ってるんだ　|　认为有了无敌的鸟龙军和不败的塔莲 他们就能赢
S1 EP06：自分の所まで攻め込まれるかもしれないなんて考えちゃあいない　|　完全没想过军队或许会攻进自己家
S1 EP06：タレンさんには教えてもらったことがいくつもあります　|　塔莲教会了我很多东西
S1 EP06：結局　一度もお礼を言えませんでしたが　|　结果我一次也没向她道谢
S1 EP06：今さら同情とかしないでよ　|　事到如今你也别同情她
S1 EP06：あの人を殺さなきゃ　また全面戦争だ　|　如果不杀死她 又会爆发全面战争
S1 EP06：本物の魔王も死んだっていうのに　|　明明真正的魔王已经死了
S1 EP06：そんなのは誰も得しない　|　这种事没人能从中获益
S1 EP06：ラナも戦時中は諜報ギルド「黒曜の瞳」の一員として　|　拉娜在战时就是谍报公会「黑曜之瞳」的一员
S1 EP06：多くの汚れ仕事に手を染めた身だ　|　做了很多肮脏的工作
S1 EP06：黄都に下った今でも　同じことを続けるしかなかった　|　即使如今归属黄都 她也只能继续做同样的事情
S1 EP06：ま　もうすぐこんな嫌なお勤めも終わりだ　|　不过 这讨厌的工作也快结束了
S1 EP06：あたしは黄都で平和にやるさ　|　我以后就在黄都平稳度日了
S1 EP06：もう宿？　|　已经到旅馆了？
S1 EP06：もうすぐです　|　马上就到了
S1 EP06：先生も疲れちゃいましたから　少し休んでいてくださいね　|　老师有点累了 所以稍微休息一下
S1 EP06：すぐに黄都だろ　|　你们马上就去黄都了吧
S1 EP06：キアにリチア土産のおもちゃを買ってくるよ　|　我去给祈雅买个利奇亚特产的小玩具
S1 EP06：今なら…　|　现在的话…
S1 EP06：で　タレンちゃんの話だと　|　所以 根据塔莲的说法
S1 EP06：内通者がいるんだってさ　|　我们当中有内奸
S1 EP06：内通者？　|　内奸？
S1 EP06：カーテちゃんがそうだって言ったらどう　|　如果我说卡黛是内奸你怎么想
S1 EP06：どうも何も　大した事件じゃないか　|　还能怎么想 这可是件大事
S1 EP06：タレンの養女が情報を流してたってことだろ　|　塔莲的养女泄露了情报对吧
S1 EP06：あの子は日記をつけてた　|　那孩子居然在写日记
S1 EP06：びっくりだよな　|　很惊讶吧
S1 EP06：目が見えないヤツでも読み書きができる点字ってやつだ　|　用的是盲人也可以读写的点字
S1 EP06：俺の来た「彼方」にもあった　|　在我来的「彼方」也有
S1 EP06：普通なら　カーテちゃんが内通者だって思うよな　|　一般来说 会认为卡黛是内奸吧
S1 EP06：でもあの子はタレンちゃんを信じてる　|　但那孩子信任塔莲
S1 EP06：裏切るようなまねは絶対しない　|　绝不会做背叛的事
S1 EP06：だったら…　|　所以…
S1 EP06：カーテちゃんをそそのかしたヤツがいるってことさ　|　有人挑唆了卡黛
S1 EP06：うまく考えるよな　|　想得真周全啊
S1 EP06：全盲の女の子を利用して　情報を記録させるなんて　|　居然利用盲人女孩来记录情报
S1 EP06：それにアリバイだって十分だ　|　还有充分的不在场证明
S1 EP06：自分はずっと街の外で　|　自己一直在城外
S1 EP06：シャルクやヒグアレみたいな傭兵を探していたんだもんな　|　寻找像夏鲁库和希古尔雷这样的佣兵
S1 EP06：何が言いたい　|　你想说什么
S1 EP06：そそのかしてたのはあんただ　|　你是挑唆卡黛的人
S1 EP06：元諜報ギルドのあんたなら　|　作为原谍报公会的成员
S1 EP06：点字で暗号を作るくらい簡単だろ　|　用点字编写暗号什么的轻而易举吧
S1 EP06：なあ　そこまで言うなら証拠は　|　既然你这么说 证据是
S1 EP06：写本だ　|　抄本啊
S1 EP06：あんたは街に帰ってきてから　|　你回到城市之后
S1 EP06：日記の内容を写して　外に流していた　|　就把日记的内容抄下来 传到外面去
S1 EP06：それを仲間が受け取る前に失敬したってわけだ　|　在同伴取走之前就离开现场
S1 EP06：もちろんその情報が　黄都の工作員に渡ってたことは確認済みだ　|　当然 我已确定那些情报传给了黄都的谍报员
S1 EP06：まっ　俺は盗賊だからな　|　毕竟 我是个盗贼
S1 EP06：探せない隠し場所はないし　開けられない鍵なんてない　|　没有我找不到的藏匿处 也没有我打不开的锁
S1 EP06：タレンちゃんにもこれはよく言ってるんだけどさ　|　我也经常跟塔莲这么说
S1 EP06：いい仕事ぶりだろ　俺はさ　|　我这人 工作干得还不错吧
S1 EP06：事態はもう　世界詞の隠蔽だけに留まらない　|　事态已经 不能局限于隐瞒世界词的存在了
S1 EP06：乗れ　タレンちゃんが待ってる　|　上车 塔莲在等你
S1 EP06：ラナが口を割れば　私にも捜査の手が伸びる　|　如果拉娜招认了 我也会被调查
S1 EP06：いくらキアの力が無敵でも　私は…　|　就算祈雅的力量再无敌 我也…
S1 EP06：先生？　|　老师？
S1 EP06：何してるの　捜したんだよ　|　你在干什么 找你好久了
S1 EP06：ラナが賊にさらわれました　|　拉娜被盗贼绑架了
S1 EP06：助けに行かなくては　|　必须去救她
S1 EP06：ちょっと　先生　|　等等 老师
S1 EP06：可能だろうか　|　可以做到吗
S1 EP06：キアの全能の詞術なら　一切の痕跡を残さずラナを殺し　|　用祈雅全能的词术不留痕迹地杀死拉娜
S1 EP06：このリチアを脱出することが　|　然后逃离利奇亚这种事
S1 EP06：可能だろうか　|　可以做到吗
S1 EP06：#梅吉市
S1 EP06：#阵营集结
S1 EP06：#利奇亚新公国
S1 EP06：#统率个体：依照习性，鸟龙群中一定会有一个被称为统率个体的存在，而群体会服从于他。群体的行动模式也会很大程度被统率个体的性格左右。
S1 EP06：#交战开始
S1 EP06 OUT

S1 EP07 IN
S1 EP07：本物の魔王は死んだ　|　真正的魔王已经死了
S1 EP07：世界の敵を何者かが倒した　|　世界之敌被某人打倒了
S1 EP07：だが今もなお　残された力が数多くうごめいている　|　但现在 残留的多方势力仍蠢蠢欲动
S1 EP07：尋常の力では討伐も能わぬ　修羅のごとき百鬼魔人が　|　寻常力量无法讨伐 如同修罗的妖魔鬼怪
S1 EP07：世界最大の都市　黄都が勇者の選定を進める中　|　世界最大的都市 黄都推进勇者选拔之时
S1 EP07：リチア新公国を率いる警めのタレンは　|　统率利奇亚新公国的警戒塔莲
S1 EP07：新たな秩序　恐怖による統治を求めていた　|　寻求着新秩序 恐怖统治
S1 EP07：あの…隊長　|　那个…队长
S1 EP07：もうすぐ　リチアとの国境ですよね　|　马上就到与利奇亚的国界了吧
S1 EP07：あの丘を越えれば　すぐですよ　|　翻过那座山丘 就马上到了
S1 EP07：私たちにリチア付近の地形を把握させるという目的は分かりますが　|　我知道是要让我们了解利奇亚附近的地形
S1 EP07：こんなに接近したら危険なのでは　|　但如此靠近是否有危险
S1 EP07：確かに　我々とリチアは一触即発の状況ですね　|　确实 我们和利奇亚是一触即发的状态
S1 EP07：でも表向きには…　|　但在表面上…
S1 EP07：まだ友好関係にあるということですか　|　依然是友好关系吗
S1 EP07：リチアが独立を取り下げ　我々の傘下に下るまでの猶予期間という条約だったかなあ　|　条约规定 这是利奇亚撤销独立归属我们的过渡期
S1 EP07：そもそも　この哨戒任務自体リチアの要請に応えてのものなのですよ　|　而且巡逻任务本身就是应利奇亚要求执行的
S1 EP07：頻発する野盗襲撃に対して　黄都も治安維持の努力が必要だと　|　应对频发的山贼袭击 需要黄都来维持治安
S1 EP07：リチアのほうから言ってきているわけです　|　这是利奇亚方提出的
S1 EP07：「リチアの独立を認めないのならば当然」　|　「既然不承认利奇亚的独立」
S1 EP07：「黄都が責任を果たすべきだ」と　|　「那黄都自然需要负起责任」
S1 EP07：けれど　その野盗というのは…　|　但是那些山贼…
S1 EP07：実際は黄都にそそのかされての行動ですね　|　其实就是黄都教唆行动的
S1 EP07：じゃあ　この哨戒任務も　黄都にとっては自作自演　|　那这个巡逻任务对黄都来说就是自导自演
S1 EP07：ですが　それはリチア側も分かっているはずなので　|　不过利奇亚应该也明白这一点
S1 EP07：哨戒要請は我々への単純な嫌がらせということになりますね　|　他们的巡逻要求只是单纯的骚扰
S1 EP07：出撃の労力と費用を費やさせ　少しずつ士気を削ると　|　消耗我们的出击劳力和费用 逐渐削减士气
S1 EP07：こちらが下手な対応を取った場合は開戦の口実にも使えるということです　|　如果我们处理不当 也会成为他们开战的借口
S1 EP07：効果はごく小さいものの　仕掛けて損はない　|　虽然收效甚微 但他们不亏
S1 EP07：さすがは警めのタレンですよ　|　不愧是警戒塔莲
S1 EP07：本当に戦争は避けられないんでしょうか　|　真的无法避免战争吗
S1 EP07：おそらく　そうなります　|　恐怕是的
S1 EP07：といっても　リチアには開戦の理由がありません　|　话虽如此 利奇亚没有开战的理由
S1 EP07：本格的な戦闘が行われるのは　まだ先になるでしょうね　|　真正开战 应该还有一段时间
S1 EP07：おい　困るぞ　|　这让我为难啊
S1 EP07：斬りがいのあるヤツとやれるって言うからここまで来たんだろ　|　说是有值得一战的人在这里我才来的
S1 EP07：何も起こらないんなら　俺は困る　|　要是无事发生 我很为难
S1 EP07：ソウジロウの都合なんか　向こうは知るわけないでしょ　|　对方怎么可能知道宗次朗你的意图
S1 EP07：そりゃそうだな　|　那倒也是
S1 EP07：タレンとやらに直接会って　戦争始めてもらおうか　|　要不直接去找塔莲 挑起战争
S1 EP07：随分と血気盛んなことですね　|　还真是血气方刚
S1 EP07：ごめんなさい　隊長　|　抱歉 队长
S1 EP07：彼はこちらの世界を知らない「客人」で　|　他是不太了解这个世界的「客人」
S1 EP07：我々も…　|　我们也…
S1 EP07：黄都も和平の努力は随分と続けてきました　|　黄都也为和平付出了很多努力
S1 EP07：警めのタレンはもともと　黄都の第二十三将だったのですから　|　警戒塔莲原本也是黄都的第二十三将
S1 EP07：こちらもリチアを独立特区と定めて　|　我们也考虑过将利奇亚定为独立特区
S1 EP07：魔王自称者認定を取り下げることも検討していたんですよ　|　撤回魔王自称者的认定
S1 EP07：しかし…　|　但是…
S1 EP07：連中は鳥竜を使う　|　他们使用了鸟龙
S1 EP07：鳥竜はね　いけません　|　鸟龙绝对不行
S1 EP07：明らかに人族の制御を外れた　危険な力です　|　显然是超出人族控制的危险力量
S1 EP07：つまりタレンは　戦いをやめるつもりがないと　|　也就是说塔莲不打算放弃战争
S1 EP07：本物の魔王の脅威が収束したこの時代　|　真正魔王的威胁消失的这个时代
S1 EP07：人族の始まりから続く王国に成り代わって　|　她想要取代人族自古至今的王国
S1 EP07：自らが新たな秩序を敷こうとしています　|　自己建立新秩序
S1 EP07：戦いに取りつかれた修羅です　|　她是被战争支配的修罗
S1 EP07：どうしたの　|　怎么了
S1 EP07：敵がいるぞ　|　有敌人
S1 EP07：何　|　谁
S1 EP07：この感覚…　|　这个感觉…
S1 EP07：警戒態勢　|　警戒姿态
S1 EP07：そこの２名　止まれ　|　那边两位 停下
S1 EP07：こちらは黄都軍だ　|　我们是黄都军
S1 EP07：リチア新公国の要請による　巡回任務中である　|　应利奇亚新公国要求 执行巡视任务
S1 EP07：名と通行許可印を提示願おう　|　报上姓名 出示通行许可印
S1 EP07：茶番がお上手だな　隊長殿　|　真会说笑 队长阁下
S1 EP07：俺たちが何者か聞くのか？　|　你问我们是谁？
S1 EP07：野盗狩りに出ておいて　本当に野盗に出会うとは思っていなかったのか　|　出来搜捕山贼 难道没想到真会遇见吗
S1 EP07：ダメだ　逃げないと　|　不行 必须逃走
S1 EP07：今すぐに　|　立刻
S1 EP07：副長　後方３名を連れて砦へ戻れ　|　副队长 带上后方三人回城塞
S1 EP07：本部に報告を　|　向本部报告
S1 EP07：なんだ　おめえ　|　你是什么人
S1 EP07：やるな　|　身手不错嘛
S1 EP07：なるほど　|　这样啊
S1 EP07：俺の槍に合わせられる程度のヤツか　|　跟得上我枪的家伙吗
S1 EP07：おっと悪い　|　抱歉
S1 EP07：あんたはさっきの剣で全速力だったか　|　刚才那一剑就是你的全速吗
S1 EP07：止まって見えたぞ　|　动作停滞了哦
S1 EP07：骨が　よくしゃべりやがる　|　骨头还挺能说的
S1 EP07：目じゃ追いつけねえ　|　眼睛跟不上
S1 EP07：読み切るしかねえな　|　只能预测行动
S1 EP07：右上腕　|　右上臂
S1 EP07：鎖骨　|　锁骨
S1 EP07：鼠径部　|　腹股沟
S1 EP07：肋骨の隙間か　|　肋骨的空隙吗
S1 EP07：大した根性だな　|　挺有斗志
S1 EP07：こいつは骨が折れそうだ　|　感觉得劳筋折骨了
S1 EP07：つまんねえよ　|　无聊的笑话
S1 EP07：マジに折ってやらあ　|　我帮你折
S1 EP07：弓の狙いを定めろ　|　拉弓瞄准
S1 EP07：骸魔ではない　|　不是骸魔
S1 EP07：根獣のほうだ　|　瞄准根兽
S1 EP07：ヒグアレ　剣士は俺が止める　|　希古尔雷 我来对付剑士
S1 EP07：あんたが斬り合うには荷が勝つ敵だ　|　跟他对砍你不占上风
S1 EP07：そうですか　分かりました　|　这样啊 明白了
S1 EP07：馬を奪って先に離脱しろ　|　你抢马先走
S1 EP07：はい　|　好的
S1 EP07：馬を奪います　|　我去抢马
S1 EP07：来るぞ　撃て　|　来了 放箭
S1 EP07：隊長　無事ですか　|　队长 你没事吧
S1 EP07：致命傷ではない　|　不是致命伤
S1 EP07：毒？　|　毒？
S1 EP07：そんな…　|　怎么会…
S1 EP07：ユノ　|　悠诺
S1 EP07：とっとと行けや　死ぬぞ　|　快走 不然要死了
S1 EP07：でも　私は…　|　但是 我…
S1 EP07：はい　あなたに行ってもらいます　|　好的 就让你走
S1 EP07：助け…　|　救…
S1 EP07：はい　助けますが　|　好的 会救你
S1 EP07：私はこの場から　離脱する必要がありますので　|　但我需要从这里离开
S1 EP07：リチアまで馬を走らせてください　|　请帮我骑马到利奇亚
S1 EP07：私では馬を操れませんので　|　我无法操纵马
S1 EP07：あなたが　|　由你来
S1 EP07：だけど　私…　|　但是 我…
S1 EP07：お願いします　|　拜托了
S1 EP07：最初から馬を操らせるために　|　最开始就是为了操纵马
S1 EP07：１人だけ残したんだ　|　才留下了一个人
S1 EP07：一番　私が弱いから　|　因为我最弱
S1 EP07：なんで…　|　为什么…
S1 EP07：命乞いなんて…　|　要求他饶命…
S1 EP07：本当に通してよかったのか　|　让他进去真的好吗
S1 EP07：しかたないだろ　|　没办法
S1 EP07：黄都のお偉いさんだって言うんだから　|　他是黄都的大人物
S1 EP07：なんの用だ　おっさん　|　有什么事 大叔
S1 EP07：俺は忙しい　|　我很忙
S1 EP07：邪魔するつもりなら黄都まで追い返すぞ　|　要是来捣乱我就赶你回黄都
S1 EP07：正式な応援派遣だ　|　这是正式的支援派遣
S1 EP07：議会にも臨時出撃を申請している　|　我也向议会申请了临时出击
S1 EP07：手続き上は問題あるまい　|　手续上没有问题
S1 EP07：応援は必要ないって言ってんだよ　|　我是说不需要支援啊
S1 EP07：分かんないのか　|　你听不懂吗
S1 EP07：だが　そうは言っても…　|　话虽如此…
S1 EP07：あんた…　|　你…
S1 EP07：つい最近　竜討伐に失敗したばかりだろ　|　最近刚刚讨伐龙失败了吧
S1 EP07：その上　進軍経路の報告が遅れたせいで　|　此外 由于你报告行军路线太晚
S1 EP07：俺の輸送隊にまで迷惑がかかった　|　连我的运输部队也遇到了麻烦
S1 EP07：あんたの責任問題になってもおかしくないんだぜ　|　就算要追究你的责任也不奇怪
S1 EP07：おっさんがいても　こっちの指揮系統が無駄に混乱するだけだ　|　大叔你留下来 也只会给这里的指挥系统添乱
S1 EP07：どうしてもって言うなら兵だけ置いて　黄都に帰るんだな　|　你非要坚持的话就把士兵留下 自己回黄都去吧
S1 EP07：しかし　鳥竜に対処するには専門家が要る　|　但是 对付鸟龙需要专家
S1 EP07：相手がただの鳥竜でないことくらい分かっているだろう　|　你也知道 对手不是一般的鸟龙
S1 EP07：おいおい　俺がタレンの鳥竜軍相手に無策でやり合おうとしてるって？　|　喂 你觉得我会毫无对策去和塔莲的鸟龙军队交锋？
S1 EP07：情けなくて涙が出るな　|　真是可悲到令人落泪
S1 EP07：違う　|　不对
S1 EP07：タレンが問題なのではない　|　塔莲并不是问题所在
S1 EP07：星馳せが来る　|　星驰要来了
S1 EP07：星馳せって…　|　星驰是…
S1 EP07：星馳せアルスか　|　星驰阿鲁斯吗
S1 EP07：ヤツがここに？　|　他会来这里？
S1 EP07：リチアはナガン大迷宮から「冷たい星」を奪った　|　利奇亚从纳甘大迷宫中夺走了「冷星」
S1 EP07：あの星馳せよりも早く　|　在那个星驰之前
S1 EP07：ヤツが宝を奪われたまま　黙っていると思うか　|　你认为他会任凭宝藏被抢走还无动于衷吗
S1 EP07：このメイジ市とて　リチアと共に襲われるかもしれんのだぞ　|　这个梅吉市可能会与利奇亚一起受到他的攻击
S1 EP07：だったらなんだ　|　那又如何
S1 EP07：おっさんがそのしょぼくれた装備で星馳せを落としてくれるって言うなら　|　如果大叔你能用这破旧的装备打败星驰
S1 EP07：歓迎だがな　|　我也很欢迎
S1 EP07：頼むから　おとなしくしてくれ　|　拜托你老实点
S1 EP07：ウソだろ　|　不会吧
S1 EP07：この段階で仕掛けるか　|　在这个阶段就打过来了吗
S1 EP07：とち狂いやがったか　タレン　|　你疯了吗 塔莲
S1 EP07：宣戦布告は　|　宣战布告呢
S1 EP07：砲撃の理由はなんだ　|　炮击的理由是什么
S1 EP07：メイジ市はまだリチアと友好関係にあるはずだろ　|　梅吉市应该还和利奇亚处于友好关系吧
S1 EP07：わめくな　おっさん　|　别嚷嚷了 大叔
S1 EP07：あのタレンに戦争の開始に足る大義を用意する力がなかったとは思えない　|　我不认为塔莲没有能力准备足够的开战理由
S1 EP07：つまり　予定どおりなのか　|　所以说 这在她的计划之内吗
S1 EP07：ヤツがその正しさすら捨て去るなんて…　|　那家伙竟然会抛弃她的正义…
S1 EP07：黄都は　タレンの底を見誤っていたのか　|　难道是黄都误判了塔莲吗
S1 EP07：ヒドウ様　報告が　|　西多勿大人 有报告
S1 EP07：なんだ　砲撃のことか　|　什么 炮击的事吗
S1 EP07：いいえ　|　不是
S1 EP07：夕刻に出た哨戒部隊がまだ帰還しておらず　|　傍晚出去的巡逻队还没有回来
S1 EP07：何　|　什么
