EP01 IN
EP01：何これ何これ　|　这是什么这是什么
EP02：硫黄は原油から十分採れてるし　|　硫磺能原油里大量提取
EP02：鉄の材料としても他にも優秀なのがあるから　|　炼铁原料也有更优质的
EP02：工業的な取り引きもされてないしな　|　工业上也不怎么用呢
EP02：だが結晶はきれいだ　|　但结晶确实漂亮
EP02：ぜひ見つけてほしい　|　所以还是希望能帮忙找找呢
EP02：今更そんなこと言われても…　|　事到如今就算这么说…
EP02：見つけたな　|　找到了呢
EP02：それが黄鉄鉱の結晶だ　|　这就是黄铁矿结晶
EP02：よく見てみな　見事なさいころ形だろ　|　仔细看 是标准的骰子型吧
EP02：これが自然なの　|　这是自然形成的吗
EP02：四角すぎてすっごい違和感なんだけど　|　过于方正反而有些违和
EP02：一応取っとくか　|　姑且先收着吧
EP02：探せばもっといいのも見つかるぞ　|　继续找肯定能找到更好的哦
EP02：こんなに採れちゃった　黄鉄鉱ばっかり　|　采了这么多但全是黄铁矿
EP02：こんなに金っぽいのになんの価値もない石だしな　|　明明这么像黄金却一文不值
EP02：これ全部金だったら私大金持ちなんだけど　|　这些要全是黄金的话我就成富翁了
EP02：ってあれ　|　咦
EP02：凪さん　変なの出た　|　凪姐 我发现个奇怪的
EP02：この黄鉄鉱さいころ形じゃないよ　|　这个黄铁矿不是骰子型的
EP02：ちょっとよく見せてくれ　|　让我仔细看看
EP02：ここの黄鉄鉱興味ないんじゃなかったの　|　你不是对这里的黄铁矿没兴趣吗
EP02：いいか　|　知道吗
EP02：結晶という物は１つの鉱物に複数のパターンがある物が多い　|　即使是同种矿物的结晶也往往具有多种形状
EP02：中でも黄鉄鉱の場合は立方体など10種類以上のパターンがある　|　而黄铁矿尤其特殊 存在立方体等十多种形状
EP02：温度や圧力の違いの他　材料となる鉄と硫黄の濃度　|　除温压条件差异外 组成黄铁矿的铁硫浓度
EP02：他の鉱物の存在も影響する　|　其他矿物的存在也会影响其结晶形状
EP02：だが普通同じ産地なら同じ形をしているものだ　|　但通常同一矿脉只会产出同种形状
EP02：だからここではさいころ形の結晶のみが作られる　|　而这里只会产出骰子型的结晶
EP02：と聞いていたんだが　|　我听说是这样
EP02：ここで五角十二面体の産出は初めて見たな　|　五角十二面体的在这还是头回见到
EP02：凪さんでも初めて　|　凪姐也是头回见到吗
EP02：黄鉄鉱の作られた環境が予想と違っていたかな　|　可能黄铁矿的生成环境与预期不同
EP02：で　この形ってそんなに珍しいの　高い　|　那这种形状很稀有吗 很值钱吗
EP02：こればかりが見つかる産地もある　|　也有专产这种形状的矿脉
EP02：じゃあ　結局ただの黄鉄鉱　|　说到底还是普通黄铁矿嘛
EP02：そんなことはないぞ　|　并非如此
EP02：ここで見つけたことに意味がある　|　在这发现也有其特殊意义
EP02：ここにはないと思われていた物　|　仅仅是在这找到本不该存在之物
EP02：それには大きな価値があるんだよ　|　就具备重大的价值了
EP02：高く売れるってことだ　|　所以能卖个高价吗
EP02：その価値とは別の話だ　|　所谓的价值并不是以金钱衡量
EP02：例えば　金塊を見つけても　|　比如就算发现金块
EP02：そこが金の採れる場所と知っていたら　|　但是在已知的能挖到黄金的矿区
EP02：懐が潤う以上の価値はあまりない　|　也不会有除赚钱外的额外价值
EP02：高く売れるから価値がある　|　能卖高价所以很有价值
EP02：それで十分だと思うけど　|　我觉得这样就够了
EP02：それ以上の価値なんてあるの　|　还有超出这点的额外价值吗
EP02：ある　|　有的
EP02：もしそこが金の採れない場所とされていた場合　|　如果从被认为无金的矿区找到黄金
EP02：金だ　|　是黄金
EP02：その金は世界を書き換える力を持つ　|　那这块黄金就足以改写世界
EP02：金銭とは違う価値がある　|　它有着不同于金钱的价值
EP02：実際に見つかったという事実は　|　实际被发现这一事实
EP02：それまでの常識や理論をすべて書き換えることができるんだよ　|　足以颠覆迄今为止的所有常识和理论
EP02：じゃあ　これも　|　那这个也有吗
EP02：私は同じ力があると思っている　|　我认为它具有相同的力量
EP02：どういうこと　|　什么意思
EP02：私のこれは世界をどう書き換えるの　|　我的这块石头要如何改写世界
EP02：非常に簡単に言うとだな　|　简单来说就是
EP02：今までの考えではこうなっていたことが　|　按照既有观念是那样的
EP02：こう変わる可能性があるということかな　|　现在有可能会变成这样
EP02：なんか　地味　|　感觉有些平淡无奇
EP02：そうか　|　是吗
EP02：ちょっとした変化かもしれないが　|　虽然可能只是微小的改变
EP02：私はすごくワクワクするよ　|　但我却觉得非常兴奋
EP02：私たちみたいなごく普通の人間でも　|　像我们这样平凡的人
EP02：この石を通して人類の知る世界に直接手を加えることができるんだ　|　也能通过这块石头直接改写人类已知的世界
EP02：確かに金銭的価値はわかりやすい指標の１つだ　|　金钱价值确实是最直观的衡量标准之一
EP02：だが数字の評価にとらわれると　|　但拘泥于数字化评价
EP02：視野が狭くなる　|　视野会变得狭隘
EP02：この石は金額としては評価されないが　|　这块石头虽无法用金钱衡量
EP02：その評価がすべてではない　|　但其价值远不止于此
EP02：お金では計りきれない力がある　|　它拥有金钱无法衡量的力量
EP02：そういうものにだってとても魅力的な価値があると思わないか　|　你不觉得这类事物也蕴藏着迷人的价值吗
EP02：これもこれもかな　|　这个 还有这个
EP02：本当に全部持って帰るつもりか　|　你真打算全带回去啊
EP02：これは結晶が大きいやつで　|　这块是结晶很大的
EP02：こっちは結晶がくっついてておもしろいやつ　|　这块是结晶粘连在一起很有趣的
EP02：それから　これ　|　还有这个
EP02：凪さんにあげる　|　送给凪姐
EP02：いいのか　|　可以吗
EP02：これは凪さんが持ってたほうが絶対いい　|　这个给凪姐肯定更好
EP02：そうか　わかった　|　这样啊 明白了
EP02：ありがとう　|　谢谢
EP02：お礼に今度は瑠璃が決めた物を採りに行こうか　|　作为回礼下次去采琉璃想要的矿物吧
EP02：何がいちばん欲しい？　|　最想要什么？
EP02：金　|　黄金
EP02：瑠璃のそういうところ嫌いじゃないぞ　|　我不讨厌琉璃这点呢
EP02：凪さんもういいから　|　凪姐别说啦
EP02：金　採りに行こうな　|　那去采黄金吧
EP02：いくぞ　|　我拔了
EP02：瑠璃　皿　|　琉璃 盆
EP02：はい　|　给
EP02：よし　探してみるか　|　好 来找找看吧
EP02：ある　|　有吗
EP02：どうかな　|　不确定呢
EP02：あったかも　|　好像有
EP02：光ってるけど　|　虽然在发光
EP02：砂金だな　|　是砂金啊
EP02：金　|　黄金
EP02：やった　ついについに自分で金を　|　太好了 终于亲手找到黄金了
EP02：夕方まで降らない予報だったんだが　|　天气预报说傍晚前不会下雨的
EP02：しかたない出直そう　|　没办法改天再来吧
EP02：これからなのに　|　这才刚开始啊
EP02：大雨の続報をお伝えします　|　现在是大雨后续相关报道
EP02：本物の金　次こそいっぱい採ってくるぞ　|　真正的黄金 下次一定要淘个够
EP02：降り続く大雨の影響で河川の水位の上昇が確認されたようです　|　已确认受持续大雨影响 河川水位不断上涨
EP02：付近の方は近づかないようご注意ください　|　请附近居民注意不要靠近河川
EP02：凪さん凪さん　今テレビで…　|　凪姐凪姐 电视正报道…
EP02：今日行った金の採れる川　|　是我们今天去淘金的河
EP02：ちょっと　何冷静に言ってんの　|　等等 你怎么能说得这么冷静啊
EP02：砂金が全部流れていっちゃう　|　砂金全会被冲走的
EP02：やっぱり先週と全然違う　|　果然和上周完全不同
EP02：あそこにあんな大きい石なかったし　|　那里本来没有巨石的
EP02：流木もあるし　|　还出现了漂流木
EP02：これじゃあ砂金全部流れちゃってるよ　|　这样砂金肯定全被冲走了
EP02：ほら　|　戴好
EP02：まだ残ってるかな　|　还会有留下的吗
EP02：ねえ　凪さん　なんで今日車多いの　|　凪姐 今天为什么有这么多车
EP02：結構増水したあとだからな　|　毕竟是在水位大涨之后
EP02：対岸の人も砂金狙いじゃないかな　|　对岸的人也是来淘金的吧
EP02：みんな金がなくなったか心配で来たんだね　|　大家都担心黄金没了才来的
EP02：大切なものはなくなってから気付くのだ　|　珍贵的东西总是在失去后才意识到呢
EP02：いや　その逆だ　|　不 正好相反
EP02：同じ場所だから採れる確率はいつも同じというわけではない　|　同一地点并不代表淘到的概率一成不变
EP02：雨のせいで金が減ってるんでしょ　|　因为下雨黄金含量下降了吧
EP02：本当にそうかな　|　真是这样吗
EP02：もう一度空に聞いてみたらどうだ　|　不如再问问天空如何
EP02：空？　|　天空？
EP02：全然減らない　|　完全不会减少
EP02：もっと思いっ切りやって平気だ　|　再放开些手脚也没事
EP02：砂金が流れちゃわない　|　砂金不会被筛掉吗
EP02：大丈夫　重いとされている鉄でさえ比重は８　|　放心吧 较重的铁比重都只有8
EP02：金は19　桁違いの重さだ　|　而金的比重高达19 完全不能相比
EP02：混ぜるほどに下に沈むから上のほうにはまず出てこない　|　越筛它越会往下沉 不会从上面筛掉
EP02：あった　なくなってない　|　找到了 还在呢
EP02：すごい　３個もある　|　太棒了 有三粒
EP02：天気が悪くなると砂金が増えるんだ　|　原来天气变差砂金反而越多
EP02：そうだ　|　没错
EP02：なんで　|　为什么呢
EP02：金が動くときを考えるんだ　|　思考下黄金是怎样移动的
EP02：金は鉄の倍以上も重い鉱物　|　金是比铁还重两倍以上的矿物
EP02：普通の水流では動かない　|　普通水流根本冲不动
EP02：よっぽど強い力が働くとき　|　需要极强的外力作用
EP02：この前の嵐だ　|　比如之前的暴雨
EP02：そう　確かにこの場所の砂金は流れていっただろう　|　是的 之前这里的砂金或许确实被冲走了
EP02：しかし　同時に上流の山から新たな砂金も供給される　|　但同时也把上游山中的砂金冲了下来
EP02：なくなる以上に増える量のほうが多いんだ　|　补给量远超过流失量
EP02：今まさにこの場所は手つかずの産地　|　现在这里就是未经开采的宝地
EP02：大雨の影響で質　量共に最も期待できる状態になったんだ　|　大雨影响下砂金的质与量都达到最佳状态
EP02：質　量共に最も期待できる　|　质与量都最值得期待
EP02：もしかして金の固まりもあったりして　|　说不定会有天然金块
EP02：バケツ取ってくる　|　我去拿桶
EP02：先週は石の下でわかんなかったけど　|　上周在石头下面都没发现
EP02：こんな大きかったのか　|　原来这么大块啊
EP02：ねえ　この岩ってさ　|　那个 这块岩石
EP02：ちょっ　凪さん　|　喂 凪姐
EP02：甌穴　|　壶穴
EP02：なにその穴　工事の跡かなんか　|　这洞怎么回事 是施工痕迹吗
EP02：ねえ　凪さん　|　凪姐
EP02：凪さんってば　|　凪姐听我说啊
EP02：すまない　|　抱歉
EP02：もう　あのケツがなんだって何ケツなの　|　真是的 那个洞是怎么回事 是什么的洞
EP02：甌穴だ　岩が削れて出来た天然の穴のことだ　|　是壶穴 是岩石被冲刷侵蚀形成的天然洞穴
EP02：天然なの　|　是天然形成的吗
EP02：岩の隙間に入り込んだ石が水流で動き回って出来る　|　夹在岩缝里的小石子在水流中来回打转形成的
EP02：それがあるとなんなの　|　有这洞又会如何
EP02：中に砂金がたまっている可能性がある　|　砂金可能会在其中积聚
EP02：うっそ　それ詳しく　|　不会吧 细说
EP02：金は桁違いに重いため年月がたつと深く沈み　|　黄金相比其他物质更重 经年累月就会向下沉淀
EP02：人の手では届かない深さへ行ってしまう　|　沉到根本无法触及的地方
EP02：だから最初に植物の根を狙ったんだ　|　所以一开始要从植物的根部找
EP02：根がしっかり砂金を抱きかかえてくれるからな　|　因为植物的根能牢牢缠住砂金
EP02：穴の深さにもよるんだが　|　虽然也跟壶穴深度相关
EP02：甌穴の保持力はそれ以上　|　但这个存金能力超过植物根部
EP02：ここはサイズが大きくかなり深そうだ　|　这个壶穴尺寸很大又很深
EP02：入った砂金はまず抜け出せないたまる一方だ　|　进入其中的砂金无法流出只会不断聚集
EP02：貯金箱状態　|　就像个存钱罐
EP02：状況から見て人の手はまだ入っていない　|　从情况来看 这里还没人淘过
EP02：車にスコップはあるが出直して装備を整えるべきか　|　车里有铲子 但要不要回去备齐装备再来
EP02：でも凪さん　|　可是凪姐
EP02：そうだ　人が多い　|　是啊 人太多了
EP02：砂金は移動しながら探すのが普通だ　|　大家淘金都是边走边探
EP02：先を越される可能性は十分ある　|　很可能被人捷足先登
EP02：チャンスは今しかないがこの状態でどこまでやれるか　|　机会只在当下 但不知道这种状态能淘多少
EP02：ねえ　凪さん　|　凪姐
EP02：私　採ってくる　|　我去挖
EP02：冷た　|　好冰
EP02：いけるか　|　能行吗
EP02：大丈夫　|　没问题
EP02：凪さん　あった　|　凪姐 有吗
EP02：ない　|　没有
EP02：あった　|　有吗
EP02：ない　|　没
EP02：あった　|　有吗
EP02：あった　|　有
EP02：砂金が68粒　|　砂金共六十八粒
EP02：たくさん採れたと思ったけどまとめたらこれくらいか　|　以为淘了很多 聚起来才这么点啊
EP02：溶かしてくっつけるか　|　要熔了合在一起吗
EP02：わかってないな　|　你不懂啊
EP02：そういうんじゃないんだよね　|　那样就没意思了
EP02：でもあのとき雨が降らなかったら絶対こんなに採れてなかったよね　|　但要是那天没下雨 肯定淘不到这么多吧
EP02：そうだ　|　是的
EP02：過去の大雨が山から砂金を含んだ土砂を運んできてこの場所に隠し　|　过去的大雨将山中含金的沙土冲至此处埋藏
EP02：今回の大雨が私たちに隠し場所を教えてくれたんだ　|　这次大雨又为我们揭示了埋藏地点
EP02：本当に天気が関係してるんだね　|　真是与天气息息相关啊
EP02：その見えないつながりに気付けることが大事だ　|　能察觉到这种无形的连结才最重要
EP02：新しいつながりは新しい発見をもたらしてくれる　|　新连结会带来新发现
EP02：自然はまだまだわからないことが多い　|　大自然还有太多未知
EP02：１つ見えただけじゃ足りない　|　只发现一小簇远远不够
EP02：更に先を自分の目で確かめたい　|　我想亲眼进一步发现探索
EP02：その意識があれば得られるものはこれからもきっとあるはずだ　|　保持这份思维 未来定会有更多收获
EP02：埋まっている砂金の数に空が影響するって　|　砂金埋藏的数量受天象影响
EP02：意味がわかってもなんか変な感じ　|　即使明白道理还是觉得很奇妙
EP02：石のことを知りたいから石を見る　|　想了解石头所以观测石头
EP02：だけでは見えない面があるということだ　|　但局限于此就会错过其他维度
EP02：私たちの相手は自然そのものなんだよ　|　我们面对的可是自然本身
EP02：よし　そろそろ引き揚げようか　|　好 该回去了
EP02：ちょって待って　|　等等
EP02：まだ底に少し残ってる　|　底下还剩一点
EP02：最後は手ですくってくる　|　最后用手捞上来吧
EP02：潜るのか　|　要潜水吗
EP02：ちゃんと自分の目で確かめなきゃ　でしょ　|　要自己好好亲眼确认 对吧
EP02：まれにいびつに巨大化した砂金が出るといううわさがあるんだ　|　据说偶尔会出现形状奇怪巨大的砂金
EP02：成因はよくわかっていないが　|　成因还不清楚
EP02：まず砂金の上に土砂が堆積する　|　但应该是泥沙在砂金上堆积
EP02：その圧力によって砂金同士がくっつく　|　这压力使砂金彼此粘连
EP02：それだけで巨大な砂金になるの　|　仅此就能形成巨大砂金吗
EP02：一度では難しいな　|　一次很难形成呢
EP02：砂金が地殻変動で山を登り　|　砂金随地壳运动上山
EP02：岩石が欠けたり風化したりして劣化し　|　当岩石经风化侵蚀岩层剥落
EP02：砂金だけが外れて再び川を下ってきて　|　砂金脱落后再随河而下
EP02：また土砂の力でくっつく　|　又重新受泥沙压力挤压结合
EP02：このサイクルを繰り返して　|　如此循环往复
EP02：長い時間をかけて巨大化するらしい　|　历经漫长岁月才能巨大化
EP02：まさかこの砂金　出来るまで１万年とかかかってるんじゃ　|　形成这砂金该不会花了一万年吧
EP02：もし本当なら　100万年以上かかってるはずだ　|　如果是这样形成的 应该超过100万年呢
EP02：100万年　|　100万年
EP02：その10倍だってありうる　|　其10倍时间也有可能
EP02：1000万年　|　1000万年
EP02：そんなに長いこと待ってたの　|　竟等待了那么久啊
EP02：ちなみに　その砂金標本として売ったらかなりの金額になるぞ　|　顺带一提 这种砂金当作标本出售很值钱哦
EP02：売ったら？　|　卖掉？
EP02：やだ　絶対絶対手放さない　|　不要 绝对绝对不会放手
EP02：#金色的价值
EP02：#注：条痕色，矿物划过粗糙表面留下的，或磨成细小粉末的颜色
EP02：#矿物的含铁量
EP02：#现代常用的铁矿石
EP02：#水晶的情况
EP02：#水晶的形状会因为结晶时的温度而变化。一般情况下为低温型。
EP02：#这里能采到黄金
EP02：#是黄金
EP02：#这里不能采到黄金
EP02：#金光
EP02：#满足立方体（骰子型）产出条件的地区
EP02：#满足十二面体产出条件的地区
EP02：#本次采集点
EP02：#满足八面体产出条件的地区
EP02：#满足二十面体产出条件的地区
EP02：#人们往往认为具有相同成分的矿物，其结晶形状也应该是相同的。但事实上，由于其形成条件的不同，结晶形状也有所差异。​
EP02：#石墨（铅笔芯）和钻石都是由纯碳构成的矿物，但由于温度和压力的不同，它们的外观和性质也截然不同。由此深入观察，便能看到更加精彩的结晶世界。​以黄铁矿为例，其代表性的晶体形状有立方体、八面体、五角十二面体这三种。
EP02：#但实际上，在这三种中，根据条件不同，还存在所谓「过渡形态」的晶体。它们成分相同，但因结晶形成时条件的不同才产生了形状上的差异。​
EP02：#有很多成分相同但结晶形态不同的矿物，不难想象沉迷其中的收藏家们要耗费多大的精力。​
EP02：#人们常认为黄金只能在特定场所开采，但事实并非如此。​作为火山大国的日本矿产资源丰富，以前全日本都能采到黄金。如今虽已无开采痕迹，但留下了许多小规模开采记录，在其周边河川中也能淘到砂金。​
EP02：#既然全日本遍布小型金矿，自然也有不少「虽能采金但因产量不具经济价值而从未正式开采」的小型矿点。​这些地点因完全未留记录，也不曾公开说明能淘金，但既然未被开采，至今仍可能有砂金流入附近河流中。​
EP02：#说不定各位家附近的山里也能淘到砂金。​不过产量也顶多达到「拥有专业淘金技术的人努力一天才可能发现一粒」的程度。​若非过分执着，还是建议去知名采金地尝试。​
EP02：#想尝试却缺乏工具时，可在料理盆内侧贴上绝缘胶带作为替代用具。​
EP02：#有底部所以不会沉淀到更深的地方
EP02：#土层 砂砾 细沙
EP02：#挤压 「金属键」的形成方式
EP02：#日本列岛会以每年几厘米的速度运动 由于地区间运动方向与速度的差异使得大地弯曲挤压
EP02：#遗留的恒星
EP02 OUT

EP03 IN
EP03：すごい　広い　|　好厉害 好大
EP03：瑠璃　こっちだ　|　琉璃 这边
EP03：なんなの　ここ　|　这里是干啥的
EP03：何これ　|　这是什么
EP03：黄鉄鉱に関する論文だ　|　是关于黄铁矿的论文
EP03：これを見せたくて大学まで来てもらったんだ　|　就是想给你看这个才特意叫你来
EP03：難しくてどうせわかんな…　|　反正我也看不懂这么难的…
EP03：私の名前　|　有我的名字
EP03：前に黄鉄鉱を採りに行ったな　|　之前我们去采过黄铁矿对吧
EP03：私が見つけた珍しい形のやつ　|　是我发现的那块形状罕见的
EP03：やはり過去に見つけた報告はなかったから　|　此前果然没有相关记录
EP03：どうしても発表したくてな　|　所以我无论如何都想发表出来
EP03：でも私なんにもしてないよ　|　可我什么都没做
EP03：瑠璃が見つけた標本が載ってるんだ　|　论文有提及琉璃发现的标本
EP03：名前があって当然だろ　|　当然要署上你的名字
EP03：新しい発見があったら　|　一旦有了新发现
EP03：公的な形にして残すことは非常に重要だ　|　留下官方文献记录非常重要
EP03：個人的な記録じゃいつ消えるかわからないからな　|　个人记录不知道什么时候就会消失
EP03：無事形にできて安心したよ　|　像这样顺利正式留档我就安心了
EP03：凪さん　|　凪姐
EP03：すっごいうれしい　|　我非常开心
EP03：私の見つけた石がこんな役に立つなんて思いもしなかった　|　完全没想到我发现的石头居然能派上用场
EP03：そうか　よかった　|　是吗 太好了
EP03：やっぱり凪さんはすごいな　|　凪姐果然很厉害
EP03：いっぱい勉強してるんだ　|　读了这么多书
EP03：大学院生だもんね　|　毕竟是研究生啊
EP03：私とは出来が違うもんね　|　和我完全不一样
EP03：なんか難しそうな本に　|　看起来很难的书
EP03：採ってきた石　|　采集到的石头
EP03：どう見ても紙くずとか　|　怎么看都像是废弃的纸屑
EP03：賞味期限が過ぎてそうなお菓子　|　还有快要过期的零食
EP03：なんか散らかってるね　|　感觉有些杂乱呢
EP03：まあ　多少な　|　啊 确实有些
EP03：少しは掃除しないととは思ってるんだが　|　我也觉得是该打扫了
EP03：荒砥先輩　まさか今掃除するって言った　|　荒砥学姐 你刚才有说要打扫对吧
EP03：ありがとう　|　谢谢
EP03：あれ　|　咦
EP03：もしかして瑠璃ちゃん　|　难道你就是琉璃
EP03：あの黄鉄鉱見つけた　|　找到那块黄铁矿的
EP03：えっと　誰？　|　那个 你是？
EP03：私　荒砥先輩と同じ鉱物研の４年生　|　我是和荒砥学姐在同一个矿物研究所的四年级生
EP03：伊万里曜子だよ　初めまして　|　叫做伊万里曜子 你好
EP03：初めまして　|　你好
EP03：今日も本の手入れか　|　今天也来整理保养书吗
EP03：外の階段で虫干ししてきた　|　我刚在外面楼梯晾晒过了
EP03：で　ついに掃除してくれるんだよね　|　所以 学姐终于愿意打扫了
EP03：本はほこりとかかびとかだめだからさ　|　书可经不起灰尘和发霉
EP03：いや　待て　すぐとは言ってないぞ　|　不 等等 我可没说马上开始
EP03：何かこういいきっかけがあったら　|　如果有个合适的契机的话
EP03：凪さん　これ水晶だよね　|　凪姐 这是水晶吧
EP03：そうだ　|　是的
EP03：欲しかったらあげるよ　|　想要的话就给你吧
EP03：やった　|　太好了
EP03：せっかくだからこのまま掃除しちゃえば　|　择日不如撞日 现在就开始吧
EP03：いや　えっとだな　|　这个嘛
EP03：瑠璃を送ってこなきゃいけないから保留ということで　|　等下还要送琉璃回去 下次再说吧
EP03：今からでもいいよ　|　现在开始也行哦
EP03：宝探しさせてくれるんだったらね　|　如果让我寻宝的话我也可以帮忙哦
EP03：はい　落ちてる石はもらっていいんだよね　|　那个 掉在地上的石头我都可以拿走吧
EP03：いいよ　|　可以哦
EP03：よし　|　好
EP03：よーし　頑張っちゃうぞ　|　好 要加油哦
EP03：これは　普通の石か　|　这是个普通石头啊
EP03：これは　どうだ　|　这个如何
EP03：なんだこれ　|　什么啊这个
EP03：見て　宇宙っぽい物見つけた　|　快看 我找到个像是太空来的
EP03：この形　地球の物じゃないよ　|　这形状肯定不是地球的东西
EP03：ビスマスか　|　是铋啊
EP03：ビスマスカ？　|　铋？
EP03：金属元素ビスマス　|　是金属元素铋
EP03：それを人工的に結晶化させた物だ　|　这块是把铋人工结晶后的产物
EP03：人工？　|　人工？
EP03：うそ　そんなの人類には作れないよ　|　不可能 人类哪做出来这样的
EP03：よーし　実際に作ってみせよう　|　好 那就现场做给你看
EP03：作れるの　|　能做出来吗
EP03：このビスマスが材料だ　|　就用这块铋当材料
EP03：ちょっと時間かかるぞ　|　需要点时间哦
EP03：意外とにおいはしないんだ　|　意外地没什么气味
EP03：すごい　溶け始めた　|　好厉害 开始熔化了
EP03：完全に溶けたら火を止めて　|　完全熔化后就关火
EP03：表面の酸化膜を取ってやる　|　再去掉表面的氧化膜
EP03：そのあと中心に固定した針金を軽く刺す　|　然后轻轻地将铁丝插入中央固定
EP03：あとは冷やせば同じ物が出来る　|　等其冷却后就会变得和之前一样
EP03：これだけでいいの　|　这样就行了吗
EP03：そうだ　|　是的
EP03：液体のビスマスが冷えて結晶が出来る　|　液态铋冷却后会形成结晶
EP03：結晶からは液体が固体になる際に発生する熱　|　在由液体变为固体时会释放热量
EP03：潜熱が放出されるため　|　即释放潜热
EP03：そこに温度の偏りが出来る　|　因此会形成温差
EP03：すると結晶は温度が低い部分のほうが早く固まり　|　在温度低的地方结晶会更快凝固
EP03：角や縁が突出した結晶　骸晶が出来る　|　从而产生这种棱角分明的骸晶结构
EP03：あとはすべて固まる前に結晶を取り出す　|　最后在完全凝固前取出结晶
EP03：これだけだ　誰でも簡単に作れる　|　仅此而已 谁都能轻易做到
EP03：ほらな　|　看
EP03：きれい　|　好漂亮
EP03：ゆっくり冷却するのもコツだな　|　诀窍就是要缓慢冷却
EP03：荒砥先輩　今は何をするときか覚えてる　|　荒砥学姐 还记得现在要做什么吗
EP03：すごい本の数　|　好多书啊
EP03：そんなに本が多い　てれるな　|　有这么多吗 好害羞
EP03：本が多いは褒め言葉なの　|　书很多是种夸奖吗
EP03：全部もう手に入らない絶版本なんだよ　|　这些可都是买不到的绝版书
EP03：古い本ばっかり　なんで　|　为什么都是旧书
EP03：昔の情報って見つけたらすぐ保護しないと　|　一旦发现过去的资料就得立刻保存好
EP03：簡単に消えちゃうからね　|　否则很容易就消失了
EP03：当時の専門書って発行部数も極端に少ないし　|　以前的专业书籍发行量很少
EP03：でも地質調査って一度したらなかなか更新されないから　|　但地质调查数据做过一次后就不怎么更新
EP03：他の分野と違って　|　因此与其他领域不同
EP03：昔の記録がそのまま通用することが多いの　|　直接沿用旧资料的情况较多
EP03：その場古い本を持っていないとだめなんだよ　|　所以必须保存好这些古籍
EP03：つまり　古い情報にも一定の価値があるということだな　|　也就是说 即使是旧资料也仍有一定参考价值
EP03：ちがう　古い情報のほうが何倍も貴重だよ　|　不对 是旧资料要珍贵许多
EP03：荒砥先輩　全然わかってないんだから　|　荒砥学姐完全不懂啊
EP03：いらない　|　不要了吧
EP03：昔の地形図だ　|　是以前的地形图
EP03：なんか机の下から出てきて　|　因为是从桌底扫出来的
EP03：発行時期は？　|　发行年份是？
EP03：えっとね　ここの鉱山が稼働してるから　|　我看看 这里的矿场还在开采
EP03：昭和初期のだと思う　|　应该是昭和初期的
EP03：鉱山資源自給のために乱掘していたころか　|　是为了矿物资源自给时的滥采期吗
EP03：これは貴重だな　|　这很有价值啊
EP03：何がいいの　なんかすごいの　|　好在哪 有什么厉害的
EP03：これは宝の地図なんだよ　|　这可是张藏宝图
EP03：宝の地図　|　藏宝图
EP03：そういうの好き好き　私にも教えて　|　我喜欢这个 也告诉我嘛
EP03：任せて　|　交给我
EP03：簡単で簡単でいいから　|　简单说明就行
EP03：この２枚は年代が違う物だけど　|　虽然这两张地图年份不同
EP03：ほら　見て　|　看这里
EP03：昔のほうではここに鉱山のマーク　|　旧地图上这里有矿山标志
EP03：そして　最近の同じ場所　|　但新地图的相同位置
EP03：あれ　なんにもない　|　咦 什么也没有
EP03：なぜ消えたのか　|　矿山标记为什么消失
EP03：答えは間に入るこの３枚目　|　答案就在第三张地图上
EP03：見て　閉山しちゃってるの　|　看 这里已封山
EP03：稼働中の鉱山は代表的な鉱石を１つ表記して　|　正在开采的矿山会在地图上标注代表矿石的符号
EP03：こう記されます　|　就像这样
EP03：でも採掘が終わると　|　开采一旦结束
EP03：そして撤去や朽ちたりしたら地図から消えて終わり　|　等设备撤走或是废弃后在地图上就会被抹去
EP03：それ鉱山の場所わからなくならないの　|　这样就找不到矿山在哪了吧
EP03：なるよ　でも廃坑を地形図に載せるには　|　确实如此 但废弃矿洞要标注在地图上
EP03：煙突みたいな目標物の存在が条件だからね　|　需要有烟囱之类的地标
EP03：消えたらもう自力で探すしかない　|　消失后就只能自行探索
EP03：結局今の情報だけで探すのはもう無理ってこと　|　只靠现代资料寻找根本不可能
EP03：私みたいに昔の情報を集めてなきゃね　|　像我这样收集旧资料才有可能
EP03：でも廃坑なんだよね　もう石がないんじゃないの　|　但既然是废弃矿洞 矿石早就没了吧
EP03：枯渇するまで掘ってたら大赤字だよ　|　挖到资源枯竭才停采会严重亏损的
EP03：普通はその前でやめちゃうから　|　通常在那之前就会提前封矿
EP03：行けばまだ残ってるはずだよ　|　现在去肯定还有一些
EP03：まさに宝の地図でしょ　|　名副其实的藏宝图吧
EP03：鉱山だった場所か　行ってみたいな　|　曾经的矿山啊 真想去看看
EP03：どこか行ってみるか　|　要去哪里看看吗
EP03：瑠璃　選びな　|　琉璃你来选吧
EP03：いいの　|　可以吗
EP03：行きやすい所がいいよ　|　选个方便去的地方比较好
EP03：道路と近くて道も残ってる場所　|　靠近公路还留有道路的地方
EP03：ここがいい　|　我选这里
EP03：そこ　|　那里
EP03：わざわざそんな所を選ばなくても　|　倒也不必专挑这种地方
EP03：石の種類が書いていない所は時々あるけど　|　虽然偶尔会遇见没标矿物种类的矿点
EP03：でも絶対ここ　|　但绝对是这里
EP03：地図でもわからない謎の鉱山　|　连地图上都未标注的神秘矿山
