EP01 IN
EP01：こっちだ　早く　|　在这边 快点
EP02：あの傲岸なヴィケオンが？　|　那个傲慢的维凯翁？
EP02：閣下　撤退を　|　阁下 请撤退
EP02：こんな間違いがあるか　|　我怎会犯下这种错误
EP02：閣下　|　阁下
EP02：迷う時ではありません　|　没有时间犹豫了
EP02：ヤツは今この本陣に　|　那家伙现在正朝这里
EP02：なんで…　|　为什么…
EP02：ピケよりハルゲントへ　|　皮克致哈鲁甘特
EP02：傾きの陽　飛べ　|　西斜之阳 飞翔
EP02：何を　|　干什么
EP02：貴様が　将だな　|　你就是将领吧
EP02：燻べ　貴様　|　熏灼 你这家伙
EP02：答えることを許す　|　准许你回答
EP02：貴様らの他に討伐の群れはいるか　|　除了你们还有讨伐队吗
EP02：人の討ち手を恐れるか　燻べのヴィケオン　|　你害怕人类的讨伐吗 熏灼维凯恩
EP02：その魂は地に落ちたぞ　|　你的灵魂已经堕落了
EP02：答えろ　|　回答我
EP02：討伐軍は貴様らだけか　|　讨伐队只有你们吗
EP02：答えぬならば　|　若不回答
EP02：焼かず　|　不烧死你
EP02：苦しめ　|　而是折磨你
EP02：殺す　|　然后杀死
EP02：何が　貴様の身に起こった　燻べ　|　你的身上发生了什么 熏灼
EP02：私に卑劣と屈辱を与えながら　|　你给予我卑劣与屈辱
EP02：自らの屈辱は隠し立てする気か　|　自己的屈辱却要隐瞒吗
EP02：英雄　|　英雄
EP02：英雄をその目に見たことがあるか　弱き人間よ　|　你可曾目睹英雄 弱小的人类啊
EP02：何　|　什么
EP02：膨大なる群れから現れし強者を　|　庞大群体中出现的强者
EP02：貴様らは英雄と呼ぶのだろう　|　你们称其为英雄对吧
EP02：まさか　|　难道
EP02：人間の英雄が貴様を討ったとでも　|　你是被人类的英雄所伤
EP02：おごるな　|　别自大了
EP02：人間の英雄など飽くほどほふったわ　|　人类的英雄我都杀腻了
EP02：何者も愚かな餌にすぎぬ　|　每个都只是愚蠢的饵料
EP02：真実を知れ人間よ　|　倾听真相吧人类
EP02：運命に愛された英雄は　|　受命运眷顾的英雄
EP02：鳥竜の中にもあることを　|　在鸟龙中也是存在的
EP02：あいつが？　|　是那家伙？
EP02：我が屈辱は答えたぞ　|　我已告知自身的屈辱
EP02：次は貴様が答える番だ　|　接下来轮到你回答了
EP02：討伐隊は私で最後だ　|　我就是最后的讨伐队
EP02：私のあとに黄都の兵は来るまい　|　在我之后不会有黄都的士兵来
EP02：よかろう　|　很好
EP02：ならば貴様の命を火にくべ　人間の愚行を許す　|　那就将你的生命燃于烈火 饶恕人类的愚行吧
EP02：ハルゲントより黄都の鉄へ　|　哈鲁甘特致黄都之铁
EP02：寄せる波間　影の塔　巡る星天　|　聚拢波浪 影之塔 巡游星天
EP02：番えろ　|　上弦
EP02：我が頭上の空はすべて静寂となる　|　我头顶的天空都将陷入寂静
EP02：黄都　第六将の力を知れ　|　见识黄都第六将的实力吧
EP02：無力だ　すべて無力だ　|　无力 完全无力
EP02：ティリートより…　|　提利特致…
EP02：なぜ　|　为何
EP02：また来る　|　又来了
EP02：なぜだ　|　为何
EP02：星馳せ　|　星驰
EP02：彼には生まれつき　３本もの前肢があった　|　他生来便有三只前肢
EP02：腕は新たなる何かを欲した　|　手臂渴望着新的事物
EP02：その腕にまだ見ぬ物をつかみ取りたい　|　那些手臂想要抓住未曾见过之物
EP02：ただの鳥竜ではないことを証明したい　|　想要证明他不是一只普通的鸟龙
EP02：彼は身の丈に合わぬすべてを欲した　|　他渴望着超出自身的一切
EP02：その欲望は　いつしか　|　这份欲望驱使着他
EP02：１つの街の宝を得た　|　获取了一座城市的财宝
EP02：１つの土地を征した　|　征服了一片土地
EP02：１つの迷宮を攻略した　|　攻略了一座迷宫
EP02：そして　|　然后
EP02：今や１つの伝説を滅ぼさんとしていた　|　现在正要毁灭一个传说
EP02：星馳せアルス　|　星驰阿鲁斯
EP02：これ以上の何を欲する　|　你还想要什么
EP02：我が財宝のすべてを奪ったはずだ　|　你已尽数夺走我的财宝
EP02：これ以上　なぜ奪う　|　你为何还要掠夺
EP02：なぜ？　|　为何？
EP02：俺は当然のことをしてるだけだよ　|　我只是在做理所当然的事罢了
EP02：星馳せ　|　星驰
EP02：貴様は…貴様は手を出すな　|　你…你这家伙不准出手
EP02：おのれ　星馳せ　|　可恶 星驰
EP02：ティリートの風へ　けぶれる月を涸らせ　|　致提利特之风 朦胧之月 干涸
EP02：西の断崖　魔天樹塔の毒の魔弾　|　西之断崖 魔天树塔的毒之魔弹
EP02：神経から先にはじけるんだよ　|　会先从神经开始爆裂
EP02：ティリートの風へ　|　致提利特之风
EP02：アルスよりニミの礫へ　|　阿鲁斯致尼米之砾
EP02：花は蕾に　殻を分けて割け　滴る水　|　化花为蕾 裂壳而出 滴水
EP02：貫け　|　贯穿
EP02：形状変形の工術を　|　改变形状的工术
EP02：一呼吸のブレスよりもはるかに速く　|　居然远快于一次吐息
EP02：ふざけるな　|　开什么玩笑
EP02：あいつは　あれは私の敵だ　|　那家伙 那是我的对手
EP02：なぜ奪う　私を助けているつもりか　|　为何要夺走 难道是想帮我吗
EP02：おかしなことを聞くね　|　奇怪的问题
EP02：友達を助けるのなんて　当たり前だろ　|　帮助朋友 不是理所当然的吗
EP02：わ…　|　我…
EP02：私は貴様の友ではない　|　我不是你的朋友
EP02：今の私は黄都の将だ　|　我现在是黄都的将领
EP02：鳥竜殺しの　羽毟りのハルゲントだ　|　鸟龙杀手 拔翼哈鲁甘特
EP02：そっか　|　是吗
EP02：成り上がるために　|　为了名扬天下
EP02：貴様の同族だって　何百と殺してやった　|　就连你的同族 我也杀了几百只
EP02：この年になっても　まだ栄光が欲しくて　|　就算到了这个年纪 还渴求着荣耀
EP02：こんなまねをしているんだ　|　才会做这种事
EP02：だから俺は　ハルゲントを尊敬してるんだよ　|　所以我 一直尊敬着哈鲁甘特啊
EP02：聞いたよ　黄都で上覧試合があるって　|　我听说了 在黄都要召开御前比试
EP02：みんな勇者を担ぎ出そうとしてる　|　大家要选出一位勇者
EP02：俺が出たっていい　|　我也可以参加
EP02：それに前みたいに…　|　就像之前那样…
EP02：ティリートの風へ　|　致提利特之风
EP02：けぶれる月を　|　朦胧之月
EP02：涸らせ　|　干涸
EP02：アルス　よ…　|　阿鲁斯 躲…
EP02：これは…　|　这是…
EP02：死者の巨盾　|　死者的巨盾
EP02：星馳せ　|　星驰
EP02：もう１つ　|　另一个
EP02：ティリー…　|　提利…
EP02：ヒレンジンゲンの光の魔剣　|　希连金根的光之魔剑
EP02：出会った頃は腕を動かすことすらできなかったのに　|　刚遇到他时手臂都还无法活动
EP02：お前は…　|　你…
EP02：黄都二十九官が勇者を探している　|　黄都二十九官正在寻找勇者
EP02：この世界で最強の者を集めようとしている　|　准备把这世上的最强者聚到一起
EP02：強さを誇るのならば　貴様も名乗りを上げるべきだ　|　若是自认强大 你也该去参加
EP02：だが　|　但是
EP02：私は貴様を選ばない　|　我不会选择你
EP02：私は…　|　我…
EP02：私は決して貴様の力で　栄光をつかむことはしない　|　我绝不会借助你的力量获得荣耀
EP02：その欲望が本当にまぶしいよ　|　这份欲望真是耀眼啊
EP02：ハルゲントはいつか　|　哈鲁甘特总有一天
EP02：俺よりずっと　すごいヤツになる　|　会成为远比我厉害的人
EP02：どこに行くつもりだ　|　你要去哪
EP02：ナガン大迷宮　|　纳甘大迷宫
EP02：滅んだ都市だ　何をする　|　那已经毁灭了 去干什么
EP02：欲しい物があるんだ　|　那有我想要的东西
EP02：アルス…　|　阿鲁斯…
EP02：それは異常の適性をもって　地上全種の武器を取り扱うことができる　|　他拥有异常的适应能力 能够操纵世上所有的武器
EP02：それはこの地平のすべてよりかき集めた　異能の魔具の数々を有している　|　他拥有收集自这片大地的 各种异能魔具
EP02：それは広い世界の無数の迷宮と敵に挑み　そのすべてに勝利している　|　他挑战了广阔世界的无数迷宫与敌人 并且全数获胜
EP02：欲望の果てに　ドラゴンの領域さえ凌駕した空中最速の生命体である　|　他是在欲望尽头 凌驾于龙之领域的空中最快生命体
EP02：冒険者　鳥竜　星馳せアルス　|　冒险者 鸟龙 星驰阿鲁斯
EP02：#利奇亚新公国
EP02：#利奇亚境内 主干道
EP02：#人类 月岚拉娜
EP02：#根兽 大海的希古尔雷
EP02：#骸魔 斩音夏鲁库
EP02：#人类 第二十卿：锔钉西多勿
EP02：#人类 第三卿：速墨杰鲁奇
EP02：#鸟龙 没有前肢的小型龙。身体结构为了飞行而特化，所以飞行速度和灵活性高于龙。杂食且攻击性很高，几乎敌对所有种族。是支配天空的种族。
EP02：#提利特峡谷
EP02：#对龙讨伐队 野战阵地
EP02：#人类 第六将：静寂的哈鲁甘特
EP02 OUT

EP03 IN
EP03：本物の魔王が死んだ　|　真正的魔王已经死了
EP03：地平のすべてを恐怖させた世界の敵を　何者かが倒した　|　使大地上所有生灵恐惧的敌人 被某人打倒了
EP03：その１人の勇者はいまだ　その名も実在も知れぬままである　|　至今 人们也无法确定那位勇者的姓名与存在
EP03：恐怖の時代が終息した今　その１人を決める必要があった　|　在恐惧时代结束后的现在 必须决出这位勇者
EP03：タレン様　|　塔莲大人
EP03：どうした　少年　|　什么事 小朋友
EP03：悪いが砂糖菓子はやれんぞ　|　我可没糖给你哦
EP03：お父さんが　いつもタレン様にはお世話になってるって　|　我爸总说 受了塔莲大人很多照顾
EP03：お客さんも増えてますって　お礼言いたくて　|　来光顾的客人也变多了 所以我想要感谢您
EP03：そうか　|　这样啊
EP03：だが私は　何も君の父だけを助けているわけではない　|　不过我 并不只是在照顾你的父亲
EP03：リチアの民が暮らしに困らないよう　|　为了利奇亚人民生活不愁
EP03：いろいろと計画を立てたりするのが私の仕事だ　|　而制定各种各样的计划 是我的工作
EP03：そうなの　|　是这样吗
EP03：君の父が毎日　店を開いているのと何も変わらない　|　我与你每天开店的父亲之间没有不同
EP03：礼なら君の父に言ってあげてくれ　|　要道谢的话 就去感谢你父亲吧
EP03：あの　でも　工作…　|　那个 可是 手工…
EP03：児童会で工作を習ったんです　|　我在儿童会学习了做手工
EP03：タレン様のことを思って　作って…　|　这是为了感谢塔莲大人 做的…
EP03：髪留めを入れておくのによいな　|　用来收纳发夹挺不错的
EP03：大事に使わせてもらうよ　|　我会好好使用的
EP03：よく学ぶといい　少年　|　好好学习 小朋友
EP03：父のように　よいリチアの民となれ　|　要像你父亲那样 成为优秀的利奇亚人
EP03：はい　|　好
EP03：警めのタレンは　|　警戒塔莲
EP03：かつて黄都二十九官の第二十三将に名を連ねた　|　曾是列名于黄都二十九官的第二十三将
EP03：歴戦の武官であった　|　一位身经百战的武官
EP03：文武と政治に秀で　突出した実力を有していた彼女は　|　能文能武且善于政治 拥有杰出能力的她
EP03：本物の魔王の死と同時に黄都からの独立を宣言　|　在真正的魔王死时宣告了独立
EP03：魔王自称者と認定されながらも　独自の兵力を有し　|　被认定为魔王自称者 也拥有自己的兵力
EP03：黄都との衝突に備えている　|　她正在为与黄都的冲突做准备
EP03：来たるべき黄都との戦争　|　为了与黄都之间不可避免的战争
EP03：そのためにすべてを迅速に進め　|　必须迅速做好所有准备
EP03：絶対の勝機を逃してはならない　|　一定要抓住制胜的机会
EP03：ダカイ　戻ってきているのだろう　|　达凯 你已经回来了吧
EP03：ウソ　|　怎么会
EP03：なんで分かるんだよ　|　你怎么知道的
EP03：当て推量だ　|　我猜的
EP03：執務室に戻る時にはいつも今の一言をかけていた　|　每次回到办公室 我都会说那句话
EP03：その反応を見られただけでも　甲斐はあったな　|　能看到你这样的反应 算是值了
EP03：ったく　大したもんだな　タレンちゃんは　|　塔莲你 真是有够厉害的啊
EP03：ナガンでは　例の物を手に入れたのか　|　你在纳甘找到东西了吗
EP03：じゃなきゃ戻ってないさ　|　没找到就不会回来了
EP03：間違いないだろ　|　没错吧
EP03：まさしく　「冷たい星」だ　|　没错 这就是「冷星」
EP03：やはり天才的な才覚だな　ダカイ　|　你果然是有能之士 达凯
EP03：で　どういう代物なの　これ　|　所以 这到底是个什么宝贝
EP03：本物の魔王より以前の時代の記録にあった魔具だ　|　是在真正魔王之前的时代里留下记录的魔具
EP03：魔王自称者キヤズナが　大迷宮の動力源にしたと見ていたが　|　我认为魔王自称者齐亚兹纳将它作为大迷宫的动力源
EP03：当たっていたな　|　似乎确实如此
EP03：中心の水晶を通し　|　通过核心水晶
EP03：太陽の光を都市間砲撃すら　可能な爆裂光へと変える　|　它可以将太阳光转化为能炮击都市的爆裂光
EP03：物騒　|　真危险
EP03：「彼方」から放逐されたものに穏便なものなど一つとしてない　|　被「彼方」放逐之物 没有一样是安稳的
EP03：魔剣や魔具　|　魔剑和魔具
EP03：彼方で許容できぬ逸脱の存在が　|　彼方容不下的超脱之物
EP03：ことごとく　こちらの世界へ流れてくる　|　全都会流转到这个世界来
EP03：それ俺に言ってる　|　你这是在跟我说吗
EP03：よもや自分が穏やかだとは思っていまい　|　你应该不会觉得自己安稳
EP03：その剣だってそうだろう　|　那把剑也是吧
EP03：あらゆる攻撃に絶対の先手を誇る　|　面对任何攻击都能占据绝对先机的
EP03：ラズコートの罰の魔剣　|　拉兹科特的罚之魔剑
EP03：それも彼方を放逐されたものだろう　|　那也是被彼方放逐之物吧
EP03：どうだかな　|　谁知道呢
EP03：冷たい星以外の魔具はどうだ　|　除了冷星之外的魔具呢
EP03：確かめる余裕はあったか　|　有余力搜寻吗
EP03：まあね　|　有吧
EP03：けれど　他にめぼしい物はなかった　|　只不过 并没有更多好东西了
EP03：かまわん　|　没关系
EP03：最低限　冷たい星さえあれば　事は済む　|　至少找到了冷星 这就够了
EP03：迷宮機魔は持って帰らなくてよかったか　|　没把迷宫机魔带回来也行吗
EP03：誰が倒したか知らないけど　|　虽不知是谁打倒的
EP03：随分な物作るよな　魔王自称者って連中はさ　|　但那些魔王自称者做的东西真不得了
EP03：貴様が撃破したものだと思っていたが　|　我还以为是你打倒的
EP03：まっ　俺以外でもやれるヤツはいるんだろ　どっかに　|　除了我 也有人做得到吧
EP03：あいつ　核は右肩だ　|　那个机魔 核心在右肩上
EP03：合ってる　|　对吧
EP03：そこまで詳しい話は聞いていない　|　我没有那么详细的情报
EP03：残骸も黄都に回収されてしまった　|　残骸也已经被黄都回收了
EP03：それは残念　|　那还真是遗憾
EP03：貴様が斬る様を見てみたかったな　|　我还真想看看你挥剑的样子
EP03：そういう期待はやめろよ　|　别有这种期待
EP03：俺は剣士じゃない　|　我又不是剑士
EP03：だが目的の魔具を手に入れた以上　|　但既然已经获得了想要的魔具
EP03：貴様に任せる仕事も変えざるをえない　|　你的任务就得变一下了
EP03：ここ小２か月ほど　|　近两个月来
EP03：リチアに出入りする隊商が襲撃されている　|　出入利奇亚的商队遭到了袭击
EP03：黄都側が差し向けた野盗だろう　|　应该是黄都那边派遣的山贼
EP03：聞いてるよ　|　我有听说
EP03：だけどリチアの空は　レグネジィが守ってるんだろ　|　不过利奇亚的天空不是有雷古聂吉守护吗
EP03：野盗くらい物の数じゃない　|　应付个山贼还不轻松
EP03：リチアに至る途上で　荷を奪われてしまえば　|　如果货物在来利奇亚的路上就被抢走了
EP03：鳥竜の軍でも　どうにもなるまい　|　鸟龙军就鞭长莫及了
EP03：周辺に出没する輩については　また別の問題もある　|　而在附近出没的人 也有别的问题
EP03：さては難しい話だな　|　所以这其实很复杂吧
EP03：敵は野盗を使って　我々の対応を見ているということだ　|　敌人在利用山贼 观察我们的行为
EP03：鳥竜の迎撃がわずかに遅れる時刻や　|　比如乌龙军的出击并不及时
EP03：重要性の高い物資の運搬　|　以及重要物资的运输
EP03：要は　そういう情報を外に流す役割のヤツがいるってこと　|　也就是说 有人在把这些情报往外传
EP03：黄都側の内通者を探し出し　捕らえろ　|　去找出私通黄都的内奸 逮捕他们
EP03：妨害者は貴様の判断で斬っていい　|　若有人妨碍 你可以自行斩杀
EP03：斬っていいって…　|　你说斩杀…
EP03：だから俺　剣士じゃないんだけどな　|　都说了 我又不是剑士
EP03：あとは黄都への伝達を…　|　接下来只要传达到黄都…
EP03：お兄さん　ちょっといい　|　兄弟 有时间吗
EP03：なんですか　燻製肉を買いたいなら…　|　有什么事吗 要是想买熏肉…
EP03：わざわざ街の目の前まで野盗が来ていたのはさ　|　山贼们特地来到城市前面
EP03：工作員を送り込むためか　|　是为了把间谍送进来吗
EP03：狙いは防空網の穴を探るだけじゃなかったんだろ　|　你们不只是来寻找空中防线漏洞的吧
EP03：混乱した隊商に同乗させてもらって　リチア内まで入ってきたんだ　|　你们趁乱搭上商队便车 进入了利奇亚
EP03：襲撃された別の馬車の商人です　みたいな顔してさ　|　装作是其他马车上受袭的商人
EP03：でも身分が行商ってことは　これで全部じゃないのか　|　但身份设定为行商 说明应该不止你们
EP03：指揮系統の様子を探る　別の本命がいると　|　还有其他人负责调查指挥系统吧
EP03：銃口が四　|　枪手四人
EP03：潜伏している者が三　|　三人在潜伏
EP03：合わせて七か　|　总共是七个人吗
EP03：敵を逃がさず　狙撃にも適した地形　|　不会放跑敌人 适合狙击的地形
EP03：こいつらなりの要塞か　|　这里就是他们的要塞吗
EP03：読みが当たったな　|　我似乎是猜中了
EP03：黄都本国の諜報部隊か　いい腕だな　|　黄都本国的谍报部队吗 身手不错啊
EP03：ここまで四発　|　一共开了四枪
EP03：全員　まだ再装填中　|　全都还在装弹
EP03：さて残りは…　|　那么还剩下…
EP03：一　二と三で　五人か　|　一 二 加三 五人吗
EP03：これであと四人　|　这下还剩四人
EP03：逃げようとしても　無駄　|　想跑也没用
EP03：で　あんたとあんたで二人　きっちり一人残るな　|　解决你们两个 就只剩一个了
EP03：あんたたちも殺してもいいけど　どうする　|　我可以把你们也杀了 怎么说
EP03：降伏する　|　我投降
EP03：生かすなら　こいつにしてくれ　|　可以的话 就留他一条命吧
EP03：しかし　|　可是
EP03：お前の腕で勝てる剣士じゃない　こいつは…　|　这不是你能战胜的剑士 这家伙是…
EP03：命乞いで時間を稼いで　|　通过求饶来争取时间
EP03：中に残っている１人を逃がそうとしたよな　|　想放跑另一个还躲在里面的人吧
EP03：分かるよ　そういうのは　|　我都懂的 这种手段
EP03：その一人だって　生かしておく必要はない　|　连那个人我也不用留了
EP03：記録はこの紙に残してるんだろ　|　你们的记录都在这张纸上了吧
EP03：さっき殺したヤツから盗んだ　|　从刚才杀掉的人身上偷来的
EP03：抵抗はしない　|　我不会反抗的
EP03：だから剣士の情けだ　斬るのはやめてくれ　|　所以请剑士你行行好 别杀我
EP03：いや　無理　|　不 我要杀
EP03：俺　剣士じゃなくて盗賊だしさ　|　因为我并非剑士 而是盗贼啊
EP03：鵲のダカイ　|　喜鹊达凯
EP03：彼方では許容できぬ逸脱の存在　|　彼方容不下的超脱存在
EP03：こちらの世界へ流れてくる客人　|　流浪到这个世界的客人
EP03：それは銃弾の速度すら意識の中へと止める　逸脱の視力と魔剣を持つ　|　他能在意识之中暂停子弹的速度 拥有超脱的视力与魔剑
EP03：それは突破不能の迷宮を単独で攻略する　洞察の才覚を誇る　|　他能单独攻略无法突破的迷宫 身怀洞察的才能
EP03：それは対処不能の刹那に略奪を遂げる　絶対精度にして神速の指先を持つ　|　他能刹那施展无法对抗的掠夺 拥有精准无比的神速手指
EP03：世界の境界すら乗り越え奪う　何よりも奔放なる無法の徒である　|　甚至跨越世界边界去掠夺 是放荡不羁的不法之徒
EP03：さあて　どう出る　|　接下来会如何应对呢
EP03：黄都　|　黄都
EP03：盗賊　人間　鵲のダカイ　|　盗贼 人类 喜鹊达凯
EP03：全隊　規律を正せ　僕を見ろ　|　全体注意 向我看齐
EP03：初めに言う　|　话先说在前面
EP03：これは腐った個体の処刑だ　|　这是对堕落个体的处刑
EP03：今日　リチアの民に行方不明者が出たことを知っているだろう　|　如你们所知 今天利奇亚的公民中出现了失踪者
EP03：人間のガキだ　|　是人类的小孩
EP03：年齢は九　女児　|　九岁 女孩
EP03：この中に心当たりのある者がいるんじゃないのか　|　你们当中应该有人知情吧
EP03：ご報告のとおり　|　正如报告的那样
EP03：南方遊撃部隊副長　リクエルが　|　是南方游击队副队长 利克艾尔
EP03：子供を食い殺した　|　把小孩吃掉了
EP03：目撃しています　|　我亲眼看到的
EP03：ご報告のとおり　|　正如报告的那样
EP03：僕らはリチアの民の庇護の対価として　|　我们庇护利奇亚公民的同时
EP03：十分な食糧支援を受けている　|　获得了足够的食物作为报酬
EP03：対価としてだ　|　这是等价交换
EP03：バカどもでも分かるように言う　|　用蠢货也能听懂的话说
EP03：リチアの民を食うこと　|　吃掉利奇亚的公民
EP03：そして警めのタレンからの信頼を損なうことは　|　以及损坏警戒塔莲对我们的信赖
EP03：この群れすべてを飢えさせる　腐った重大な反逆行為だ　|　是会让整个族群挨饿的 堕落且严重的反叛行为
EP03：南方遊撃部隊副長　リクエル　|　南方游击队副队长利克艾尔
EP03：申し開きがあるなら言え　|　有什么辩解的话就快说
EP03：まさかリクエルが…　|　没想到利可艾尔竟然…
EP03：レグネジィよりリチアの風へ　|　雷古聂吉致利奇亚之风
EP03：返る鏡盤　紐付きの陽　|　反射镜盘 纽带之阳
EP03：照らせ　|　照耀
EP03：なぜ俺が　|　为什么是我
EP03：僕をあざむけると思ったのか　|　你以为能欺骗我吗
EP03：クズめ　|　你这渣滓
EP03：見ろ　|　看好了
EP03：規律を乱したバカの末路を見ろ　|　好好看清楚违反纪律的蠢货是什么下场
EP03：リチアの民を食うクズは　|　吃了利奇亚公民的渣滓
EP03：人食いは死罪　例外はない　|　食人者全部死罪 没有例外
EP03：死罪　死罪だ　|　死罪 是死罪
EP03：一年　このクズは　一年前に群れに加えたヤツだ　|　一年 这个渣滓是一年前加入族群的
EP03：処置が足りなかった　|　处置得还不够
EP03：同時期の連中には全員　再処置を行う　|　对同时期加入的全员 再进行处置
EP03：二度と規律を乱すな　|　不许有人再坏了规矩
EP03：二度とだ　|　再也不许
EP03：僕はクズどもを導く　|　我会领导这群蠢货
EP03：他のどの鳥竜よりも優秀にしてみせる　|　培养他们成为最优秀的鸟龙
EP03：群れから逃げるものか　|　绝不会离开族群
EP03：真に強き者は率いる者　|　真正的强者是统率者
EP03：より多くの命に責任を負う者だ　|　是背负更多生命的人
EP03：今日は晴れ　|　今天是晴天
EP03：レグネジィは朝早くに出て　まだ帰ってこない　|　雷古聂吉很早就出去了 到现在还没回来
EP03：最近は特に忙しそうだ　|　最近好像特别忙
EP03：何をブツブツ言っているんだ　|　你在那嘀咕些什么
EP03：レグネジィ？　|　雷古聂吉？
EP03：ああ　ここにいるよ　|　嗯 我在这呢
EP03：今日も出撃だったの　|　今天也出击了吗
EP03：クズ野盗を追い払ってきたところだ　|　刚刚去驱赶了那些渣滓山贼们
EP03：毎日　遊んでるお前とは違うんだよ　|　和每天都游手好闲的你可不一样
EP03：日記を書いてたの　|　我在写日记
EP03：文字の書ける貴族の人は　|　据说那些会写字的贵族
EP03：毎日　こういう本に記録をつけるって　|　每天都会在这样的本子上记录
EP03：私もそうすれば　|　我也这么做的话
EP03：レグネジィと話したことをずっと覚えていられるから　|　就能永远记住和雷古聂吉聊过的事了吧
EP03：マヌケなことを言うなよ　|　别说这种蠢话了
EP03：目も見えないのに　どうやって文字なんか書ける　|　眼睛都看不见 要怎样写字
EP03：ここ最近はこれが楽しみなの　|　这可是我最近的乐趣哦
EP03：まだ外は明るいよね　|　外面天还亮着吧
EP03：僕に触るな　|　别碰我
EP03：やっぱり不意打ちでも無理ね　|　果然突然袭击也不行呢
EP03：雑魚め　|　废物
EP03：お前みたいな雑魚　一生かかっても僕に触れるわけないだろ　|　像你这种废物 就算努力一辈子也别想碰到我
EP03：そうかもしれないね　|　或许是这样吧
EP03：また別の方法を考えてみないと　|　看来我得想点别的办法了
EP03：レグネジィは　リチアのことは好き　|　雷古聂吉 你喜欢利奇亚吗
EP03：お前はどうなんだよ　|　你呢
EP03：何も見えないくせに　|　明明什么都看不到
EP03：好きよ　とってもきれい　|　我喜欢哦 这里很漂亮
EP03：マヌケめ　|　你这蠢货
EP03：羨ましいよ　|　真令人羡慕啊
EP03：今日は歌わないのか　|　今天不唱歌吗
EP03：歌なら私よりもっとうまい歌手がいるわ　|　唱歌的话 还有远比我厉害歌手哦
EP03：カーテの歌がいいんだ　|　我只想听卡黛唱的歌
EP03：そう　|　这样啊
EP03：すべてが終わった今となっても　|　即使在一切都已终结的当下
EP03：本物の魔王の正体をはっきりと理解している者など　|　清楚了解真正魔王身份的人
EP03：どこにもいないのかもしれない　|　恐怕一个都没有吧
EP03：本物の魔王が何者だったのか　|　真正的魔王究竟是谁
EP03：彼女の故郷に何をしたのか　|　又对她的故乡做了什么
EP03：カーテはじかに見てすらいない　|　卡黛甚至没有亲眼看到
EP03：ただ筆舌に尽くしがたい恐怖の末　|　只是在难以言状的恐怖尽头
EP03：彼女は光を失った　|　她失去了光明
EP03：それでも　たった一人と一羽だけが　狂気に落ちることはなかった　|　即便如此 仅剩的一人一龙也并未陷入疯狂
EP03：カーテは信じている　|　卡黛相信着
EP03：暗闇の中で聞こえた　現実感すら曖昧なその歌が　|　在那黑暗中听到的 虚无缥缈的歌
EP03：正気を呼び戻してくれたのだと　|　唤回了他们的理智
EP03：ねえ　レグネジィ　|　雷古聂吉
EP03：リチアはこれからどうなるの　|　利奇亚今后会怎么样呢
EP03：カーテはどうするんだ　|　卡黛你是怎么想的
EP03：これからもリチアに居続けるつもりなのかよ　|　打算以后也一直待在利奇亚吗
EP03：お母さんはリチアの王様だから　|　毕竟妈妈是利奇亚的女王
EP03：人が死ぬぞ　|　会死人的
EP03：すぐに戦争になる　|　战争马上就要开始了
EP03：ホントだ　僕には分かる　|　是真的 我知道
EP03：それでも　レグネジィを置いていけないよ　|　就算是这样 我也无法丢下雷古聂吉
EP03：もし戦争になったら　|　要是开战了
EP03：カーテみたいなグズは真っ先に死ぬんだろうな　|　你这样的慢乌龟肯定是最先死的吧
EP03：ええ　そうね　|　嗯 是啊
EP03：何度やっても同じだ　ノロマめ　|　无论试几次都是一样的 笨蛋
EP03：もう　ちょっとくらいいいじゃない　|　真是的 稍微碰一下又怎么样啦
EP03：ほら　|　看招
EP03：やめろ　バカ　|　别这样 笨蛋
EP03：転んだらどうする　|　要是摔倒了怎么办
EP03：また歌ってもいい　|　我可以再唱歌吗
EP03：別に　勝手にしなよ　|　无所谓 随你
EP03：ねえ　レグネジィは知ってる　|　雷古聂吉你知道吗
EP03：この世の始まりには　天使がいて　|　这个世界一开始是有天使的
EP03：詞神様と一緒に世界を創ったんだって　|　据说天使和词神一起创造了世界
EP03：そんな伝説　信じてるのか　|　你相信这种传说吗
EP03：うん　天使は歌が好きなの　|　嗯 天使喜欢唱歌
EP03：詞術の始まりは歌だったから　|　毕竟词术的起源就是歌嘛
EP03：レグネジィが天使だったらいいのにね　|　要是雷古聂吉是天使就好了
EP03：それはこの世界で唯一の　広大な空を支配する自在の飛行軍勢を持つ　|　他拥有世界上唯一支配广阔天空的自由飞行军队
EP03：それは死をもいとわぬ絶対服従の群体を　まるで１つの生命体のごとく統率する　|　他统率着不惧死亡 绝对服从 宛如一个生命体的群体
EP03：それは戦局を支配する知性で　１つの国家の中枢へと深く根を張っている　|　他具备支配战局的才智 并深深扎根在一个国家的中枢
EP03：司令　鳥竜　夕暉の翼レグネジィ　|　司令 鸟龙 夕晖之翼雷古聂吉
EP03：ということになっている　|　情况就是这样
EP03：では連絡があり次第　すぐに動け　|　那么 一有连络你就马上行动
EP03：いや　違うさ　|　不 不对哦
EP03：今回は始末じゃなくて　護衛の仕事だ　|　这次的工作不是杀人 而是护卫
EP03：少し厄介な荷物があるらしくてね　|　似乎有个略显棘手的货物
EP03：まっ　なんとかなるよ　|　算了 总有办法的
EP03：俺には天使様が　ついてるんだ　|　毕竟天使大人与我同在
EP03：#利奇亚新公国
