EP01 IN
EP01：行ってきます　|　我出门啦
EP02：君　その標識を怖がってた　|　你对这个标识很害怕
EP02：指が震えていた　|　手指都在抖
EP02：それでも私に説明してくれたよね　|　即便如此你还是向我说明了
EP02：ここの標識はいつから見えるんだい　|　什么时候开始能看到这里的标识
EP02：一月くらい前から　|　大概一个月之前
EP02：赤面したおっちゃんが先輩と一緒にトイレから　|　面红耳赤的小乙和前辈一起从厕所出来
EP02：こいつは大スクープっすよ　|　这可是大新闻
EP02：業界震撼っすよ　|　震惊业界
EP02：どこのゴシップ誌よ　|　哪里的流言杂志啊
EP02：先輩に失礼だよ　珠ちゃん　|　这对前辈很不礼貌哦 小珠
EP02：申し訳ありません　若作り先輩　|　非常抱歉 装嫩前辈
EP02：こちらが噂の若作り先輩？　|　这就是传说中的装嫩前辈？
EP02：おっちゃん　恋人なんでしょ　|　小乙 她是你的恋人吧
EP02：紹介して　|　快介绍一下
EP02：というわけで　|　事情就是这样
EP02：特別ゲストの高等部１年　若作り先輩です　|　她就是高中部一年级特别嘉宾 装嫩前辈
EP02：拍手　|　鼓掌
EP02：そうそう　こういうことがしたかったんだよ　|　对对 这才是我想体验的生活啊
EP02：美味しい　|　好吃
EP02：でしょでしょ　|　好吃吧
EP02：麻里ズリーっす　|　麻里你太狡猾了
EP02：おっちゃん独占禁止法っすよ　|　小乙独占禁止法忘了吗
EP02：こっちにも来るべきっす　|　应该也来和我贴贴
EP02：麻里の膝の方がいい　|　麻里的大腿更舒服
EP02：フラれたっす　|　被甩了
EP02：そういえば聞いたっすか　あの噂　|　说起来那个传闻你们听说了吗
EP02：何　|　什么
EP02：三組の明美ちゃんと美香さんがキスしてたらしいっす　|　三班的明美和美香好像亲嘴了
EP02：明美って瞳と付き合ってるよね　|　明美不是和瞳在交往吗
EP02：もしかしてそれって浮気　|　这莫非是外遇
EP02：けしからん　乱れてるっす　|　下流 太淫乱了
EP02：明美はエロいからすぐ胸とか触ってくるよね　|　明美非常好色 经常来袭胸
EP02：私　触られたことねっすよ　|　我没被她摸过
EP02：私　よくハグされるよ　|　我经常被她抱
EP02：のどかはそういうことさせちゃダメ　|　和 你千万别让她干这种事
EP02：高等部の若作り先輩なら経験豊富なはず　|　高中部的装嫩前辈肯定经验很丰富
EP02：誰とどんなイチャコラをするんですか　|　都和谁干过哪些羞羞的事啊
EP02：ドピンクな実体験を　|　真实的色色体验
EP02：ドロドロの恋愛ですか　|　纠缠不清的恋爱吗
EP02：そりゃそうさ　当然だろ　|　那当然
EP02：寄ってくる男を片っ端からちぎっては投げ　ちぎっては投げさ　|　来搭讪的男人我都是玩了就扔
EP02：高等部の先輩はやっぱりすごいです　|　高中部的前辈果然厉害
EP02：もっと熱々の色話は　|　来点更烧的色情故事
EP02：生々しいやつは　|　生动逼真的故事
EP02：珠ちゃん本気すぎない　その熱気何　|　小珠你是不是太来劲了 怎么这么上头
EP02：だって　|　因为
EP02：この学校何の刺激もないんすもん　|　这所学校像是一潭死水缺少刺激
EP02：いじめなんかも全くなくて　|　连霸凌都没发生过
EP02：平穏すぎて　逆に薄気味悪いくらいっす　|　过于安稳反而有点阴森森
EP02：いじめが全くない？　|　完全没有霸凌？
EP02：生徒の人数を考えると　それは信じがたい奇跡だな　|　考虑到学生的基数 真是难以置信的奇迹
EP02：私は平和でいいなって思います　|　我是觉得和平点就很好
EP02：でも最近は　|　但是最近
EP02：不登校の生徒が増えてるんだろ　|　不来上学的学生不是变多了吗
EP02：「ヨダレカケ」のことっすか　|　你是说「垂涎症」吧
EP02：ようやく本題だ　|　终于聊到正题了
EP02：ヨダレカケ　|　垂涎症
EP02：それはこの学校で最近続発している現象で　|　这是最近在这所学校发生的怪象
EP02：突如として　生徒の体が火のように熱くなり　昏倒する　|　学生体温突然急剧升高 然后晕倒
EP02：その合図が垂れ流す大量のよだれだという　|　其标志性症状是流出大量口水
EP02：発症者に規則性はなく　治療の効果もないが　|　发病者没有规律 治疗也没有效果
EP02：帰宅すると回復する　|　但是只要回家就会恢复
EP02：そしてまた学校に来ると再発する　|　之后再来学校又会复发
EP02：だから生徒たちは再発を恐れて不登校になるという　|　所以学生们害怕复发就不来上学了
EP02：なるほど　|　原来如此
EP02：そんなことより　猥談の続きは　|　比起这个 下流故事的后续呢
EP02：若作り先輩？　|　装嫩前辈？
EP02：やめなさい　あなたたち　|　你们几个 快停下
EP02：畦目先生　|　畦目老师
EP02：あなたたち　いじめはダメだって言ってるじゃ…　|　你们几个 都说了不能霸凌…
EP02：大丈夫ですか　|　你没事吧
EP02：相手が嫌がることはしちゃダメよ　|　不能做对方讨厌的事啊
EP02：違うっす　これはじゃれ合ってただけで　|　没有 我们只是玩闹
EP02：言い訳はしない　|　不要找借口
EP02：今日はもう帰りなさい　|　今天先赶紧回家
EP02：それから若作りさん　|　还有 装嫩同学
EP02：聞きたいことがあるから　一緒に来て　|　老师有话要问你 跟我来
EP02：正直に教えてほしいの　|　老师希望你说实话
EP02：何でしょうか　|　什么
EP02：あなた　いじめられてるでしょ　|　你 被霸凌了对吧
EP02：私はあなたの味方よ　|　我是站在你这边的
EP02：ゆっくりでいいから　事情を話して　|　慢慢来 把情况说明吧
EP02：いえ　大丈夫です　|　不 不用担心
EP02：いや　本当に　|　我是说真的
EP02：自分が若人に馴染めていない事実を突きつけられて　|　只是自己和年轻人的代沟摆在面前
EP02：震えているだけなんで　|　有点被打击到了而已
EP02：ごめんなさい　早とちりしちゃって　|　对不起 是老师太武断了
EP02：いえ　いいですから　|　没关系的
EP02：あなたが羽交い締めされてたから　慌てちゃって　|　看你一直被缠着不放 我就慌了神
EP02：もう大失敗だわ　情けない　|　真是太失败了 好丢人
EP02：いえ　|　没事
EP02：ねえ　若作りさんは夢や目標はある　|　装嫩同学有什么梦想或者目标吗
EP02：夢ね　|　梦想啊
EP02：私　昔から小説家になりたかったんです　|　我一直想成为一名小说家
EP02：だから夢は　めちゃくちゃ面白い小説を書く　ですかね　|　要说梦想 那就是写出超有意思的小说吧
EP02：どうしました　|　怎么了
EP02：すごいわ　|　好厉害
EP02：しっかり夢があるのね　|　你有很明确的目标呢
EP02：素敵だわ　小説家になる夢　|　成为小说家 是很棒的梦想呢
EP02：応援するね　|　我会支持你的
EP02：ありがとうございます　|　谢谢
EP02：生徒の夢を応援することが　私の夢なの　|　支持学生的梦想就是我的梦想
EP02：いつか先生にも読ませてね　|　什么时候也让老师读读
EP02：応援されてしまった　|　被鼓励了啊
EP02：待ってたっすよ　先輩　|　等你好久了 前辈
EP02：さあ　猥談の続きっすよ　|　快 下流故事的后续呢
EP02：コーラ　エロガッパ　|　还来 好色小鬼
EP02：のどかちゃんは先生を呼んできてくれ　|　小和 快去找老师
EP02：乙ちゃんは救急車を　|　小乙去叫救护车
EP02：はい　|　好的
EP02：何してる　乙ちゃん　|　小乙 你在做什么
EP02：まさか　見えているのか　|　难道 你看见了吗
EP02：標識が　|　标识
EP02：石は流れ　木の葉は沈み　|　石头流动 树叶下沉
EP02：馬は吠え　牛は嘶く　|　马儿吼叫 老牛嘶鸣
EP02：言ったでしょ　|　不是说过了吗
EP02：いじめはダメだって　|　不能霸凌
EP02：#售票处
EP02：#校舍与口水与团地妻
EP02：#如月
EP02：#注：团地妻指居住在密集住宅区的主妇，常被描绘为欲求不满、容易出轨
EP02：#高岭女子学院
EP02：#垂涎症 发热 大量口水 无论何地 无论何时 在学校发病 回家就恢复 宅家
EP02 OUT

EP03 IN
EP03：両親を失った私は　田舎で暮らす祖母に引き取られた　|　失去父母之后 是住在乡下的奶奶收留了我
EP03：この荷物が私の持ち物のすべてだった　|　这包行李就是我拥有的一切了
EP03：祖母のたえは抱きしめてくれた　|　奶奶多恵将我拥入怀中
EP03：以来ずっと　私はおばあちゃん子だ　|　从那之后 我就跟奶奶很亲
EP03：祖母との生活は裕福ではなかったけど　|　跟奶奶一起过的日子并不富裕
EP03：穏やかで優しい日々だった　|　却十分宁静安稳
EP03：でも　|　可是
EP03：服は祖母の手作りや格安セール品ばかりだったので　|　我的衣服要么是奶奶做的 要么是廉价甩卖的
EP03：同級生からバカにされ　からかわれた　|　因此经常被同学嘲笑 讥讽
EP03：いつも同じ服だね　あんた　|　你衣服就没换过吧
EP03：洗濯したことあんの　|　你洗过吗
EP03：みんな　大掃除の日は雑巾を持ってきてね　|　各位同学 大扫除那天别忘带抹布
EP03：いっぱい縫ったから　他の子たちにもあげてな　|　我缝了好多呢 给班里同学也分点吧
EP03：忘れた　|　我忘了
EP03：誰か雑巾貸して　|　谁能借我抹布吗
EP03：あの…　|　那个…
EP03：あの　雑巾あるから使って　|　那个 我有多的抹布 给
EP03：何これ　今あんたが着てるのと同じ生地じゃん　|　这啥呀 怎么跟你穿的衣服一种布料
EP03：あんたって雑巾着てたんだ　|　合着你穿的是抹布啊
EP03：っていうかこれなんか臭い　|　这个闻着还一股味
EP03：パスパス　|　不要了不要了
EP03：やめて　|　别这样
EP03：本当だ　年寄りの匂いだ　|　还真是 一股老人味
EP03：返して　|　还给我
EP03：やめなよ　かわいそう　|　算了吧 她好可怜
EP03：返して　|　还给我
EP03：暴力？　|　暴力？
EP03：真奈美がですか　|　真奈美吗
EP03：先方の親御さんがとても怒ってらっしゃいます　|　对方父母特别生气
EP03：すぐに畦目さんから謝罪しておさめてくださいませんか　|　能不能赶紧让畦目同学去道歉
EP03：ですが　真奈美はわけもなく乱暴なんてしません　|　可是 真奈美不会无缘无故动手的
EP03：何か誤解が　|　肯定有误会
EP03：私のクラス運営に　問題があるとでも言うんですか　|　你是说我管理班级的方式有毛病吗
EP03：ですが　|　但是
EP03：真奈美さんがこんなトラブルを起こすのは　|　真奈美同学惹出这种事来
EP03：ご家庭に　問題があるんじゃないですか　|　难道不是家庭有问题吗
EP03：潜入初日で当たりを引くとは　|　潜入第一天就遇上了
EP03：さすがです　菫子さん　|　真不愧是你 堇子小姐
EP03：やかましいわ　|　你好啰嗦
EP03：私の服はどうした　|　我的衣服哪去了
EP03：涎まみれの制服と一緒に　クリーニングに出しました　|　跟全是口水的制服一起拿去洗了
EP03：それよりどうです　|　先不说这个
EP03：ヨダレカケを直に見て　何か分かりましたか　|　亲眼见过垂涎症后 你明白什么了吗
EP03：あれを病気と診断するやつの目は節穴だってことぐらいさ　|　谁把这个诊断成病 那眼睛真是跟瞎了一样
EP03：あれはもっと別の何かだよ　|　那是别的某种东西
EP03：倒れた３人は無事だったんですよね　|　倒下的三个人都不要紧吧
EP03：先生が外に連れ出したら　３人とも意識を取り戻した　|　老师把这三个人带出去之后 她们就恢复意识了
EP03：いいですね　実にいい　|　好 很好
EP03：不自然だ　|　这事不正常
EP03：ずいぶん機嫌がいいな　|　你心情挺好的嘛
EP03：そりゃあそうですよ　|　那肯定啊
EP03：ようやく怪異を見つけたんだ　|　终于找到怪异了
EP03：逃がさねえ　|　绝不放跑
EP03：倒れた時　標識も立ったんだね　|　倒下的时候 标识也出现了吧
EP03：でも私何もできなくて　|　可我什么都做不了
EP03：いいんだよ　乙　|　没事的 乙
EP03：友達が目の前で倒れたんだからね　|　毕竟是朋友在面前突然倒下
EP03：僕は乙が無事だったらそれでいいんだ　|　只要乙没事 我就放心了
EP03：蓮兄　|　莲哥
EP03：私の心配もしてくれて構わないんだが　|　你也可以来惦记我一下
EP03：もちろんしてますよ　|　肯定也担心你啦
EP03：乙の次に　|　在乙之后
EP03：そりゃ光栄だ　|　不胜荣幸
EP03：怪異があることは確定したと考えていいでしょう　|　已经可以认定那边存在怪异了吧
EP03：次は怪異を　捉えます　|　下一步就是把它抓住
EP03：捉える？　|　抓住？
EP03：明治の哲学者　井上圓了は　著書の妖怪学講義で　|　明治哲学家井上圆了在他写的妖怪学讲义里
EP03：妖怪を実怪と虚怪に分類しました　|　把妖怪分成了实怪和虚怪两种
EP03：虚怪は恐怖心や誤解が生んだ虚構　|　虚怪是由恐惧和误解滋生出的虚构之物
EP03：対して実怪は　実際に起きた超常現象を指します　|　而相对地 实怪是指实际发生的超自然现象
EP03：実怪はさらに　真怪と仮怪に分けられ　|　实怪还能再细分为真怪和假怪
EP03：何らかの証明が可能な超常現象を　仮怪と呼びます　|　能通过某种手段证明的超自然现象称为假怪
EP03：そして　科学でも解明できない真の超常現象を真怪という　|　而不能用科学解析的真正超自然现象则叫做真怪
EP03：だが圓了の定義する真怪は　自然の法則すべてだ　|　不过圆了所定义的真怪 包含了所有自然法则
EP03：ある意味　怪異の対極みたいなもんだろう　|　在某种意义上 算是怪异的相反极端
EP03：哲学者らしいロマンチックな解釈ですよね　|　很像是哲学家会做出的浪漫解释吧
EP03：だけど僕はあいにく圓了じゃない　|　不巧的是我并非圆了
EP03：僕の真怪の定義は文字通り　真の怪異です　|　我对真怪的定义如同字面意思 真正的怪异
EP03：なるほど　|　原来如此
EP03：真怪は滅多にありませんから　だいたい見当はついてます　|　真怪并不常见 所以我大体有了头绪
EP03：そうか　|　是吗
EP03：なら私の女子高潜入ミッションも終了だな　|　那我潜入女子高中的任务就结束了吧
EP03：何言ってんです　|　你在说什么呢
EP03：菫子さんには　明日も学校に行ってもらいます　|　堇子小姐明天也请继续去学校吧
EP03：乙　友達を助けたいだろ　|　乙 你想要救朋友吧
EP03：なら　僕に任せてくれ　|　那就交给我吧
EP03：先生　ごきげんよう　|　老师 贵安
EP03：ごきげんよう　|　贵安
EP03：まっすぐ帰るのよ　|　直接回家不要乱逛哦
EP03：あんまりだ　もう便所飯は嫌だ　|　太过分了 我不要再在厕所吃饭了
EP03：なんでまたトイレなんだ　クソ　|　为什么又是厕所 可恶
EP03：待って　今開けるから　|　等着 我马上给你开门
EP03：注：剑山，一种插花用的带刺工具　|　
EP03：剣山まで…　|　还放了剑山…
EP03：なんてひどい　|　太过分了
EP03：大丈夫　今出してあげる　|　没事了 现在就救你出来
EP03：若作りさんじゃない　|　怎么是装嫩同学
EP03：畦目先生　|　畦目老师
EP03：もう大丈夫よ　|　已经没事了
EP03：ありがとうございます　|　非常感谢
EP03：若作りさんあなた　やっぱり…　|　装嫩同学果然还是被…
EP03：違うと思いたかったんです　いじめられてなんかないって　|　我还想着欺骗自己 说我没有被霸凌
EP03：自分が認めなければ　いじめじゃなくなると思ったんです　|　我以为只要自己不承认 就不算霸凌
EP03：それに先生に言ったとしても　|　即使跟老师说
EP03：どうせ何も変わらないのは分かってましたから　|　也不会有任何改变 这点我很清楚
EP03：やっぱりダメね　|　果然还是不行
EP03：加害者を狙っても終わらない　|　从加害者出发解决不了问题
EP03：発想の転換が必要だわ　|　必须得转换视角
EP03：被害者を休ませてあげなきゃ…　|　要让受害者回家休息…
EP03：口実は私が作ってあげる　|　我来为你提供借口吧
EP03：影が縮んだ？　|　影子缩短了？
EP03：はじめまして　ごきげんよう　|　初次见面 贵安
EP03：今後　床舐めは禁止ですよ　|　以后 禁止再舔地板了哦
EP03：はい　|　好的
EP03：なんで男子が…　|　怎么有男生…
EP03：そこの子供は…　|　那边的小孩是…
EP03：何　あなたたちは　|　你们是什么人
EP03：僕はここの生徒のただの保護者であって　|　我只是这里学生的监护人
EP03：あっちは　短太眉ふかふか恵体女です　|　那位是有着丰满身材的短粗眉女人
EP03：誰がふかふか恵体眉毛だ　|　你说谁是身材丰满的短粗眉
EP03：いや　向こう向いとけよ　|　不是 快把头转过去
EP03：何がっつり見てんだ君は　|　还盯着我干嘛
EP03：若作りさん？　|　装嫩同学？
EP03：やっぱりさっきの子供はあなただったの　|　果然 刚刚的小孩是你吗
EP03：そんなことより　畦目先生がヨダレカケの犯人　|　比起那种事 畦目老师居然是垂涎症的犯人
EP03：牛鬼　|　牛鬼
EP03：伝承の大半は非常に残忍な性格で　|　在大多数传说中性格都极其残暴
EP03：人を食い殺すのを好む化け物として伝えられています　|　被认为是一种以吃人杀人为乐的怪物
EP03：百怪図巻の牛の頭をした蜘蛛の姿が有名ですが　|　虽然百怪图卷中的牛首蜘蛛形象很出名
EP03：伝承ごとに　姿や性質が大きく異なるのが特徴　|　但在不同传说中 其外貌和性格都有很大差异
EP03：牛鬼に影を舐められた者は突如唾液を垂れ流し　|　据传被牛鬼舔到影子的人 会突然流出唾液
EP03：火がついたように体が熱くなり死に至るという伝承があります　|　身体如同被烈火点燃般发热 直至死亡
EP03：ヨダレカケと似ていると思いませんか　|　不觉得跟垂涎症非常相似吗
EP03：そしてゴシップ少女の珠ちゃんに聞いてみたら　|　随后我问了八卦少女小珠
EP03：ヨダレカケの被害者っすか　|　垂涎症患者吗
EP03：周りと揉め事がある子が多かったっすかね　|　大多都是跟周围人有纠纷的
EP03：以上の点から　乱暴ですが仮説を立てました　|　结合以上证据 能得出一个粗略的假说
EP03：すなわち　牛鬼の力でいじめの芽を刈り取っているものがいる　|　就是 有人想依靠牛鬼的力量来消灭霸凌萌芽
EP03：なので　「いじめられっ子」で罠を張ったわけです　|　于是 我们用「被霸凌的孩子」设下陷阱
EP03：何　|　什么
EP03：いや　|　别
EP03：いや　|　别
EP03：やめて　|　不要
EP03：やめて　嗅がないで　|　不要 不要闻了
EP03：なるほど　これが原因か　|　原来如此 这就是原因啊
EP03：その髪飾り　それさえ手放せば　すべて丸く収ま…　|　那个发饰 只要把它取下 问题就能圆满解决…
EP03：存外弱い　|　意外地弱
EP03：どうして先生の邪魔をするの　|　为什么要来妨碍我
EP03：落ち着いてください　|　请冷静点
EP03：先生の願望は　いじめをなくしたいってすよね　|　你的愿望 是想让霸凌消失对吧
EP03：けど　|　但是
EP03：生徒を傷つけたら　元も子もないじゃないですか　|　如果为此要伤害学生 不是本末倒置吗
EP03：お願いです　先生　|　拜托了 老师
EP03：それを手放してください　|　请把它取下吧
EP03：時間をかけて　少しずついじめをなくしていきませんか　|　多花时间 慢慢地消除霸凌怎么样
EP03：若作りさん　|　装嫩同学
EP03：分かった　|　知道了
EP03：髪留めを渡せばいいの　|　把头绳交给你就行了吗
EP03：あなたの言う通りね　|　你说得对
EP03：でもどうして　いじめは簡単になくならないなんていうのかしらね　|　但为什么霸凌不会简单消失呢
EP03：今いじめられてる子に　そんな悠長な時間はないのに　|　正在遭受霸凌的学生 明明形势迫在眉睫
EP03：ダメだ　菫子さん　|　不行 堇子小姐
EP03：菫子さん　|　堇子小姐
EP03：石は流れ　木の葉は沈み　|　石头流动 树叶下沉
EP03：馬は吠え　牛は嘶く　|　马儿吼叫 老牛嘶鸣
EP03：石は流れ　木の葉は沈み　|　石头流动 树叶下沉
EP03：馬は吠え　牛は嘶く　|　马儿吼叫 老牛嘶鸣
EP03：化野君か　|　是化野君吗
EP03：菫子さん　|　堇子小姐
EP03：気がつきましたか　|　醒过来了吗
EP03：すみません　完全に僕の判断ミスだ　|　抱歉 都怪我判断失误
EP03：化野君の怪我　|　化野君的伤
EP03：逃げてください　|　你快逃走
EP03：また書店で会いましょう　|　我们书店再会吧
EP03：明日は新刊が多いんですよ　|　明天会来很多新刊
EP03：頼みがあります　もし僕が戻らなかったら　|　有件事想拜托你 要是我没回来的话
EP03：乙を気にかけてやってください　|　还请多关照乙
EP03：待って　|　等等
EP03：真奈美ちゃん　|　真奈美
EP03：家族がばあちゃんだけで　ごめんな　|　抱歉 只有我一个亲人
EP03：真奈美ちゃん　手出してごらん　|　真奈美 把手伸出来
EP03：これは先祖代々伝わる大事なお守りだよ　|　这是祖先代代相传的宝贵护身符
EP03：お前を必ず守ってくれる　|　它一定会守护好你的
EP03：さあ　帰ろう　|　回去吧
EP03：私が受けたいじめが　おばあちゃんへのいじめを生んだ　|　我遭受的霸凌导致奶奶也受到了霸凌
EP03：大人も大人をいじめるんだ　|　大人也会霸凌大人
EP03：いじめのない世界を作るんだ　|　我要创造一个没有霸凌的世界
EP03：いててて　|　好痛
EP03：日は沈めておきましたよ　|　太阳开始下山了呢
EP03：牛転びの逆言葉　|　牛跌倒的反语
EP03：石は流れ　木の葉は沈む　|　石头流动 树叶下沉
EP03：逆の言葉を唱えれば　牛鬼を退けられるという伝承の手法です　|　这是相传通过吟唱反语来斥退牛鬼的手段
EP03：お守りを取り上げようとするから　おばあちゃんの形見なのに　|　都是因为你要抢我的护身符 它可是奶奶的遗物
EP03：お守り？何を言ってるんです　|　护身符？你在说什么
EP03：呪いですよそれ　|　那可是诅咒
EP03：それは牛玉と呼ばれる異物で　牛鬼の欠片です　|　那是被称作牛玉的异物 是牛鬼的碎片
EP03：あなたの血筋は牛鬼をトーテムとする家系だったんですね　|　你的血缘来自把牛鬼作为图腾的家族吧
EP03：ところが代を重ねるうちに　その教えも薄れ　|　但是代际交替之时 这方面的教育淡去
EP03：今ではただのお守りということになったのでしょう　|　到了现在就只是当作护身符了
EP03：おそらく先生の畦目という名前は後の世の当て字　|　恐怕老师你畦目这个姓是后世的假借字
EP03：本当の名前は牝牛と書いて畦目ですね　|　真正的姓氏应该写作雌牛
EP03：呪い？　|　诅咒？
EP03：そして呪いは帰ってくるものです　|　并且诅咒是会回来的
EP03：本能を司る大脳辺縁系は主語を理解できません　|　控制本能的边缘系统无法理解主语
EP03：だから　他者への悪感情を抱くとき脳は相手と自分と区別できない　|　因此 对他人抱有恶意时 脑无法区分对方和自己
EP03：他人を呪う行為は同時に自分を呪う行為でもある　|　诅咒他人同时就是在诅咒自己
EP03：人を呪わば穴二つってやつはあながち嘘じゃないんですよ　|　俗话说得好 恶有恶报
EP03：お願いです　|　拜托了
EP03：それを渡してください　|　把那个交给我吧
EP03：妹を返すためにそれが必要なんです　|　为了送妹妹回去 那个是必须的
EP03：これがあれば　いじめのない世界が作れる　|　只要有了这个 我就能创造没有霸凌的世界
EP03：そのためなら　私はどうなってもいいの　|　为了这个目的 我变成什么样都行
EP03：友達とふざけることすら許されない　|　就连和朋友打闹都不被允许
EP03：本当にそれがあなたの望む世界なんですか　|　这真的是你所期望的世界吗
EP03：「ふざけてただけ　そんなつもりじゃなかった」　|　「只是打闹而已 这不是我的本意」
EP03：いじめる側はいつもそういうわ　|　实施霸凌的那一方总是会这么说
EP03：交渉は決裂ですが　残念だ　|　交涉失败了吗 真遗憾
EP03：本当に　|　其实
EP03：これはやりたくないんだな　|　我并不想这么干
EP03：ほっておくわけにはいかない　|　但我不能放任不管
EP03：本音では　僕はあなたの主張に賛同してるんですよ　|　说真心话 我赞同你的主张
EP03：あなたは優しい人です　|　你是温柔的人
EP03：あの頃　|　那个时候
EP03：先生のような人がそばにいてくれたら　|　要是有老师你这样的人在身边
EP03：僕や妹はこうなっていなかったかもしれない　|　我和妹妹或许就不会变成这样了
EP03：でも僕はどうしても　|　但我无论如何
EP03：世界から排除される側の気持ちばかり考えてしまうんだ　|　都只能站在被世界排除的一方来考虑
EP03：雑布かわいそう　|　抹布真可怜
EP03：ダメだって笑っちゃう　|　别笑出声啊
EP03：ごめん　|　抱歉
EP03：あんたの給食落としちゃった　|　把你的饭弄洒了
EP03：悪いけどそれ　食べてくれる　|　抱歉 你能把它吃掉吗
EP03：本当に食べた　|　居然真吃了
EP03：さっすが雑布　|　不愧是抹布
EP03：真奈美ちゃんが優しい子なのはよく知ってるよ　|　奶奶很清楚 真奈美是个温柔的孩子
EP03：ばあちゃんの自慢の孫だよ　|　你是奶奶的骄傲
EP03：おばあちゃん　ごめんなさい　|　对不起 奶奶
EP03：大丈夫か　化野君　|　没事吧 化野君
EP03：菫子さん　|　堇子小姐
EP03：これは君がやったのか　|　这是你干的吗
EP03：僕は背中を押しただけです　|　我只是在背后推了一把
EP03：先生は無事なのか　|　老师没事吧
EP03：因果応報ってやつです　|　这就是因果报应
EP03：怪異で人を殺めていれば先生も生きてはいなかったでしょうけど　|　如果用怪异杀过人 她应该就活不了了
EP03：なら大丈夫だな　|　那就是没事了
EP03：畦目先生は人を殺すような人じゃない　|　畦目老师是不会杀人的
EP03：まじかよこの眉毛物忘れ激しくない　|　不是吧 你个短粗眉会不会太健忘了
EP03：ところで私　怪我が残っていないみたいだけど　|　话说回来 我身上貌似一点伤没留下
EP03：どういうことなんだこれ　|　这是怎么回事
EP03：変若の呪いは形状記憶に近い　|　变若的诅咒类似于形状记忆
EP03：多少の損傷はリカバーできます　|　能恢复一定程度的损伤
EP03：いよいよ私も化け物染みてきたな　|　我终究也像个怪物了
EP03：引くわ　|　真讨厌啊
EP03：菫子さん　なんで逃げなかったんです　|　堇子小姐 为什么你没有逃走
EP03：せっかく格好つけて出ていったのに　|　难得我耍帅帮你争取时间
EP03：ばか言え　|　说什么胡话
EP03：見くびるなよ　これでも作家だぜ　|　别小看我 我好歹是个作家
EP03：結末を見届けずに帰るわけないだろう　|　没见证到结局我怎么可能回去
EP03：ソシャゲのダメージ差分みたいな恰好で何言ってるんですか　|　一副网游里战损立绘一样的装扮可没什么说服力
EP03：蓮兄　|　莲哥
EP03：乙ちゃん　お兄さんは無事だよ　|　小乙 你哥哥没事
EP03：蓮兄　その目　大丈夫　|　莲哥 你的眼睛没事吧
EP03：ごめんよ　見るしかなかった　|　抱歉 我那时只能睁眼
EP03：これで呪物は抜け殻だ　|　这样一来那咒物就只是空壳了
EP03：切符より蓮兄の方が大事　|　比起车票莲哥的安危更重要啊
EP03：お願い無理はしないで　|　求你别再乱来了
EP03：帰ろうか　化野君　下校の時間だ　|　我们回去吧 化野君 到放学的时间了
EP03：ヨダレカケも収束したし　一件落着　|　垂涎症的事告一段落
EP03：ご協力ありがとうございました　菫子さん　|　感谢你的协助 堇子小姐
EP03：ごきげんよう　先生　|　贵安 老师
EP03：あなたたち　|　你们几个
EP03：お見舞いに来ました　|　我们来看望老师了
EP03：あなたたちはもう大丈夫なの　|　你们已经没事了吗
EP03：早く学校に戻りたかった　|　我们想早点回学校
EP03：若作り先輩に迷惑かけちゃったんだよ　|　之前给装嫩前辈添了不少麻烦
EP03：結局牛鬼は消えたのか　|　最后牛鬼消失了没
EP03：そうだ　言ってませんでしたね　|　对了 没和你说来着
EP03：させん　|　抱歉
EP03：あれ牛鬼じゃありませんでした　もっとやべえ奴です　|　那其实不是牛鬼 是更可怕的东西
EP03：ただの牛鬼にしては凶悪すぎると思ったんですよ　|　我当时也奇怪区区牛鬼怎么会那么凶险
EP03：ははは　|　哈哈哈
EP03：ははは　って君　|　你在哈哈哈什么啊
EP03：じゃああれは一体何だったんだい　|　所以那到底是什么东西
EP03：麈輪鬼　|　麈轮鬼
EP03：色は赤く翼を持ち　頭が八つある鬼神です　|　是拥有翅膀和八个头的红色鬼神
EP03：大和朝廷によって討伐された麈輪鬼の破片が牛鬼になったと言います　|　相传 被大和朝廷讨伐的麈轮鬼碎片化作了牛鬼
EP03：本来の呪いの力を　先生が自分で逆言葉を唱えて弱めていたんでしょう　|　原本的诅咒大概是因为老师自己吟唱反语而减弱了
EP03：そのせいで正体を読み間違えました　|　因此导致我误判了
EP03：まあ　全ては憶測です　|　以上只是我的猜想
EP03：先生の力も肝心の怪異も　失われてしまいましたからね　|　毕竟老师的能力和关键的怪异都已经消失了
EP03：はい　|　来了
EP03：前を行く少年の足跡を追いながら　|　追踪着少年前行的足迹
EP03：狐は深い森の冷たい空気を髭の先に感じながら　漂い続けていた　|　狐狸感受着深林里的寒风掠过胡梢 继续流浪
EP03：あの人間の少年は目的も知らずに歩き続け　|　那位人类少年漫无目的地行走
EP03：同じこの場所に戻ってくるだろう　|　「还会再回到这里的吧」
EP03：それをいつまでも繰り返すだろう　|　「会一直循环下去的吧」
EP03：「森の精」　と狐は呼んでみた　|　「森之精灵」 狐狸呼唤着
EP03：私はもう何百年も生きてきた　そろそろ休みたいのだ　|　我已经活了几百年 是时候休息了
EP03：この命をあの少年にくれてやってもいいだろうか　|　能把我的生命交给那位少年吗
EP03：周囲の木々が一斉にざわめいた　|　周围的树木一齐沙沙作响
EP03：蓮兄　|　莲哥
EP03：この本を書いたの　団地妻なの　|　这本书是团地妻写的吗
EP03：そうだよ　|　没错
