EP01 IN
EP01：どうして　|　为什么
EP02：君が出てよ　|　你接吧
EP02：はい　もしもし　|　喂 你好
EP02：あっ君　今どこにおるん　|　阿淳 你现在在哪里
EP02：今日のご飯はあっ君の大好きなハンバーグやで　|　今天我做了阿淳你最爱的汉堡肉
EP02：あの　どちら様でしょうか　|　请问 您是哪位
EP02：全部わかってるよ　早く帰っておいであっ君　|　我都知道 快点回家吧 阿淳
EP02：いいえ　私はあっ君では　|　不 我不是阿淳
EP02：立直　|　立直
EP02：それで　一方的に電話は切れてしまって　|　然后 对方直接把电话挂了
EP02：あれってなんだったんですかね　|　那到底是怎么回事
EP02：ここに外から連絡が来るわけないじゃない　|　这里怎么可能会有外面的电话打来
EP02：その電話は　お客様の記憶にある声を再生しているだけであって　|　那个电话 只是在重现客人记忆中的声音
EP02：音子ちゃんと会話していたわけじゃないんだ　|　并不是真的有人和你对话
EP02：そうなんですか　|　这样啊
EP02：あれどうしたんです　|　经理是怎么了
EP02：あの後　お客様が熱くなっちゃって　|　之后 客人越打越来劲
EP02：勝つまでやる勢いで　深夜までお付き合いを　|　一副打到赢为止的架势 拉着我们打到了深夜
EP02：それだけじゃないよ　僕だけボロ負けで　|　不仅仅是这样 最后只有我输得很惨
EP02：それは大変でしたね　|　那可真是不容易
EP02：あのお客様　強くはないんだけど　|　那个客人 打麻将并不是很强
EP02：とにかく勝負ごとが好きな感じだね　|　但就是喜欢一决胜负
EP02：やっぱり根っからのギャンブラーなんですね　|　果然是个彻头彻尾的赌徒
EP02：まあ　あの頭を見れば　|　毕竟头都长那样
EP02：ギャンブルなんて嫌い　|　我讨厌赌博
EP02：ルリさん？　|　琉璃小姐？
EP02：阿鳥君　おかわりは　|　阿鸟君 你要再来一碗吗
EP02：お願いしてもいい　|　可以拜托你吗
EP02：本当に　ルリさんの作る食事はおいしいよ　|　琉璃小姐做的料理真的很美味
EP02：そう　|　是吗
EP02：これは　|　这个情况
EP02：何よ　気持ち悪いわね　|　什么呀 真恶心
EP02：ありがとう　|　谢谢
EP02：かわいい人がキラキラしているのは素晴らしい　|　可爱的人光彩夺目的样子真是太棒了
EP02：わけわかんない　|　莫名其妙
EP02：そういえば　ルリさんはどうしてこのホテルで働いてるんですか　|　话说回来 琉璃小姐为什么会在这个旅店里工作
EP02：料理は好きだし　お給料はもらえるし　|　因为我喜欢做料理 而且还有工资
EP02：って　あんたには関係ないでしょ　|　和你有什么关系
EP02：お給料って出るんですか　|　还会发工资的吗
EP02：そりゃ出るよ　うちはブラック企業じゃないんだから　|　那当然了 我们又不是黑心企业
EP02：知らなかった　|　完全不知道
EP02：じゃあお給料が入ったら　3Qのアルバム追加しちゃおうかな　|　那等发工资了 再去买一份3Q的专辑吧
EP02：店舗別特典付きを　|　还要带店铺特典的
EP02：いや　そのアルバムは買えないかな　|　不 专辑你可能买不了
EP02：あんた　生きてるか死んでるかもわかんないくせに　|　你现在明明连自己是生是死都还不知道
EP02：そうだった　死んでたら来月のライブもいけない　|　确实 要是死了 下个月的演出也去不了
EP02：心配するところそこなの　|　担心的居然是这个吗
EP02：本当に変わってる子だな　|　真是个奇怪的孩子
EP02：出ます　|　我去接
EP02：はい　|　好的
EP02：はい　わかりました　|　好的 知道了
EP02：206号室のお客様が　ルームサービスでハンバーグをと　|　206号房间的客人点了汉堡肉需要送餐
EP02：わかった　|　知道了
EP02：いい匂いだ　|　真香
EP02：あれ　あの頭でどうやって食べるんだろう　|　咦 他那样的头要怎么吃东西
EP02：いただきます　|　我开动了
EP02：うまい　|　真好吃
EP02：うまいんだけど　なんか違う　|　虽然很好吃 但总感觉不对
EP02：このハンバーグじゃないっていうか　|　这不是我想要的汉堡肉
EP02：それは…　|　这是因为…
EP02：今日のご飯はあっ君の大好きなハンバーグやで　|　今天我做了阿淳你最爱的汉堡肉
EP02：作る人の違いではないでしょうか　|　做汉堡肉的人不一样吧
EP02：きっと　記憶を思い出せば　そのハンバーグも思い出せますよ　|　只要找回记忆 肯定就能想起您要的汉堡肉了
EP02：ハンバーグの味…　|　汉堡肉的味道…
EP02：お客様の記憶のヒントは　この部屋の中にあるんです　|　与客人您记忆相关的线索 就在这间房间里
EP02：一緒に探してみませんか　|　我们一起来找找吧
EP02：俺の記憶　|　我的记忆
EP02：何か思い出せることはありませんか　|　您现在能回想起什么吗
EP02：そう言われても　|　没什么头绪啊
EP02：ギャンブルがお好きなんですよね　|　您喜欢赌博吧
EP02：そう　競馬競輪競艇パチンコパチスロ　|　是的 赛马 自行车竞赛 赛艇 弹珠机 老虎机
EP02：とにかく何でも勝負するのが好きで　|　总之这些一决胜负的东西我都喜欢
EP02：あの一瞬の勝つか負けるかのスリル　それがやめられない　|　决出胜负那一瞬的紧张刺激 让我无法自拔
EP02：でも　あまり勝ってはいなかった　|　但是 您却很少赢
EP02：そう　いつも肝心な時に負けてた　|　是的 关键时刻我总是输
EP02：失礼します　|　失礼了
EP02：借用書　100万円　|　借据 100万日元
EP02：こっちは250万　|　这张是250万
EP02：こんなに負けてたんですか　|　输了这么多钱吗
EP02：ちょっとついてない時が続いて　|　之前一直运气不好
EP02：一発当てれば返せると思って　|　想着赢一把就能扭转乾坤
EP02：それでこんなに借金を　|　所以欠了这么多钱
EP02：出ないんですか　|　不接吗
EP02：無理だ　|　不敢接
EP02：はい　もしもし　|　喂 你好
EP02：テメー　いるの分かってるんだ　|　混蛋 我知道你在
EP02：逃げられると思うなよ　|　别以为逃得掉
EP02：借りた金が返せなくなって　|　因为我没钱还债
EP02：長いこと帰ってなかった実家に戻った　|　所以回了一次很久没回的老家
EP02：そうなんや　仕事が忙しくて　なかなか帰れんですまん　|　是的 工作太忙了 抱歉一直没时间回来
EP02：えんよ　あっ君が元気なら　|　没关系 你身体健康就好
EP02：それでどんな仕事やの　|　所以你现在在做什么工作
EP02：営業でいろんなところ回ったりで　寝る時間もないんや　|　做销售要跑来跑去 连睡觉的时间都没有
EP02：参るわ　ほんま　|　真的受不了
EP02：お待たせ　あっ君の好物作ったで　|　久等了 做了阿淳你最爱吃的
EP02：そのお金　使っちゃったんですか　|　这些钱您都用了吗
EP02：それでも借金には全く足りなくて　|　也完全不够还债
EP02：それはダメだ　|　那个不能打开
EP02：珊瑚？　|　珊瑚？
EP02：こんなにたくさん　|　这么多
EP02：確か珊瑚って高く売れるんですよね　|　我记得珊瑚能卖出很高的价钱吧
EP02：もしかして　珊瑚の密漁？　|　难道 您去盗采珊瑚了？
EP02：金を借りた奴らに手伝えと言われて　|　是债主让我去帮他们干活
EP02：安藤淳宏　|　安藤淳宏
EP02：あっ君　|　阿淳
EP02：これがあなたの名前ですか　|　这是您的名字吗
EP02：そうだ　|　是的
EP02：俺の名前は　|　我的名字是
EP02：安藤淳宏だ　|　安藤淳宏
EP02：俺は…俺は…　|　我…我…
EP02：俺は人生の賭けにも負けたんやな　|　我在人生的赌局里也输了啊
EP02：安藤様　|　安藤先生
EP02：これじゃダメだ　|　这样不行
EP02：阿鳥先輩　|　阿鸟前辈
EP02：音子ちゃん？　|　音子？
EP02：安藤様　安藤様　|　安藤先生 安藤先生
EP02：安藤様　|　安藤先生
EP02：阿鳥先輩　貸してください　|　阿鸟前辈 把铲子给我
EP02：音子ちゃん　|　音子
EP02：安藤様に刺さったらどうするんだ　|　要是铲伤安藤先生了怎么办
EP02：そん時はそん時ですよ　|　到时候再说
EP02：いた　|　在这
EP02：安藤様　|　安藤先生
EP02：安藤様　|　安藤先生
EP02：大丈夫ですか　|　您没事吧
EP02：安藤様　|　安藤先生
EP02：ご自身のことを思い出されたのですね　|　您想起自己的事情了吧
EP02：ギャンブルで莫大な借金を作った俺は　|　我因为赌博欠下巨额债务
EP02：親の金まで盗んで返済に当てたが　|　甚至偷了母亲的钱来还债
EP02：焼け石に水　|　结果还是杯水车薪
EP02：借りたのがヤバイ奴らで　返せないなら手伝えと　|　借我钱的不是好人 还不起就要我帮他们干活
EP02：犯罪にまで手を染めちまった　|　最终做起了违法的事
EP02：でもある日　どうしてもおかんの声が聞きたくて　|　但是有一天 我非常想听到母亲的声音
EP02：謝りたくて　俺は逃げ出した　|　想向她道歉 就逃了出来
EP02：それって生き埋め　|　然后被活埋了
EP02：捕まる前に電話はできたんですか　|　在被他们抓到前您电话打通了吗
EP02：いや　途中だったと思う　|　没 应该只打到一半
EP02：電話　してみます　|　现在要打个电话吗
EP02：俺はおかんの金を盗んだんだぞ　今更電話なんて　|　我连母亲的钱都偷了 现在哪还有脸
EP02：でも捕まるかもしれないって時に電話したんですよね　|　但是您在逃亡的关头给她打了电话吧
EP02：声が聞きたかったんですよね　|　您很想听听她的声音吧
EP02：今ならゆっくりお母様の声が聞けますよ　|　现在可以好好听听您母亲的声音
EP02：もしもし　おかん　|　喂 妈
EP02：俺や　淳宏や　|　是我 淳宏
EP02：あっ君　今どこにおるん　|　阿淳 你现在在哪里
EP02：ちょっと遠いところにおってな　|　我在一个有些远的地方
EP02：早く帰っておいで　今日のご飯はあっ君の好きなハンバーグやで　|　快点回家吧 今天我做了阿淳你喜欢的汉堡肉
EP02：ハンバーグか　いいな　|　汉堡肉吗 真好
EP02：元気にしとるの　|　你最近还好吗
EP02：困ったことはないんか　|　有什么困难吗
EP02：本当の母親と会話ができるわけじゃない　|　这里并不能真正和母亲对话
EP02：ただの記憶だ　|　只是记忆罢了
EP02：それでも　どうしても聞きたかったんですよ　|　尽管如此 他还是想听听母亲的声音
EP02：ごめん　あの時　|　对不起 那个时候
EP02：おかんの金盗んでもうた　|　我偷了你的钱
EP02：全部わかっとるよ　|　我全都知道
EP02：早く帰っておいで　あっ君　|　快点回家吧 阿淳
EP02：今から帰る　すぐ帰るでな　|　我现在就回去 马上就回去
EP02：ハンバーグ作って待っとてな　|　做好汉堡肉等着我
EP02：帰るよ　俺まだ生きてる　|　我要回去了 我还活着
EP02：土の中だけどな　|　虽然被埋进土里了
EP02：じゃあ　急いで帰らないと　|　那得抓紧时间了
EP02：このままだと窒息死だ　|　再不抓紧就要窒息而死了
EP02：俺の人生最後の大勝負　|　我人生最后的大赌局
EP02：今度は勝ち抜いてみせる　|　这次我一定要赢
EP02：お客様　チェックアウトです　|　这位客人 办理退房
EP02：ありがとう　|　谢谢
EP02：お母様のハンバーグ　たくさん食べてください　|　请多吃些您母亲做的汉堡肉
EP02：現世に帰っても　大変なだけだと思うけど　|　即使回到阳间 他的生活也依旧艰难
EP02：なんとかなりますって　|　船到桥头自然直
EP02：生きていれば　それだけで勝ちなんですから　|　只要活着就是胜利
EP02：お客様の顔って　記憶と一緒に戻るんですよね　|　客人的脸 是随着记忆一同恢复的吧
EP02：そうだね　|　是的
EP02：顔っていうのは　自分自身であり　|　脸就是自我
EP02：アイデンティティーの象徴なんだと思う　|　是个人身份的象征
EP02：誰ソ彼　|　Tasokare
EP02：「あなたは誰ですか」って意味　|　意为「你是谁」
EP02：「黄昏」の語源とも言われてるんだ　|　据说它是「黄昏」的语源
EP02：このホテルは　自分が誰か思い出させるために存在しているから　|　这座旅店 是为了帮助人们想起自己是谁而存在的
EP02：だから黄昏ホテル　|　所以叫黄昏旅店
EP02：あれ　じゃあ私がここに来た時の顔は　|　咦 那我来这的时候脸长什么样
EP02：君は普通だったよ　|　你很平常
EP02：そうだね　|　没错
EP02：普通って何ですか　|　平常是什么意思
EP02：さあ　仕事仕事　|　好了 工作工作
EP02：#人生的赌局
EP02：#SisterQ
EP02：#借据 借款金额 250万日元 整 本日借用上述金额。·承诺明日起每十天产生一成的利息·还款汇入指定的账户。姓名
EP02：#章鱼烧
EP02：#Ougi综合账户存折（活期存款）
EP02 OUT

EP03 IN
EP03：ぼーっとしてどうしたの　|　在发什么呆呢
EP03：ルリさんって働き者ですよね　|　琉璃小姐真是个勤快的人
EP03：仕事が好きなんだろうね　|　她很喜欢工作吧
EP03：お給料のためっていうのもあるだろうけど　|　不过薪水可能也是原因之一
EP03：お給料ってどうなってるんですか　|　这里薪水怎么样
EP03：支配人に聞いてみたら？　|　要不你去问问经理？
EP03：でもその前に　一人前の仕事ができるようにならないとね　|　不过在此之前 你得先能独当一面才行
EP03：支配人　|　经理
EP03：塚原さん　ちょうどよかった　|　冢原小姐 你来得正好
EP03：新しいお客様のようですよ　|　好像有新的客人来了
EP03：今日は私一人でご案内します　|　今天就让我一个人接待客人吧
EP03：いいの　じゃあ頼んだよ　|　可以吗 那就拜托你了
EP03：ビール　ビール　|　啤酒 啤酒
EP03：パンジー頭　|　三色堇的头
EP03：ここは？　|　这里是？
EP03：ようこそ黄昏ホテルへ　|　欢迎来到黄昏旅店
EP03：黄昏ホテル？　|　黄昏旅店？
EP03：ここはあの世とこの世の狭間に存在するホテルでございます　|　这是位于阳间与阴间夹缝中的旅店
EP03：つまり臨死体験ってことか　|　就是所谓的濒死体验吗
EP03：面白い　|　真有意思
EP03：三途の川ではなくまさかホテルだとはね　|　没想到不是三途川而是一间旅店
EP03：ここからどこへ行けるんだい　|　之后能去哪里
EP03：現世か死後の世界です　|　阳间或者死后的世界
EP03：現世か死後…　|　阳间或者死后…
EP03：一人でしっかりご案内してますよ　|　这次我要独自接待好客人
EP03：お客様はこちら　２階のお部屋になりまして…　|　客人这边请 您的房间在二楼…
EP03：誰ソ彼　|　Tasokare
EP03：誰ソ彼？　|　Tasokare？
EP03：確か「黄昏」の語源になった言葉だね　|　这好像是「黄昏」的语源吧
EP03：「あなたは誰ですか」って意味だよね　|　意为「你是谁」对吧
EP03：黄昏時って相手の顔が見えづらいから　|　因为在黄昏的时候难以看清对方的脸
EP03：はい　|　是的
EP03：色々見間違えますね　|　经常会看错
EP03：こちらがお客様のお部屋でございます　|　这就是您的房间
EP03：いい部屋じゃないか　|　真不错啊
EP03：客室はすべて　お客様ごとに違っていて　|　每一间房都因人而异
EP03：お客様の記憶にまつわるものによって形成されています　|　由与客人记忆相关联的事物所构成
EP03：僕の記憶？　|　我的记忆？
EP03：はい　この部屋にあるものを調べていくうちに　|　是的 您在调查房间里的事物时
EP03：ご自身の記憶を取り戻せるかと　|　或许能找回自己的记忆
EP03：なるほど　|　原来如此
EP03：しかし何から調べればいいのか　|　但我该从哪开始呢
EP03：でしたら　私もお手伝いさせていただきます　|　这样的话 我也来帮你吧
EP03：じゃあよろしく頼むよ　|　那就拜托你了
EP03：家族の写真？　|　家人的合照？
EP03：何かあったかい　|　有找到什么吗
EP03：そんなに警戒しないで　|　不用那么紧张
EP03：僕も今　色々思い出したよ　|　我刚才也想起了许多事情
EP03：これは被害者リストだ　|　这是受害者名单
EP03：被害者リスト？　|　受害者名单？
EP03：通り魔の被害者だよ　|　无差别杀人犯的受害者
EP03：通り魔…　|　无差别杀人犯…
EP03：どうしてそれをお客様が…　|　为什么您会有这个…
EP03：もちろん犯人じゃないよ　|　我当然不是犯人
EP03：実は　僕は通り魔や暴行専門の探偵なんだ　|　其实 我是专门调查无差别杀人和施暴案件的侦探
EP03：探偵？　|　侦探？
EP03：ほら　そこにそれらしきものが　|　看 那边有相关的东西
EP03：証明にならないか　|　不够证明吗
EP03：そうだ　|　对了
EP03：よかった　昔栞代わりに名刺を使っていたことがあったから　|　太好了 还好我以前有用名片作书签
EP03：大外探偵事務所　|　大外侦探事务所
EP03：大外…　|　大外…
EP03：聖生だ　|　圣生
EP03：僕は大外聖生　よろしく　|　我叫大外圣生 请多指教
EP03：探偵さんだったんですね　|　原来您是个侦探啊
EP03：失礼しました　|　失礼了
EP03：私は従業員の塚原音子です　|　我是旅店员工 冢原音子
EP03：少し休憩しようか　|　稍微休息会吧
EP03：食堂はあるかな　|　这有食堂吗
EP03：はい　ご案内します　|　有的 我带您去
EP03：通り魔は年々増えていてね　|　无差别杀人犯在逐年增加
EP03：正直　警察だけでは解決できない　|　说实话 仅靠警察已经无法解决了
EP03：おかげで大忙しだよ　|　害我忙得不可开交
EP03：犯人たちはなぜこんなことを…　|　那些犯人的动机都是…
EP03：色々だよ　暴力　快楽　征服欲　|　原因有许多 暴力 快感 征服欲
EP03：使命感や万能感を得たいタイプもいる　|　还有人为了得到使命感或是无所不能的感觉
EP03：そうですか　|　这样啊
EP03：いらっしゃいませ　|　欢迎光临
EP03：お客様がお飲み物をご希望です　|　这位客人需要饮品
EP03：コーヒーを　|　我要咖啡
EP03：かしこまりました　|　好的
EP03：もしかして　現世のご家族のことが気になっているんですか　|　难道 您是在担心阳间的家人吗
EP03：違ってたらすみません　|　误会了的话十分抱歉
EP03：さっきお部屋に写真が飾ってあったので　|　刚才在您房间里看到张照片
EP03：僕の幼い頃のだ　両親は医者でね　|　那是我小时候的 我父母都是医生
EP03：世界でもトップクラスの優秀な外科医なんだ　|　他们是世界顶尖的外科医生
EP03：すごいですね　|　真厉害啊
EP03：当然僕にも医者になることを望んでいたけど　|　当然他们也希望我成为医生
EP03：探偵になったんですね　|　但您却成了侦探
EP03：親不孝者だよね　|　算是个不孝子吧
EP03：まあ　同じ医者を目指したところで　両親には叶わないからね　|　不过 就算我真的去当医生 也比不过父母
EP03：医者なんて医者になる前から忙しいし　学生生活はすべて勉強づけ　|　而且在成为医生之前就会很忙 学生时代完全被学习占据
EP03：僕はそんなのごめんだよ　|　这种生活我可受不了
EP03：よく聞きますよね　医学部ってめちゃくちゃ忙しいって　|　我也经常听人说 医学生都超忙的
EP03：お待たせいたしました　|　久等了
EP03：ごゆっくりどうぞ　|　请慢用
EP03：彼　スタイルがいいね　|　他身材真好啊
EP03：阿鳥先輩ですか　|　阿鸟前辈吗
EP03：私もそう思います　|　我也这么觉得
EP03：阿鳥さんか　|　他叫阿鸟啊
EP03：羨ましいな　|　真令人羡慕
EP03：音子ちゃん　|　音子
EP03：お客様のお相手はもういいの　|　你不继续接待那位客人了吗
EP03：お疲れのようで　少しお休みになるそうです　|　他有些累了 说要休息一下
EP03：そう　|　这样
EP03：じゃあちょっと仕事をお願いできるかしら　|　那我能请你帮个忙吗
EP03：なんでしょう　|　是什么
EP03：さ　どうぞ　|　来 请进
EP03：これが阿鳥先輩の部屋　|　这就是阿鸟前辈的房间
EP03：音楽が好きなんですね　|　你很喜欢音乐啊
EP03：これはいわゆる音楽オタクというやつでは　|　这就是所谓的音乐宅吗
EP03：それについてはすぐに思い出したよ　|　关于音乐的事我很快就想起来了
EP03：他はさっぱりだけどね　|　但是其他的一点都不记得
EP03：で　瑪瑙さんはどんなレコードがいいって　|　所以 玛瑙小姐要什么类型的唱片
EP03：バーの雰囲気に合うものならなんでもと　|　符合酒吧氛围的都可以
EP03：そうだな　|　这样啊
EP03：いいですね　選べるほどたくさんあって　|　真好呀 有这么多的唱片可以选
EP03：私の部屋なんて娯楽要素全くなし　|　我的房间里完全没有娱乐的东西
EP03：もう3Qのチケット半券を見ながら　妄想ライブするしかない　|　我就只能看着3Q的票根 幻想演出的场景
EP03：神セトリに激萌のトークコーナー　|　神级歌单再加上超萌的聊天环节
EP03：可愛い最高たまらないが溢れてて　|　可爱 最棒 不能自已
EP03：ああ　これを永遠に浴びていたい　|　啊 我真想永远沉浸其中
EP03：まだ決められないんですか　|　你还没选好吗
EP03：このあたりはすべておすすめだから　逆に選べないんだよ　|　因为这些我全都很推荐 反而不好选了
EP03：オタクあるあるですね　|　音乐宅常有的事啊
EP03：もう私が適当に決めます　|　就让我来随便选一张
EP03：これ　|　这张
EP03：阿鳥先輩？　|　阿鸟前辈？
EP03：じゃあこれを　|　那就这张吧
EP03：はい　|　好的
EP03：というか　窓の外が黄昏じゃないんですね　|　话说 窗外的景色不是黄昏呢
EP03：実は俺の部屋だけずっと夜なんだよ　|　其实只有我的房间外一直是夜晚
EP03：ここに来て３日目ぐらいからかな　|　大概是来到这里的第三天开始的吧
EP03：なんで夜なんですか　|　为什么是夜晚呢
EP03：さあ　|　谁知道呢
EP03：電車だ　電車が走ってる　|　是电车 有电车在行驶
EP03：鉄オタ？　|　铁道宅？
EP03：多分違う　|　估计不是
EP03：特に電車が好きってことはない　|　我对电车并没有多大兴趣
EP03：何か他に覚えてることは　|　除此之外你还记得什么吗
EP03：朝　家を出たところまでは覚えているんだけど　|　早晨 出门前的事我都还记得
EP03：電車に乗ったかどうかもわからない　|　但之后有没有坐电车我都不记得了
EP03：そうですか　|　这样啊
EP03：いいわね　|　真不错
EP03：阿鳥君にお礼しなくちゃ　|　得向阿鸟君道个谢
EP03：瑪瑙さん　|　玛瑙小姐
EP03：自分のこと思い出すって　結構難しいですね　|　回忆自己的事情 还挺难的
EP03：まあ　焦らないことよ　|　不用着急
EP03：そうだ　音子ちゃんにも何かお礼をあげたいわ　|　对了 我也想给你份谢礼
EP03：ちょっとついてきて　|　跟我来
EP03：好きなものをどうぞ　|　选一个你喜欢的吧
EP03：と言われても　|　就算你这么说
EP03：遠慮はいらないわ　|　不用客气
EP03：さあ　どうぞ　|　来 选吧
EP03：あら　|　哎呀
EP03：気に入ったならそれをあげるわ　|　你喜欢那个的话就送给你吧
EP03：いいんですか　|　可以吗
EP03：ありがとうございます　|　非常感谢
EP03：さて　大外様はどうしたかな　|　那么 去看看大外先生怎么样了吧
EP03：驚いたよ　起きたらなんだか部屋の中が少し変わってて　|　真令人惊讶 我醒来后发现房间发生了些许变化
EP03：すみません　|　非常抱歉
EP03：お伝えするのを忘れてました　|　我忘记告诉您了
EP03：実はお客様が記憶を取り戻しやすいように　|　实际上 为了让客人更容易找回记忆
EP03：ホテルが部屋の中を変えることが時々あるんです　|　这间旅店有时会让房间发生变化
EP03：そういうことか　|　原来是这样
EP03：じゃあまた手伝って　|　那再帮帮我
EP03：はい　|　好的
EP03：学生証と成績表　|　学生证和成绩单
EP03：今年のだ　|　是今年的
EP03：それは？　|　那是？
EP03：クローゼットから出てきた　|　在衣橱里找到的
EP03：なぜか濡れてる　|　不知为何湿透了
EP03：これも濡れてる　|　这里也是湿的
EP03：驚かせてすまない　それは彼女だよ　|　抱歉吓到你了 那是我女朋友
EP03：あの日は確か　デートをする日で　|　那天我们 好像在约会
EP03：雨が　|　下雨了
EP03：そう　雨が降っていた　|　对了 那天在下雨
EP03：そうだ　この服はあの日僕が着ていたものだ　|　我想起来了 这件衣服是我那天穿的
EP03：大外様　ここにパンジーがあります　|　大外先生 这里有三色堇
EP03：パンジー？　|　三色堇？
EP03：大外様？　|　大外先生？
EP03：どうしよう　|　怎么办
EP03：誰か　誰か来てください　|　有人吗 快来人啊
EP03：大外様　大丈夫ですか　|　大外先生 您没事吧
EP03：ご安心ください　腹部の出血は現世での記憶が再現されたものです　|　请放心 您腹部的出血只是阳间记忆的再现
EP03：当ホテルで怪我をされたわけではございません　|　并不是您在本旅店受了伤
EP03：記憶の再現？　|　记忆的再现？
EP03：なるほど　|　原来如此
EP03：お茶をどうぞ　|　请用茶
EP03：落ち着きますよ　|　能让您冷静下来
EP03：大外様　黄昏の語源の話をしましたよね　|　大外先生 您说过黄昏这个词的词源吧
EP03：誰ソ彼　「あなたは誰ですか」と　|　Tasokare 意为「你是谁」
EP03：私　大外様が誰なのか　なんとなく分かりました　|　我大概已经猜到 大外先生您是谁了
EP03：僕が誰だか分かったと　|　你知道我是谁了吗
EP03：はい　|　是的
EP03：構わないよ　話して　|　没关系 你说吧
EP03：あの　もしかしてなんですけど　|　那个 这只是我的推测
EP03：大外様って犯罪者じゃないですか　|　您是罪犯吧
EP03：犯罪者？僕が？　|　罪犯？我？
EP03：何言ってるのよ　あんた　|　你在说什么啊
EP03：お客様　塚原は少々疲れているようで　|　客人 冢原好像有些累了
EP03：これから塚原さんの推理ショーが始まるみたいですよ　|　接下来冢原小姐的推理秀要开始了哦
EP03：みんなで楽しもうじゃないですか　|　大家一起欣赏吧
EP03：では　大外様のお部屋の記憶をもとに話をさせてください　|　那么 请让我根据大外先生房间的记忆来说明
EP03：大外様は私に三つ嘘をついています　|　大外先生对我说了三个谎言
EP03：一つ目は　|　第一个是什么
EP03：大外様は探偵ではありません　|　您并不是一个侦探
EP03：名刺を見せたじゃないか　|　不是给你看了名片吗
EP03：これだけでは証明になりません　|　仅凭这个无法证明
EP03：私だってライブ会場で会って意気投合した子に　お手製名刺ぐらい渡してますよ　|　我在演出现场遇见志趣相合的人 也会给他一张自制名片
EP03：疑いを持つきっかけは　この部屋でこれを見つけたからです　|　我怀疑您的起因 是我在房间里发现了这个
EP03：大外様の大学の成績表です　|　这是您大学的成绩单
EP03：学生と探偵を兼ねているんだよ　|　这是因为我边学习边当侦探
EP03：履修科目の全てがＳ　優秀だ　|　科目成绩全都是S 真厉害
EP03：この成績で学生と探偵を兼ねることは可能ですか　|　边学习边当侦探有可能取得这样的成绩吗
EP03：無理だね　医学部の５年生って書いてある　|　不可能 上面写着医学院五年级
EP03：そう　そこです　|　对 就是这样
EP03：医者は医者になる前から忙しいと大外様はおっしゃいました　|　大外先生说过在成为医生之前就会很忙
EP03：医学部の５年生って　それこそクソ忙しいんじゃないですか　|　医学院五年级 应该忙得不可开交吧
EP03：その通りだ　|　你说得没错
EP03：名刺は小学生の頃　父が僕にお遊びで作ってくれたものだよ　|　那张名片是我小学的时候 父亲做给我玩的
EP03：そう　僕は探偵じゃない　|　是的 我不是侦探
EP03：続けて　|　继续
EP03：二つ目の嘘は　|　第二个谎言
EP03：被害者リストです　|　是受害者名单
EP03：探偵でも警察でもないあなたが　なぜこんな写真を持っているのか　|　您既不是侦探又不是警察 为什么会有这些照片呢
EP03：それは犯人だからです　|　那是因为您就是犯人
EP03：これは記念写真というか　戦果ですよね　|　这些是纪念照 或者说是战果吧
EP03：三つ目の嘘は　|　第三个谎言是
EP03：この写真の女性　|　这张照片中的女性
EP03：この方は大外様の恋人ではなく　ターゲットだと思います　|　我想她并不是您的恋人 而是您的猎物
EP03：多分　この女性を襲いに行く途中で事故に遭った　|　估计 您是在去袭击这位女性的路上遭遇了意外
EP03：証拠は　|　证据呢
EP03：ないです　|　没有
EP03：記念写真の女性たちとこの写真の女性の雰囲気が似てるってことぐらいですかね　|　我只是觉得纪念照上的女性与这张照片中的女性气质相似
EP03：なるほど　|　原来如此
EP03：かっこいいな　塚原さん　|　真帅啊 冢原小姐
EP03：まるでミステリー小説の探偵だ　|　简直就像是推理小说中的侦探
EP03：でもね　|　但是
EP03：好奇心は猫を殺すよ　|　好奇心可是会害死猫的
EP03：さっき部屋の探索中にこれを見つけたんだ　|　刚才在房间搜查时我发现了这个
EP03：ベッドに隠しておいて正解だったよ　|　幸好我把它藏在了床上
EP03：助けて　|　救救我
EP03：全部正解だよ　名探偵さん　|　你的推测都是对的 名侦探小姐
EP03：だが君のせいで君たち全員死ぬことになった　|　但拜你所赐 你们都将死在这里
EP03：現世に戻ったら警察に通報するだろう　|　你们回到阳间一定会向警察报案吧
EP03：そんなことはさせない　|　我不会让你们这么做的
EP03：ルリさん　まずは君からだ　|　琉璃小姐 就从你先开始
EP03：地獄です　|　会下地狱的
EP03：このホテルで人を殺せば　地獄へ行くそうです　|　据说在这间旅店杀人 就会下地狱
EP03：現世には戻れません　|　无法再回到阳间
EP03：地獄？　|　地狱？
EP03：ここを出た後に行く先は現世か死後　|　离开这里之后除了阳间和死后
EP03：それに地獄もあるんですか　|　还有地狱吗
EP03：詳しい話は支配人から聞いてください　|　详情您可以去问经理
EP03：すみません　|　对不起了
EP03：ルリさん　大丈夫ですか　|　琉璃小姐 你没事吧
EP03：さて　どうするか　|　接下来 怎么办呢
EP03：とりあえず　大外様…　|　总之 把大外先生…
EP03：様はもういいか　|　敬称还是免了吧
EP03：大外さんをどこかに閉じ込めて　彼よりも先に現世に戻って警察に通報を…　|　把大外囚禁起来 比他先回到阳间向警察报案…
EP03：それはできないよ　|　这是做不到的
EP03：支配人？　|　经理？
EP03：皆さんが現世に戻ったら　ここでの記憶はきれいさっぱり忘れてしまいます　|　你们一回到阳间 这里的记忆就会消失得一干二净
