EP01 IN
EP01：灯荒仁です　|　我叫灯荒仁
EP02：お兄ちゃん　私…　|　哥哥 我…
EP02：感じたか　俺の愛　|　感受到了吗 我的爱
EP02：アラティーン　|　荒弟
EP02：アラティン　殺す　|　杀了荒弟
EP02：ラブ　フォー　エバー　|　爱情 永恒
EP02：ラブ　フォー　エバー　|　爱情 永恒
EP02：しっかりしろ　|　振作点
EP02：ラブ　フォー　エバー　|　爱情 永恒
EP02：兄ちゃん　元気してますか　|　哥哥 最近过得怎么样
EP02：最近　とてもいいことがありました　|　最近 我遇到了很高兴的事
EP02：荒ちゃんが威血頭高に転校してきたんだ　|　小荒转学到威血头高中了
EP02：俺　また荒ちゃんと一緒に本気人を目指したいと思ってる　|　我希望再和小荒一起努力成为浩气之人
EP02：兄ちゃんが戻ってくるまであと１か月　|　离哥哥回来还有一个月
EP02：心待ちにしています　|　我非常期待
EP02：真宝より　|　真宝谨上
EP02：よし　|　写完了
EP02：幸村　俺は…　|　幸村 我…
EP02：お前とやりたかった　|　我也想和你交手啊
EP02：荒ちゃん　話があるんだ　|　小荒 我有话对你说
EP02：俺　荒ちゃんに魅那斗會に入ってほしいんだ　|　我希望小荒能加入魅那斗会
EP02：摩利人くんをぶっ飛ばした拳見て　|　看到你打飞摩利人那一拳
EP02：俺…　|　我…
EP02：邪魔すんぞ　|　打扰了
EP02：蛇走　|　蛇走
EP02：ナンパモンのシグマがなんの用だ　|　西格玛的花花公子来这做什么
EP02：お前昨日の　|　你是昨天那人
EP02：座布　|　座布
EP02：なになに　何が始まったの　|　怎么回事 发生了什么
EP02：去れ　嵐よ去れ　|　走开 别把我卷进去
EP02：なんのつもりだ　|　你想做什么
EP02：どけよ　真宝　用があんのはそっちのチビだ　|　让开 真宝 我来找那边的矮子
EP02：まさかの嵐直撃　|　居然直接冲我来
EP02：荒ちゃんに？　|　找小荒？
EP02：場合によっては俺が相手になるけど　|　要胡闹的话对手可就是我了
EP02：ちょうどいい　テメェもぶっ殺そうと思ってたんだ　|　正好 本来我就打算把你收拾掉
EP02：表出ろ　|　去外边吧
EP02：セーフ　|　安全了
EP02：灯　あとでゆっくり相手してやっからな　|　灯 待会我再来慢慢跟你说
EP02：ノォー　|　No
EP02：バッキャロー　ケンカはどうすんだよ　|　你这混蛋 不去参战怎么行
EP02：冗談じゃねえ　つきあってられっか　|　别开玩笑了 我才不去
EP02：急げ急げ　|　赶快赶快
EP02：お前　それでも男かよ　|　你这样也能叫男人吗
EP02：ダチ置いて逃げんのかよ　|　打算扔下朋友自己逃走吗
EP02：腹が…　|　肚子…
EP02：もる　|　要出来了
EP02：なんて柔らかさだ　|　好灵活
EP02：これなら　どうだ　|　这招怎么样
EP02：入った　|　得手了
EP02：捕まえた　|　抓到你了
EP02：くたばれ　|　去死吧
EP02：やめっ　やめて　|　别 停下
EP02：だからそこ引っ張んないでえ　|　都说了别拉那里了
EP02：よっしゃあ　|　好耶
EP02：大丈夫　|　没事吧
EP02：テメェがのんきにクソなんてタレてるから　クッソォー　|　都怪你在那慢悠悠地拉屎 可恶
EP02：真宝　|　真宝
EP02：あの石頭　まだクラクラする　|　那个石头脑袋 我现在还晕乎乎的
EP02：お前　結構やんだな　|　你还挺能打的嘛
EP02：摩利人くんに一発入れた荒ちゃんにはかなわないよ　|　哪有给了摩利人一拳的小荒厉害呀
EP02：じゃ俺　行くわ　|　那我先走了
EP02：荒ちゃん　魅那斗會に入ってよ　|　小荒 加入魅那斗会吧
EP02：俺　強くなったから　|　我已经变强了
EP02：今なら荒ちゃんと一緒に　本気人を目指せると思うんだ　|　现在的我可以和小荒一起努力成为浩气之人
EP02：コイツら　本気人を目指してたのか　|　这些家伙 想成为浩气之人吗
EP02：だからもういいってそういうの　|　都说了我已经不关心了
EP02：一度　うちのアタマの拳さんに会ってよ　|　去跟我们的头子拳先生见一面吧
EP02：すっごく強くて尊敬できる人なんだ　|　他是一位强大又值得尊敬的人
EP02：摩利人くんとテッペン争ってて　|　一直在和摩利人争夺巅峰之位
EP02：お兄さんと　テッペンを　|　和哥哥争夺巅峰？
EP02：お前　やっぱ本気人目指してたんだな　|　你果然是想成为浩气之人呢
EP02：やっぱ男はテッペン夢見る生きモンなんだよ　|　果然男人就该梦想到达巅峰呢
EP02：拳さんっておいくつ？　|　拳先生年龄多大了？
EP02：トリプってるから　|　他已经留级三年了
EP02：って　21歳？　|　21岁？
EP02：っていうか　|　话说
EP02：オッサン？　|　大叔？
EP02：コイツは強えぞ　|　这家伙很厉害哦
EP02：拳さん　彼が灯荒仁です　|　拳先生 他就是灯荒仁
EP02：荒ちゃんならきっと魅那斗に…　|　小荒一定能让魅那斗…
EP02：俺はさ…　|　我要…
EP02：タイマン張りてえのよ　アンタと　|　和你 比试一场
EP02：荒ちゃん？　|　小荒？
EP02：よく言った　テッペン取ったれ　ぶっちぎり　|　说得好 朝着巅峰迈进 绽裂
EP02：お兄さんと互角のこのオッサンに勝てば　|　如果能战胜强如哥哥的这位大叔
EP02：お兄さんを傷つけずに俺の強さをまほろちゃんに証明できる　|　就能不伤哥哥 还向真步路证明我的强大了
EP02：俺って　天才　|　我真是天才
EP02：拳さんとタイマンなんて命知らずかよ　|　敢挑战拳先生真是活腻了啊
EP02：ちょっと待ってください　拳さん　|　稍等一下 拳先生
EP02：荒ちゃん　なんで　|　小荒 为什么
EP02：いくぜ　千夜　|　我们上吧 千夜
EP02：とうとう見つけたんだな　本当の願いを　|　你总算是找到自己真正的愿望了
EP02：俺の願いは…　|　我的愿望是…
EP02：ドーテー捨ててえ　|　处男毕业
EP02：ぶっちぎり　|　绽裂
EP02：拳さん　|　拳先生
EP02：拳さん　|　拳先生
EP02：すごい　|　好厉害
EP02：やっぱり荒ちゃんだ　|　不愧是小荒
EP02：決まったぜ　|　胜负已分了
EP02：テメェはそれっきゃねえのかよ　|　你就这点追求吗
EP02：ねえよ　ドーテー捨てる以上に大事なことなんて　|　还能有什么比处男毕业更重要啊
EP02：あんだろ　強くなりてえとか　|　肯定有啊 比如变得更强啦
EP02：強くなりてえとか　強くなりてえとか　|　还有变得更强和变得更强之类的
EP02：そっちこそ　バカの一つ覚えじゃねえか　|　你才是脑子里就想着变强吧
EP02：うるせえわ　|　吵死了
EP02：つかお前俺のマジフレなのに　なんで脳筋なん　|　话说你明明是我的假想朋友 怎么这么死脑筋
EP02：荒ちゃん？　|　小荒？
EP02：真宝　|　真宝
EP02：とんでもねえことしてくれたな　|　看你干了什么好事
EP02：すみません　|　非常抱歉
EP02：いかってる　|　生气了
EP02：いや　笑ってるんだ　|　不 他在笑
EP02：まだイテェ　|　还是好痛
EP02：なあ　アイツともっかいタイマン張りにいこうぜ　|　再去找那家伙打一架吧
EP02：張んねえわ　|　才不去
EP02：にしてもまた勝っちまった　|　不过我居然又赢了
EP02：マジ底知れねえぜ　俺　|　我的实力真是深不见底啊
EP02：負けたよ　|　你输了哦
EP02：マジ　|　真的吗
EP02：マジ　|　真的
EP02：アーラティーン　|　荒弟
EP02：やっと会えたあ　|　总算见到你了
EP02：アラティンのあのパンチ　忘れらんなくて　|　荒弟的那一拳 我始终忘不掉呢
EP02：うちに入ってよ　|　来我们组吧
EP02：いや　でも…　|　但是…
EP02：御社に入れていただいても足手まといになるだけですし　|　就算有幸进入贵组我也是个累赘
EP02：ってか　冗談じゃないし　|　真的没有开玩笑
EP02：このたびは　ご辞退申し上げ…　|　此次邀请请容我拒绝…
EP02：お願い…　|　拜托…
EP02：入って…　|　加入吧…
EP02：ハート？　|　爱心？
EP02：お兄様　|　哥哥大人
EP02：僕シグマに入ります　|　我要加入西格玛
EP02：やっほい　|　欢迎
EP02：荒ちゃん　拳さんが荒ちゃんを魅那斗會に…　|　小荒 拳先生想让小荒加入魅那斗会…
EP02：って…　|　这是…
EP02：真宝…　|　真宝…
EP02：残念　遅かったねえ　|　很遗憾 你来迟了
EP02：アラティン　俺がもらっちった　|　荒弟已经被我收下了
EP02：ワラワラワッショイ　|　来吧来吧
EP02：祭りだ　モテモテ　|　祭典开幕 超受欢迎
EP02：ぶっちぎり　|　绽裂
EP02：来週もぶっちぎるから　|　下周也要绽裂
EP02：#想载你一程！啾啾·青椒肉丝列车！
EP02：#阿巴尔澡堂
EP02：#啾啾饭店
EP02：#宝谨上
EP02：#坠入爱河
EP02：#拳击爱！世界上唯一的鹌鹑蛋
EP02 OUT

EP03 IN
EP03：残念　遅かったねえ　|　很遗憾 你来迟了
EP03：アラティン　俺がもらっちった　|　荒弟已经被我收下了
EP03：クソチビ　テメェ　シグマに入るってことかよ　|　臭矮子 你加入西格玛了吗
EP03：荒ちゃん　どういうこと　|　小荒 发生什么了
EP03：ちょっと待ってよ　|　等等
EP03：俺　荒ちゃんと一緒に本気人を…　|　我想和小荒一起成为浩气之人…
EP03：だから　もう　シグマに入ったつってんじゃん　|　都说了 他已经加入西格玛了
EP03：欲しけりゃ　腕ずくでおいで　|　想要他的话 就凭本事来抢吧
EP03：行こ　アラティン　|　我们走 荒弟
EP03：ワラワラワッショイ　|　来吧来吧
EP03：シグマで　ブイブイ　|　在西格玛横行霸道
EP03：ぶっちぎり　|　绽裂
EP03：お前今　いくら　|　你搞到多少钱了
EP03：２万ちょっと　|　两万出头
EP03：ヤベぇじゃん　|　那不完蛋了
EP03：ノルマいかなかったヤツ「エンペラー」に歯３本いかれてたぞ　|　上次没达到指标那家伙被「皇帝」打掉三颗牙哦
EP03：神摩利人ってのはシグマのヘッドで　|　神摩利人 西格玛的头子
EP03：魅那斗會のクソジジィ道満拳一郎と張り合ってるんだ　|　跟魅那斗会的臭老头道满拳一郎在争来争去
EP03：２人に決着をつけさせる　|　帮他们决出胜负吧
EP03：それはgood ideaかもね　|　说不定是个好点子
EP03：エンペラー　誰と話してんだ　|　皇帝在跟谁说话呢
EP03：魅那斗會と壱気連合は　|　魅那斗会和一气连合
EP03：最凶最悪と名高い　この威血頭高で長くテッペンを争ってきた　|　长久以来在凭凶恶著称的威血头高中争夺着巅峰
EP03：そして　魅那斗會第43代目総長　道満拳一郎が　|　直到 魅那斗会第43代总长道满拳一郎
EP03：壱気連合のアタマを一撃で沈める　|　一击打败了一气连合的头目
EP03：壱気の命運が尽きたかと思われたそのとき　|　正当众人以为一气的命运将在此终结时
EP03：道満の前に立ちはだかったのが　|　挡在道满面前的人正是
EP03：神摩利人だった　|　神摩利人
EP03：神をヘッドに迎えた壱気連合は　その名をシグマスクワッドと改め　|　迎来新头目神的一气连合 更名为西格玛组
EP03：瞬く間に勢力を盛り返す　|　很快便重振旗鼓
EP03：そして今　|　而现在
EP03：宿敵　魅那斗をねじ伏せ　|　打败宿敌魅那斗会
EP03：我ら　シグマがテッペンをとる時は　すぐそこまで来ている　|　我们西格玛组夺得巅峰的时刻即将来临
EP03：やったるぜ　|　干劲满满
EP03：ケンカだ　ワッショイ　|　战斗吧
EP03：ぶっちぎり　|　绽裂
EP03：ねえ　聞いてる　|　喂 你有在听吗
EP03：まほろちゃんのために　シグマに入ったけど　|　虽说为了真步路加入了西格玛
EP03：ケンカに明け暮れて青春を無駄にする気は　|　可我才不想每天打打杀杀浪费青春
EP03：アラティン　|　荒弟
EP03：出かけるよ　|　我们出门吧
EP03：喜んで　|　非常乐意
EP03：し　し　シグマは　最強だ　|　西 西 西格玛是最强的
EP03：ケンカをすれば大勝利　|　打架只会是完胜
EP03：殺ってあげちゃう今日もまた　|　今天也要干掉你
EP03：あの　どこ向かってんすか　|　请问 我们要去哪呢
EP03：相手に不足はありません　|　永远也不缺对手
EP03：ヤッホー　王太　どんな感じ　|　喂 王太 怎么样了
EP03：ほい　あとちょいで着くから　|　好 很快就到了
EP03：テメェ　いい気になってんじゃねえぞ　|　你小子 可别得意得太早
EP03：準備万端だってさ　|　那边已经准备好了
EP03：れっつらゴー　|　我们走
EP03：どちらへ　|　去哪里
EP03：歓迎会に決まってんじゃん　|　当然是迎新会啦
EP03：シュッチニックリンで　もてなしちゃうゾ　|　用酒池肉林来接待你哦
EP03：酒池肉林？　|　酒池肉林？
EP03：まいったなあ　|　真是头疼
EP03：俺　一人の女の子しか愛せないタイプだからなあ　|　毕竟我对女孩的感情比较专一嘛
EP03：やめてください　|　不要打了
EP03：クソッ　1000円ぽっちかよ　|　可恶 就1000日元吗
EP03：ヤッベえよ　|　这下完蛋了
EP03：何が　|　怎么了
EP03：だから　今日中にあと３万集めねえとエンペラーに…　|　都说了 今天之内不能再收三万的话就要被皇帝给…
EP03：うちのガッコのヤツから　カツアゲとか　|　居然敢勒索我们学校的学生
EP03：いい度胸じゃん　|　胆子不小啊
EP03：アイツら　追いはぎの…　|　这帮家伙 是之前抢劫我的…
EP03：追いはぎ？　|　抢劫？
EP03：なんでNG BOYSがここらいんだよ　|　为什么NG BOYS敢跑来这里
EP03：魅那斗を破門された心土阿久太郎ってヤツが　|　有个叫心土阿久太郎的家伙被魅那斗开除
EP03：最近　ヘッドになったらしいけど　|　他好像最近当上了那的头子
EP03：あれ　死んじゃうやつじゃん　|　用那些会出人命吧
EP03：やるしかねえ　|　我们不得不这样
EP03：やらねえと　俺たちがエンペラーに…　|　不这样的话 我们就要被皇帝给…
EP03：心土ってヤツに言っといて　|　告诉那个叫心土的家伙
EP03：あんま調子乗っちゃ　ダメだよって　|　别太得意忘形
EP03：すげえ　|　好厉害
EP03：やっぱつええな　アイツ　|　果然很强啊 那家伙
EP03：摩利人くんにとっちゃ朝飯前だ　|　对摩利人先生来说小菜一碟
EP03：これも要らなあい　|　这我也不需要
EP03：おまった　|　久等了
EP03：ここらでNGのヤツらが　カツアゲなんかしたことなかったのに　|　NG的人还是第一次到这附近来勒索呢
EP03：し　し　シグマは最強だ　|　西 西 西格玛是最强的
EP03：ワラッショイ　|　来吧
EP03：おーれたち…　|　我们…
EP03：お兄ちゃん　|　哥哥
EP03：これから浜に行くんだけど　そっち終わったら一緒にどう　|　我现在要去海边 你那边完事了要一起吗
EP03：ホント？　|　真的？
EP03：じゃあ　カフェで待ち合わせしよ　|　那我们在咖啡店碰头吧
EP03：伝言をお預かりしました　|　您的留言已送达
EP03：ちょっといいかな　|　能打扰一下吗
EP03：話がしたいんだ　|　我有话想对你说
EP03：荒ちゃんをシグマに入れたの　君だよね　|　让小荒加入西格玛的 是你吧
EP03：待ってよ　|　等一下
EP03：イテッ　何すんのよ　|　好痛 你想做什么
EP03：ごめん　|　抱歉
EP03：でも　話してくれるまで　放さない　|　但是 在你告诉我之前 我不会放手
EP03：放せ　|　放开
EP03：さっさとそのコギタネー手を放せって言ってんのよ　|　我叫你快把那脏手拿开
EP03：もうちょっと大きい声で　|　能稍微大声点吗
EP03：キモいのよ　デクノッポ　|　恶心死了 傻大个
EP03：今日からシグマに入る　アラティンだよ　|　这位是从今天起加入西格玛的荒弟
EP03：おねしゃあす　|　请多关照
EP03：言っとくけどアラティンの拳は　ヤバパンだぞ　|　话说在前面 荒弟的拳头可不得了哦
EP03：みんなお前に夢中だな　|　大家都关注着你哦
EP03：うっせえ　|　闭嘴啦
EP03：っつうか　ギャルズは　|　话说女孩呢
EP03：というわけで　歓迎会恒例の　|　接下来是迎新会的惯例
EP03：あっち向いてホイ　やるよ　|　来玩123看这边吧
EP03：おいおい　小学生かよ　|　这些人是小学生吗
EP03：ギャルズそろそろかなあ　|　女孩差不多该出来了吧
EP03：優勝者には　マジバブ　１年分だあ　|　胜出者将获得一年份的烤肉
EP03：んじゃ　俺とアラティンはシードね　|　那我和荒弟就是种子选手了
EP03：隣の人と組んで　|　大家都和旁边的人组队吧
EP03：じゃあいくよ　|　那么开始咯
EP03：じゃん　けん　ポン　|　石头 剪刀 布
EP03：あっち向いて　ホイ　|　123 看这边
EP03：なるほど　シュチの「チ」は　|　原来如此 酒池的「池」
EP03：真っ赤っか　|　是鲜红的血池啊
EP03：はーい　横向いちゃった人座って　|　好 转向的人都坐下
EP03：ルールわかった　|　明白规则了吗
EP03：あっち向いてホイと一緒だから　|　和普通的123看这边一样啦
EP03：いや　全然違うと思うんですけど　|　完全不一样吧
EP03：横向かなきゃいいの　|　只要不转向就行了
EP03：簡単っしょ　|　很简单吧
EP03：簡単っすね　|　很简单呢
EP03：んじゃ次いくよ　|　来吧 下一轮
EP03：じゃん　けん　ポン　|　石头 剪刀 布
EP03：あっち向いて　ホイ　|　123 看这边
EP03：あっち向いて　|　123
EP03：ホイ　|　看这边
EP03：あっち向いて　|　123
EP03：ホイ　|　看这边
EP03：あっち向いて　|　123
EP03：ホイ　|　看这边
EP03：そろそろ行こっか　アラティン　|　差不多到我们上了 荒弟
EP03：いえいえ　僕は見学でいいんで　|　不用啦 我观摩就可以了
EP03：またまたあ　|　少来啦
EP03：あのヤバパン　見せつけちゃうんでしょ　|　你也想展示一下自己的铁拳吧
EP03：見せつけワッショイ　|　展示去吧
EP03：ぶっちぎり　|　绽裂
EP03：俺は決勝で待ってっからあ　|　我会在决赛等你的
EP03：おい　合体しようぜ　|　喂 跟我合体吧
EP03：ほら　早く　|　快一点
EP03：やりてえよ　俺だってムチャクチャやりてえ　|　我也想啊 想得不得了
EP03：でもよ　助太刀されて勝ったって　|　但是啊 在我的帮助下取胜
EP03：うれしくねえだろ　|　你也不会高兴吧
EP03：そっちの気遣ってんじゃねえよ　|　不用关心这种事
EP03：やっと　テメェとできるぜ　|　总算能对上你了
EP03：俺が先だ　|　我先上
EP03：うっす　|　明白
EP03：何を　|　干什么
EP03：大英王太だ　よろしくな　|　我叫大英王太 请多指教
EP03：いきなり　特攻隊長の王太くんかよ　|　一上来就是特攻队长王太先生吗
EP03：アイツ　ついてねえなあ　|　那家伙 运气真差
EP03：ジ　エンドオブ　オレ　|　这就是我的末路吗
EP03：やっぱ　シグマに入んじゃなかったあ　|　果然不应该加入西格玛啊
EP03：ヤダよ　俺死んじゃうよ　|　不要啊 我要被干掉了
EP03：助けてよ　|　救救我啊
EP03：わかったよ　|　知道了
EP03：ホントだな　|　说话算数吧
EP03：何ゴチャゴチャ言ってんだ　|　你在嘟哝什么呢
EP03：いえ　|　没什么
EP03：おねしゃあす　|　请多指教
EP03：刃暮達兎　レフェリーを務めさせていただきます　|　刃暮达兔 我将担任本次的裁判
EP03：じゃんけんで勝たなきゃ　|　猜拳要是输掉
EP03：殺される　|　会被杀的
EP03：セミセミファイナルラウン　|　四分之一决赛
EP03：両者見合って　|　双方就位
EP03：ファイ　|　开始
EP03：じゃ　んけん　ポン　|　石头 剪刀 布
EP03：あいこで　しょ　|　平局再来
EP03：頼むぞ　千夜　|　拜托了 千夜
EP03：ワラッショーイ　|　来吧
EP03：あっち向いて　|　123
EP03：やっぱ無理無理　無理無理　無理です　|　果然还是不行不行不行啊
EP03：バッチコーイ　|　随便来
EP03：すげえ頭蓋骨だ　|　好硬的头骨
EP03：王太くんのパンチ耐えたの　|　能顶住王太先生拳头的
EP03：摩利人くん以外で初めてじゃね　|　除了摩利人先生外还没有别人
EP03：さすが摩利人くんが認めた男　|　不愧是摩利人先生认可的男人
EP03：大英王太のパンチの威力は　コンクリートをも砕くという　|　据说大英王太拳头的威力连混凝土都能打碎
EP03：灯荒仁の頭蓋骨は　それに勝るというのかあ　|　难道灯荒仁的头骨 比那还要硬吗
EP03：ウィナー　灯荒仁　|　胜者 灯荒仁
EP03：ワラワラワッショイ　|　晋级晋级
EP03：ぶっちぎり　|　绽裂
EP03：さっすがアラティン　カックイ　|　不愧是荒弟 好帅
EP03：だらしねえぞ　王太　|　没出息啊 王太
EP03：うっせえ　|　闭嘴
EP03：王太くん？　|　王太先生？
EP03：便所だ　|　我去厕所
EP03：この時を待ってたぜえ　|　我等这一刻很久了
EP03：もたねえ　頭蓋骨もたねえよ　|　撑不住 我的头骨撑不住了
EP03：セミファイナルラウン　|　半决赛
EP03：両者見合ってえ　|　双方就位
EP03：ファイ　|　开始
EP03：じゃん　けん　ポン　|　石头 剪刀 布
EP03：クッソー　|　可恶
EP03：よっしゃあ　|　好耶
EP03：軽くパンチして負けちまおう　|　轻轻打一拳就此输掉吧
EP03：あっち向いて　|　123
EP03：コイツのパンチなんか余裕　|　接这家伙的拳头轻而易举
EP03：なんだ　コイツ　|　怎么回事 这家伙
EP03：いったい　何を見てやがる　|　到底 在看着什么
EP03：マジだって　|　我说真的
EP03：何それえ　|　什么嘛
EP03：この技は…　|　这招是…
EP03：中国河北省滄州を発祥とする劈掛拳の一つ　|　发源于中国河北沧州的劈挂拳之一
EP03：烏龍盤打　|　乌龙盘打
EP03：全身の力を抜き去り　遠心力を利用したその打撃は　|　卸除周身之力 利用离心力形成的这一击
EP03：ムチのように鋭く重いという　|　如鞭挞般尖锐又沉重
EP03：ウィナー　灯荒仁　|　胜者 灯荒仁
EP03：やるじゃん　アラティン　|　很厉害嘛 荒弟
EP03：待ちくたびれたよ　|　我都等不及了
EP03：総大将のお出ましだあ　|　总将亲自出马哦
EP03：ワラッショーイ　|　上吧
EP03：うるせえ　|　闭嘴
EP03：ちがっ　そうじゃなくて　|　不 我不是那个意思
EP03：人からうるせえって言われたの　初めてかも　|　被人说闭嘴 我好像还是第一次
EP03：両者前へ　|　双方上前
EP03：死ぬ　絶対死ぬ　|　会死 绝对会死
EP03：頭蓋骨　砕けちゃう　|　头骨 会被打碎的
EP03：心意気　見せたれ　|　展示你的决心吧
EP03：気持ちで逃げんじゃねえ　|　不要沉溺在感情里
EP03：ファイナルラウン　|　决赛
EP03：両者見合って　|　双方就位
EP03：俺がアラティンのこと気に入ったのはさ　|　我之所以这么喜欢荒弟
EP03：あのとき　感じたからなんだよね　|　是因为那个时候 我感受到了
EP03：アラティンの本気を　|　你的浩气
EP03：ファイ　|　开始
EP03：じゃん　|　石头
EP03：けん　|　剪刀
EP03：ブレイク　ブレイク　|　暂停 暂停
EP03：トイレット　|　去厕所
EP03：もる　|　要出来了
EP03：王太くん　|　王太先生
EP03：王太くん　|　王太先生
EP03：車は　まだかよ　|　车还没来吗
EP03：今呼んでるって　|　我正在叫
EP03：野郎　どいつだ　出てこいゴラァ　|　混蛋 是谁干的 给我滚出来
EP03：摩利人くん　そばにこれが　|　摩利人先生 旁边发现了这个
EP03：魅那斗のじゃねえか　|　这不是魅那斗的吗
EP03：殴り込みましょう　摩利人くん　|　我们杀过去吧 摩利人先生
EP03：こんなクソみてえの　拳一郎のやり方じゃねえ　|　这种下三滥的手段 不是拳一郎的作风
EP03：でも　魅那斗の誰かがやったのは確か…　|　但肯定是魅那斗的人干出来的…
EP03：王太がその辺の雑魚にやられたっての？　|　你是说王太打不过那边的杂鱼？
EP03：サーセン　|　非常抱歉
EP03：なんか　話がよく見えねえんだけど　|　总感觉 还是一头雾水呢
EP03：摩利人くんと王太くんは　|　摩利人和王太先生
EP03：中学で出会って以来　「ゴッドキングズ」として　|　从初中相遇以来就并称「神王」
EP03：互いに背中を預け合ってきた戦友なんだ　|　是互相托付后背的战友
EP03：この本気町で王太くんに勝てるのは　道満だけ　|　在这浩气市里能够战胜王太先生的 只有道满
EP03：でも　道満が闇討ちをするような男じゃないことは　|　但是道满并非愿行偷袭之事的人
EP03：摩利人くんがいちばんわかってる　|　这点摩利人先生最清楚
EP03：友の敵を討つべきか　|　应该为友人复仇
EP03：それとも宿敵の男気を信じるべきか　|　还是应该相信宿敌的气概
EP03：なんか熱い友情じゃねえか　|　感觉像是热烈的友情呢
EP03：なあ　|　是吧
EP03：知らねえよ　|　我不懂啦
EP03：頭蓋骨イテェ　|　头骨好痛
EP03：荒仁くん　|　荒仁君
EP03：まほろちゃん？　|　真步路？
EP03：なんで　|　为什么
EP03：ありがとね　シグマに入ってくれて　|　真是谢谢你 能加入西格玛
EP03：どうしたの　|　怎么了
EP03：歓迎会だったんでしょ　|　你们开过迎新会了吧
EP03：それが…　|　那个…
EP03：俺　すげえ頭蓋骨殴られちゃって　|　我的头骨被打得好惨
EP03：そういうの聞いてなかったし　|　没听说过会有这种事
EP03：やっぱシグマやめようかなあ　なあんて　|　要不要退出西格玛呢 我在想
EP03：まだ何も始まってないよ　|　还什么都没开始呢
EP03：お兄ちゃん　きっと荒仁くんにシグマを継いでほしいんだと思う　|　哥哥 一定是希望荒仁君成为西格玛的继承人
EP03：お願い　荒仁くん　|　拜托了 荒仁君
EP03：私のためにお兄ちゃんを倒して　|　为了我 打倒哥哥
EP03：どした　なんかあった　|　怎么了 发生什么了
EP03：やるぞお　|　开干
EP03：あの子とはどこまでいったの　チューはしたの　|　和那女孩到哪一步了 亲过了吗
EP03：ワンチャンアイツが跡を継いで　お兄ちゃんがシグマを卒業したら　|　或许那家伙能成为继承人 让哥哥从西格玛毕业
EP03：お兄ちゃんは私だけのもの　|　这样哥哥就只属于我了
EP03：どったの　急に　|　你突然怎么了
EP03：合体率って…　|　合体程度…
EP03：どうやって…　|　要怎么做…
EP03：上げるんだ　|　才能提高
EP03：なんつった　今なんつったよ　|　什么 你刚刚说什么
EP03：摩利人さんの跡は俺が継がなきゃなんねえんだからよ　|　摩利人先生的事业必须由我来继承
EP03：こうなったら　|　这样的话
EP03：合体するっきゃねえだろ　|　只有合体才能做到吧
EP03：お前　すっかり立派になっちまって　|　你已经完全成为出色的人了
EP03：オラァ　うれしいぜ　|　我真的很高兴
EP03：合体？あの子と？　|　合体？和那个女孩？
EP03：こんなんで　合体率　上がんのかよ　|　这样做 合体程度就能提高吗
EP03：俺らの調和が大事だからな　|　跟我协调可是很重要的
EP03：ほら　もう一回　|　来吧 再来一次
EP03：なんだよ　調和って　|　什么协调啊
EP03：っつうか　お前なんで合体したいんだっけ　|　话说 你为什么想要合体
EP03：だから言ってんだろ　|　我都说过了
EP03：合体は男の本能だって　|　合体是男人的本能
EP03：そうだったな　|　是呢
EP03：いくぞ　千夜　|　继续吧 千夜
EP03：ウケる　|　笑死了
EP03：何見てんだ　|　看什么看
EP03：行こうリュウちゃん　今モメたら面倒だし　|　走吧小流 现在起争执挺麻烦的
EP03：シグマの１年じゃねえか　|　西格玛的一年级吗
EP03：逃げてんじゃねえぞ　|　别逃啊
EP03：腰抜けが　|　懦夫
EP03：ちょっと　リュウちゃん　|　冷静 小流
EP03：誰が逃げたって？　|　你说谁要逃？
EP03：逃げただろうが　|　你不是逃了吗
EP03：王太くん闇討ちしやがって　|　你们还偷袭王太先生
EP03：なんの話　|　说什么呢
EP03：しらばっくれんじゃねえ　|　别装作不知道了
EP03：野郎　|　混蛋
EP03：リュウちゃん　|　小流
EP03：リュウちゃん　|　小流
EP03：行こう　|　走吧
EP03：これで済むと思うなよ　|　可别以为这就完了
EP03：ぜってえ王太くんの敵　討ってやるからな　|　绝对会给王太先生报仇的
EP03：あの野郎　|　那个混蛋
EP03：ピッチャー振りかぶって　第１球を　|　投手将球高举 投出第一球
EP03：座布　ソク　ザーン　|　座布 即刻 打
EP03：秘技　ピッチャー殺し　|　秘技 击杀投手
EP03：じゃあ　ペア組んで柔軟　|　那么 分组做拉伸
EP03：組もうよ　|　和我组吧
EP03：なんか　懐かしいね　|　感觉 真怀念呢
EP03：何がだよ　|　什么
EP03：小学生のとき　いつもペア組んでたじゃん　|　小学时 不也总是这样分组吗
EP03：覚えてねえ　|　不记得了
EP03：交代　|　交换
EP03：大丈夫　|　没问题吗
EP03：たりめえだろ　|　当然没问题
EP03：神さんに何言われたの　|　神同学跟你说什么了
EP03：今聞くかよそれ　|　非得现在问吗
EP03：あの子に言われたからって　シグマに入ることないじゃん　|　不是她说了什么 你才加入西格玛的吗
EP03：俺が　摩利人さんの跡　継がなきゃなんねえんだよ　|　我必须 继承摩利人先生的事业
EP03：荒ちゃん　|　小荒
EP03：真宝　仕立と亜路がシグマに…　|　真宝 仕立和亚路被西格玛给…
EP03：クソッ　フンドシでギッチギチに縛ってやがる　|　可恶 他们被兜裆布捆得死死的
