EP01 IN
EP01：フリーダ　|　弗里达
EP02：俺たち吸血種は　噛んだものと噛まれたものの間に絶対的な主従関係が生じる　|　我们吸血种 咬人者和被咬者之间会产生绝对的主从关系
EP02：フリーダは襲撃者に噛まれ　命令によって操られていた　|　弗里达被袭击者咬了 受他的命令操控
EP02：だからゲルハルトがフリーダを殺したってこと　|　所以盖尔哈德才杀了弗里达吗
EP02：そこまで詳しく記されてはいない　|　没有记载得那么详细
EP02：よくわかんないよな　|　搞不懂啊
EP02：ゲルハルトはフリーダを自分が殺したって言うし　|　盖尔哈德说自己杀了弗里达
EP02：ダリちゃんはそれを感謝してるって言うし　|　小达利又说要感谢他
EP02：詮索は我らのやるべきことではない　|　追究这些不是我们该做的
EP02：課された任務をただ…　|　派给我们的任务…
EP02：わかってるよ　それが貴族道ってやつだろ　|　我知道 这就是贵族之道吧
EP02：ヴラド機関は変人ばっかで疲れるな　|　弗拉德机关全是怪人 真头疼
EP02：貴兄に言われたくはない　|　我不想被你这么说
EP02：TRUMPの心が乱れぬように務めるのが我らの役目　|　我们的任务是不让TRUMP的内心被扰乱
EP02：今回の事件による影響がTRUMPにまで及ぶ前に　阻止せねばならない　|　必须阻止这次事件对TRUMP造成影响
EP02：任務と育児の両立ね　|　任务和育儿兼顾啊
EP02：起きてる時は嵐だけど　寝てると可愛いんだよな　|　醒着的时候如同暴风雨 但睡着了还挺可爱呢
EP02：問題発言だぞ　|　你的想法有问题
EP02：起きている時も可愛いと思いたまえ　|　醒着的时候也要觉得可爱
EP02：君んとこのテオドールはよくしつけがなっている　|　你家的西奥多真有教养
EP02：当然だ　私を誰だと思っている　|　当然了 你以为我是谁
EP02：はいはい　うちは放任主義ですよ　|　是是 我家是放任主义
EP02：テオドールは　|　西奥多呢
EP02：こんなところで何してるの　|　你在这里干什么
EP02：お父様が部屋に戻れって　|　父亲大人让我回房间
EP02：じゃあ戻ったらいいのに　|　那就回去啊
EP02：でも僕　おトイレ行きたい　|　但是我想去厕所
EP02：行けばいいじゃないか　|　那就去啊
EP02：ねえ　一緒についてきて　|　一起去吧
EP02：なんで僕が　|　为什么
EP02：君たちはいいよな　お父様に構ってもらえて　|　你们真好啊 有父亲关心
EP02：でも　君は僕と同じかもね　|　但是 你可能和我一样呢
EP02：ウルにお父様を取られて一人ぼっちだ　|　被乌尔抢走了父亲 孤单一人
EP02：一人ぼっちじゃないもん　|　才不是孤单一人
EP02：一人ぼっちじゃないか　|　不就是孤单一人吗
EP02：一人ぼっちじゃないもん　|　才不是孤单一人
EP02：ウルはお父様を取ったりしないもん　|　乌尔不会抢走父亲的
EP02：そう思いたかったら思えばいいさ　|　你愿意这么想随便你
EP02：ほらウル　もう一度だ　|　快看乌尔 我再来一次
EP02：どうしたものか　|　怎么了
EP02：ラファエロ　泣いてる　|　拉斐尔在哭
EP02：見ていろ　ダリ　|　看着吧 达利
EP02：任務と育児　僕はきっと両立して見せるぞ　|　任务和育儿 我一定兼顾给你看
EP02：ラファエロはどこに行った　|　拉斐尔去哪里了
EP02：さっきダリちゃんを追いかけて行ったけど　|　刚才跟着你出去了
EP02：ゲルハルト卿とアンジェリコも戻っておらんな　|　盖尔哈德卿和安杰利科也没有回来
EP02：旦那様　ゲルハルト様が…　|　老爷 盖尔哈德大人…
EP02：ほら　動くな　|　好了 别动
EP02：ありゃりゃ　まさかの光景だね　|　哎呀 意想不到的场景呢
EP02：何を傍観している　|　你们在旁边看什么
EP02：ゲルハルト　どういう風の吹き回しだ　|　盖尔哈德 怎么干起这事了
EP02：君の子息が粗相を致したのでね　|　因为你的儿子尿裤子了
EP02：服を洗うついでに風呂に入れてしまおうと思っただけだ　|　洗衣服顺便给他洗了个澡而已
EP02：痛い　痛い　|　痛 好痛
EP02：動くなと言っている　|　叫你别动了
EP02：泣くな　|　别哭
EP02：おかえりなさいませ　|　欢迎回来
EP02：おかえりなさいませ　旦那様　|　欢迎回来 老爷
EP02：どうかされたのでしょうか　|　发生什么了吗
EP02：問題ない　|　没事
EP02：捜査資料を書斎に運んでおいてくれ　|　帮我把调查资料搬到书房里
EP02：かしこまりました　|　遵命
EP02：くだらない　|　无聊至极
EP02：失礼します　|　打扰了
EP02：お仕事の方は　順調とは言い難いようですね　|　看来工作并不顺利呢
EP02：長年お仕えしているのです　|　毕竟我侍奉多年了
EP02：お顔拝見すれば分かります　|　看您的表情就明白了
EP02：旦那様のお勤めになるヴラド機関は　その活動の一切が秘密主義で貫かれております　|　老爷所在的弗拉德机关 所有的行动都严格保密
EP02：故にそれを詮索は致しません　|　所以我也不多问了
EP02：ああ　ぜひそうしてくれたまえ　|　嗯 就这样
EP02：はい　|　好的
EP02：しかし　ダリ卿も奇特なことを言い出されたものです　|　不过 达利卿也真是提了奇怪的要求
EP02：子連れでの任務など…　|　带着孩子做任务…
EP02：何ら支障はない　|　没有任何影响
EP02：そうでしょうか　|　是吗
EP02：何が言いたいのかね　アルブレヒト　|　你想说什么 阿尔布雷希特
EP02：テオドール坊様のお顔色が　あまり優れぬように見えましたもので　|　西奥多少爷的脸色 看上去不太好
EP02：あれはおとなしい子だからな　|　他是个安分的孩子
EP02：他の子供らが騒がしいのに当てられて　気疲れでもしたのだろう　|　可能是被其他吵闹的孩子弄得精神疲劳了吧
EP02：テオドール坊様はまだ幼い　|　西奥多少爷还很年幼
EP02：旦那様はご再婚は考えてはおられないので　|　老爷不考虑再婚吗
EP02：最初の妻もその次の妻も　|　最初的妻子 之后的妻子
EP02：次の次の妻もみな逃げていった　|　之后的之后的妻子 全都逃走了
EP02：つまり　このディーノに伴うことができるものなど　この世に存在しないということだ　|　也就是说 能和我迪诺为伴的人 世上根本不存在
EP02：もはや　私に妻など必要ない　|　我已经不需要妻子了
EP02：随分と　傲慢な考えのように思えますが　|　这种想法着实傲慢
EP02：だが　それが私だ　|　但这就是我
EP02：旦那様に必要なくとも　坊様にはまだ母親が必要ではないでしょうか　|　就算老爷不需要 少爷也还需要母亲吧
EP02：母親は子供のための道具ではないぞ　|　母亲可不是为孩子服务的道具
EP02：せめて　乳母や私たちがお手伝いできればよいのですが　|　至少让保姆和我们帮忙照顾
EP02：手出しは無用だ　|　不用插手
EP02：この任務の期間　テオドールの世話やしつけに関しては　私が一切を引き受ける　|　本次任务期间 照顾和管教西奥多都由我负责
EP02：それが　ダリ卿の望みだからな　|　这就是达利卿所期望的
EP02：お父様…　|　父亲大人…
EP02：いいワインだ　|　葡萄酒不错
EP02：君も好きな味だと思うよ　|　你应该也会喜欢的
EP02：説明してもらおうか　|　能解释一下吗
EP02：説明？　|　解释？
EP02：なぜ　ルチアとエレーナを連れ出した　|　为什么把露西娅和埃琳娜带出去了
EP02：ダリちゃんの命令だよ　|　这是小达利的命令
EP02：任務と育児を両立しろ　だってさ　|　让我们兼顾任务和育儿
EP02：ほら　わかるだろ　|　你也懂吧
EP02：あのダリちゃんに常識なんて通用しない　|　小达利他总是违反常理
EP02：非常識にも程がある　|　那也要有个度
EP02：ヴラド機関の任務に子供を巻き込むなんて　|　居然把孩子卷入弗拉德机关的任务
EP02：ダリ卿は一体何を考えているんだ　|　达利卿到底在想什么
EP02：ダリちゃんは扱いづらいけど　血盟議会指折りの切れ者だからね　|　他虽然难以应付 但也是血盟议会屈指可数的能人
EP02：ヨハネス卿は今回の事件解決に　ダリちゃんを必要とした　|　约翰尼斯卿认为解决这次事件 必须要他出马
EP02：それだけ厄介な案件ってことだよ　|　这个案件就是那么棘手
EP02：これは種の存続に関わる最優先の任務だ　|　这是与种族存续相关的最优先任务
EP02：たとえ我が子を犠牲にしなければならないとしてもね　|　就算要牺牲我的孩子也在所不惜
EP02：本気で思っているのか　|　你当真这么想吗
EP02：大丈夫だよ　|　没事的
EP02：子供たちは俺が守る　|　我来保护孩子们
EP02：母親である君を悲しませたりなんかしない　|　不会让你这个母亲伤心的
EP02：約束だ　|　约好了
EP02：相変わらず食えない奴め　|　你还是那么圆滑
EP02：ねえねえ　お父様　|　那个 父亲大人
EP02：二人ともまだ起きてたのか　|　你们俩还没睡啊
EP02：ルチアがね　お父様に御本を読んでほしいって　|　露西娅说想让父亲大人读书听
EP02：ね　|　对吧
EP02：もう　二人ともここにいたの　|　真是的 你们俩在这啊
EP02：申し訳ございません　旦那様　|　非常抱歉 老爷
EP02：すぐに寝かしつけますので　|　我马上让她们去睡觉
EP02：構わないよ　|　没关系
EP02：よし　|　好
EP02：今日は特別に　お父様が御本を読んでやろう　|　今天破例 父亲大人读书给你们听吧
EP02：やった　|　太好了
EP02：お母様も　お母様も一緒がいい　|　母亲大人 母亲大人也一起
EP02：もちろん　お母様も一緒だ　|　当然 母亲大人也一起
EP02：ね　|　对吧
EP02：はい　|　好
EP02：やった　|　太好了
EP02：誰だ　|　谁
EP02：アンジェリコか　|　安杰利科啊
EP02：何をしている　|　你在干什么
EP02：あの…あのね　僕…　|　那个…那个 我…
EP02：お父様と　一緒に寝たい　|　想和父亲大人一起睡
EP02：ふざけるのも大概にしたまえ　|　少开玩笑了
EP02：君は由緒あるフラ家の跡取りだぞ　|　你可是名门弗拉家的继承人
EP02：常に毅然とあれといつも言っているだろう　|　我一直教导你要保持坚毅吧
EP02：僕　まだ子供だもん　|　可我还是个孩子
EP02：君は子供である前に貴族だ　|　你先是贵族再是孩子
EP02：それを心に刻むことだな　|　要将此铭刻于心
EP02：はい　|　好的
EP02：では　自分の部屋に戻りたまえ　|　快回自己的房间去吧
EP02：聞こえなかったのか　部屋に戻れと　|　没听见吗 叫你回房间去
EP02：僕…　|　我…
EP02：僕　今日は…　|　我今天…
EP02：お風呂　楽しかった　|　洗澡很开心
EP02：僕は何を言っている　|　我在说什么
EP02：「子供である前に貴族」　|　「你先是贵族再是孩子」
EP02：どうした　|　怎么了
EP02：ミルクも飲んだし　おしめも替えただろう　|　牛奶也喝了 尿布也换了啊
EP02：なぜそんなに泣くんだ　|　为什么还哭个不停
EP02：分かった　泣きやめ　|　好了 别哭了
EP02：やっと眠ってくれたか　|　终于睡着了
EP02：少しでも長く眠ってくれればいいんだがな　|　能多睡会就好了
EP02：なあ　フリーダ　|　弗里达
EP02：このダリ・デリコをもってしても　|　就算是我达利·德里科
EP02：子育てというのは一筋縄ではいかないようだ　|　养育孩子也得多费功夫啊
EP02：だが安心しろ　|　不过安心吧
EP02：俺にできないなどということはない　|　没有我做不到的事
EP02：ラファエロもウルも　|　拉斐尔和乌尔
EP02：ちゃんと育ててみせる　|　我都会好好养大
EP02：ねえ　いつまでこんなこと続けるわけ　|　我说 这种事还要做多久啊
EP02：いい加減もう飽きちゃったんだけど　|　我已经差不多厌倦了
EP02：動くな　|　别动
EP02：血盟警察か　|　血盟警察吗
EP02：みんな私が愛してあげようか　|　要我来疼爱他们吗
EP02：まさか　おとなしくお縄になるってわけじゃないんでしょ　|　总不能束手就擒吧
EP02：全滅だと？　|　全灭？
EP02：はい　|　是的
EP02：事件現場に遭遇した血盟警察隊が　犯人グループと交戦に　|　撞上杀人现场的血盟警察队与犯人团体交战
EP02：一方的な蹂躙といったところか　|　被单方面蹂躏了吗
EP02：重傷ながら　生き残った隊員が一名　病院に搬送されました　|　有一名队员身受重伤但活下来了 被送去医院
EP02：助かった者がいるのか　|　有人得救吗
EP02：はい　|　是的
EP02：その際　対応した医師が　隊員の首に噛まれた跡を見つけました　|　主治医生在队员的脖子上发现了被咬的痕迹
EP02：噛まれた跡？　|　被咬的痕迹？
EP02：イニシアチブを掌握されたか　|　主动权被掌握了吗
EP02：全てはTRUMPのお心のために　|　一切都是为了TRUMP的意志
EP02：これは「ペンデュラム」の導きである　|　这是「灵摆」的指引
EP02：犯行声明の伝達を命じられたか　|　他被命令传达犯罪声明了吗
EP02：「ペンデュラム」　|　「灵摆」
EP02：「探し求める者」の意味を持つ言葉だ　|　这个词有「寻求者」的含义
EP02：TRUMPを信仰する反社会組織の名でもある　|　也是信仰TRUMP的反社会组织的名字
EP02：ならば　一連の事件は連中の仕業か　|　这一连串事件就是他们干的吗
EP02：では　その隊員を取り調べるとするか　|　那我们要去审问那个队员吧
EP02：それが…　|　这个…
EP02：メッセージを伝えた後　自ら命を絶つように命じられていたのか　|　看来是命令他传达信息之后 自己了结生命
EP02：なかなかに手の込んだ芸だ　|　真是巧妙的设计
EP02：なんだ　|　怎么了
EP02：いや　何　|　没什么
EP02：この事件を少々侮っていた自分がおかしくてな　|　蔑视这次事件的自己有些可笑
EP02：ペンデュラムか　|　灵摆啊
EP02：連中とは何かと縁がある　|　我和那些家伙有点渊源
EP02：育児も陰謀も　|　育儿和阴谋
EP02：なかなかに手強そうだ　|　似乎都挺棘手啊
EP02：#交织的阴谋与育儿
EP02：#悄然来临之影
EP02 OUT

